mpg,year,flow-mean,flow-peakdate,flow-peak,flow-gageht
Imnaha,1945,2447,1945-05-05,10600,7.9
Imnaha,1946,3411,1945-12-29,17200,9.2
Imnaha,1947,3179,1946-12-15,30000,11.2
Imnaha,1948,4426,1948-05-27,23600,10.15
Imnaha,1949,3575,1949-05-15,17400,9
Imnaha,1950,3688,1950-02-25,17400,8.87
Imnaha,1951,3154,1951-02-12,14200,8.15
Imnaha,1952,3266,1952-05-09,15700,8.38
Imnaha,1953,3403,1953-04-28,13400,7.85
Imnaha,1954,2554,1954-04-14,10800,7.17
Imnaha,1955,2275,1955-06-12,11200,7.3
Imnaha,1956,4372,1955-12-22,26400,10.43
Imnaha,1957,3501,1957-05-19,17400,8.78
Imnaha,1958,3500,1958-04-21,21400,9.56
Imnaha,1959,3396,1958-12-12,18800,8.94
Imnaha,1960,3009,1960-03-26,12100,7.63
Imnaha,1961,2703,1961-05-26,9430,6.81
Imnaha,1962,2687,1962-04-07,11800,7.35
Imnaha,1963,2251,1963-02-03,7500,6.06
Imnaha,1964,2520,1964-06-06,11300,7.03
Imnaha,1965,4068,1964-12-23,42200,11.25
Imnaha,1966,1598,1966-04-02,7520,5.93
Imnaha,1967,2564,1967-05-23,12800,6.99
Imnaha,1968,2159,1968-02-23,17300,7.96
Imnaha,1969,3222,1969-01-07,11800,7.05
Imnaha,1970,3003,1970-01-24,16500,8
Imnaha,1971,3698,1971-01-20,14600,7.57
Imnaha,1972,4245,1972-03-18,20500,8.48
Imnaha,1973,1712,1972-12-24,8380,6.02
Imnaha,1974,4912,1974-01-17,23300,9
Imnaha,1975,3395,1975-05-15,15500,7.61
Imnaha,1976,3830,1976-04-09,17700,8.03
Imnaha,1977,1136,1977-06-08,5420,5.19
Imnaha,1978,3582,1977-12-14,22900,9
Imnaha,1979,2827,1979-05-06,17000,7.9
Imnaha,1980,2568,1980-04-29,9040,6.22
Imnaha,1981,2867,1981-02-19,18200,8.14
Imnaha,1982,4037,1982-02-21,24700,9.3
Imnaha,1983,3388,1983-03-13,13000,7.07
Imnaha,1984,4016,1984-05-31,16200,7.71
Imnaha,1985,2830,1985-04-11,14100,7.29
Imnaha,1986,2956,1986-02-23,28500,9.93
Imnaha,1987,1843,1987-05-01,9080,6.31
Imnaha,1988,1848,1988-04-22,7310,5.86
Imnaha,1989,2785,1989-03-12,13600,7.35
Imnaha,1990,2313,1990-05-06,8570,6.18
Imnaha,1991,2481,1991-05-19,22600,9.18
Imnaha,1992,1593,1992-02-21,6540,5.92
Imnaha,1993,3110,1993-05-14,16700,7.87
Imnaha,1994,1870,1994-04-21,8660,6.36
Imnaha,1995,4050,1995-02-02,22200,10.36
Imnaha,1996,5253,1996-02-09,51800,13.76
Imnaha,1997,4988,1997-01-01,36700,12.65
Imnaha,1998,3004,1998-05-27,17800,9.51
Imnaha,1999,3498,1999-05-26,13600,8.85
Imnaha,2000,3088,2000-04-14,11400,8.07
Imnaha,2001,1617,2001-05-15,8060,7.01
Imnaha,2002,2641,2002-04-14,22600,10.44
Imnaha,2003,2608,2003-05-31,13300,8.25
Imnaha,2004,2673,2004-05-29,11900,8.2
Imnaha,2005,1877,2005-05-17,10700,7.88
Imnaha,2006,2930,2006-05-20,14600,8.77
Imnaha,2007,2075,2007-03-13,8480,7.14
Imnaha,2008,3294,2008-05-19,19800,9.9
Imnaha,2009,3566,2009-04-23,16500,9.2
Imnaha,2010,2400,2010-06-04,24900,10.83
Imnaha,2011,4155,2011-01-17,18100,10.3
Imnaha,2012,3016,2012-04-27,16200,9.82
Imnaha,2013,2334,2013-04-07,9160,7.42
Imnaha,2014,3262,2014-03-10,32600,11.85
Imnaha,2015,2192,2015-02-10,11600,8.23
