year,pdo-yr,pdo-win,pdo-spr,pdo-sum,pdo-fal,npgo-yravg,npgo-yrsum,npgo-win,npgo-spr,npgo-sum,npgo-fal,upw-yr,upw-win,upw-spr,upw-sum,upw-fal,upw-sti,upw-fti,upw-lusi,upw-tumi,upw-tdmi,arc-win,arc-spr,arc-sum,arc-fal
1947,0.380833333,-0.37,-0.13,0.743333333,0.76,NA,NA,NA,NA,NA,NA,-16.25,NaN,4,11,-31,NA,NA,NA,NA,NA,-0.494496082,0.064020598,0.322562205,-0.108266132
1948,-0.648333333,0.356666667,-0.596666667,-0.4,-1.146666667,NA,NA,NA,NA,NA,NA,-14.16666667,-51.66666667,-6,16.66666667,-21.33333333,NA,NA,NA,NA,NA,-0.712929757,-0.544262722,0.280516885,-0.711063841
1949,-1.645,-2.55,-1.49,-1.256666667,-1.58,NA,NA,NA,NA,NA,NA,-22.16666667,-31.66666667,-9.333333333,13.33333333,-74.66666667,NA,NA,NA,NA,NA,-0.981335642,-0.596728043,-0.412218539,-0.386702374
1950,-2.195833333,-1.65,-2.306666667,-2.87,-1.893333333,-0.766430557,-9.203,NaN,-0.819301953,-0.624160913,-0.24639503,-45.66666667,-79.33333333,-15.33333333,7,-55,NA,NA,NA,NA,NA,-0.408283926,-0.603021378,-0.759274499,-0.339224128
1951,-1.075,-1.343333333,-1.4,-1.07,-0.453333333,-0.961180174,-11.524,-0.461907613,-0.734031647,-1.238006067,-1.166982233,-19.08333333,-85.33333333,0.666666667,33.33333333,-65.66666667,NA,NA,NA,NA,NA,-0.241085859,-0.537583937,-0.143883346,-0.052274951
1952,-1.520833333,-1.736666667,-1.793333333,-1.783333333,-0.886666667,-0.6394242,-7.683,-1.2169328,-0.576581257,-1.068577,-0.385547837,-49.33333333,-71.66666667,-13.33333333,18.66666667,-39.33333333,NA,NA,NA,NA,NA,-0.549945403,-0.613977553,-0.687074753,-0.208780844
1953,-0.565833333,-0.503333333,-0.93,-0.333333333,-0.806666667,1.082280947,12.992,0.84566811,1.246080067,0.9054612,1.14062287,-35.41666667,-138,-15,4.666666667,-80.33333333,NA,NA,NA,NA,NA,-0.41585974,-0.485541224,-0.157886527,-0.381292123
1954,-0.328333333,-0.646666667,-0.953333333,0.176666667,-0.02,0.20706549,2.4832,1.2231421,-0.15239996,0.003879935,0.091916393,-40.83333333,-54,1.333333333,6.666666667,-72.66666667,NA,NA,NA,NA,NA,-0.441306506,-0.341149302,-0.310942346,0.090997692
1955,-2.051666667,-0.3,-1.766666667,-2.506666667,-2.776666667,-0.074898058,-0.8982,0.160352437,0.028715047,0.056870008,-0.2381498,-9.333333333,-72,11.33333333,29.66666667,-29.66666667,NA,NA,NA,NA,NA,-0.282913187,-0.709745603,-1.0253029,-1.082744458
1956,-1.820833333,-2.246666667,-2.35,-1.5,-1.5,0.069951982,0.8403,-0.17856907,0.042233847,0.491580273,0.007628693,-16.75,-96,10.66666667,29.33333333,-19.33333333,NA,NA,NA,NA,NA,-0.503038929,-0.632658043,-0.440516792,-0.435052626
