year,orca-SRKWpodJ,orca-SRKWpodK,orca-SRKWpodL,orca-SRKWpodKL,orca-SRKWpodJKL,orca-SRKWdeathsJKL,orca-SRKWbirthsJKL,orca-NRKW,orca-SEAK,ssl-COL,ssl-rookORraw,ssl-bonn,hseal-COL,csl-haulout,csl-pups,csl-males,csl-males6,csl-bonn,csl-COL,hatch-spring,hatch-summer,hatch-total,hatch.SNAK,hatch.COL,hatch.CAOR,hatch.WA,hatch.SAL,hatch.BC,hatch.SEAK,hatch.WAK,hatch.sum,hatch.all,harv.PACtot,harv.CRsport,harv.COL,harv.ORWAsport,harv.ORWA,harv.SEAK,harv.NBC,harv.WCVI
1970,NA,NA,NA,NA,80,NA,NA,108,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,34594087,0,7380639,36900232,0,0,0,78874958,78920658,NA,NA,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,67,NA,NA,113,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,42710610,174667,5083958,55034328,0,0,0,103003563,103220953,NA,NA,NA,NA,NA,NA,NA,NA
1972,14,16,33,49,63,NA,NA,115,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,NA,47203162,47700,5055186,51211441,0,45300,0,103562789,103453456,NA,NA,NA,NA,NA,NA,NA,NA
1973,14,16,37,53,67,0,4,117,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,76584,49071600,35200,6569182,50402017,1215431,25488,0,107318918,108300959,NA,NA,NA,NA,NA,NA,NA,NA
1974,15,16,39,55,70,1,4,122,NA,NA,NA,0,NA,NA,NA,NA,NA,0,0,0,0,0,28327,51641797,593416,4924169,50329219,1635246,266281,0,109390128,110072747,NA,NA,NA,NA,NA,NA,NA,NA
1975,15,15,40,55,70,2,2,129,NA,NA,NA,0,NA,NA,12499,39788,13715,0,0,0,0,0,194762,54325154,574148,4958993,35552144,1842173,64164,0,97316776,102346415,3514634,34870,357870,265785,535968,317707,228121,546214
1976,16,15,40,55,71,0,1,130,NA,NA,NA,0,NA,NA,14749,42226,14252,0,0,0,0,0,6470546,88876059,332114,5913266,38445385,1029085,12600,22500,134631009,144036836,3673929,42527,330927,215319,586761,258762,190267,665010
1977,18,16,45,61,79,1,9,131,NA,NA,1461,0,149,NA,11712,40415,14812,0,0,0,0,0,7252509,92065910,1222374,8933220,39540319,3906474,485197,133109,146286603,157856604,3337036,58838,314438,197563,442058,302178,131005,545742
1978,18,16,45,61,79,1,1,132,NA,NA,NA,0,307,NA,13449,39971,15391,0,0,0,0,0,5816832,109295754,3303494,15768342,53840520,8242434,206167,14261,190670972,202524261,3230905,56582,245682,104306,254983,418411,146179,568705
1979,19,16,46,62,81,1,3,140,NA,NA,1542,0,4,NA,14145,40661,15812,0,0,5641235,236500,5877735,6624430,145792732,8923605,7509964,53962666,9500748,182347,87417,225959479,236289383,2931298,38700,216256,84977,218015,382641,147576,477222
1980,18,16,47,63,81,3,3,147,NA,NA,1632,0,356,NA,14878,41153,16073,0,0,5123988,0,5123988,5421481,154654894,7757632,7615808,65726349,8778446,324785,93259,244951173,262311420,2702908,15011,194526,59099,186023,343970,157398,486303
1981,18,15,45,60,78,4,1,150,NA,NA,2105,0,191,NA,16701,42249,16390,0,0,6757307,249500,7006807,4756843,157730936,5508888,9709952,72488335,9635803,260389,134784,255469087,276183844,2385686,21151,91665,96151,205879,289034,153249,423266
1982,19,14,43,57,76,3,1,152,NA,5,2605,0,518,NA,20540,45899,15822,0,0,3068233,122000,3190233,3031860,116256471,9072353,10505421,79174325,9154331,757282,126706,225046889,238305768,2557270,31236,179785,114952,269939,314686,173687,538510
1983,17,14,40,54,71,5,0,155,NA,2.3,2107,0,119,NA,11595,41465,15250,0,0,5393623,198500,5592123,7852103,133072282,10475311,8180871,80511573,12458890,903129,156546,245758602,266408989,2123356,23206,202262,51789,115435,311658,162927,395636
1984,17,13,42,55,72,2,3,156,39,6.6,1867,0,176.8,NA,13550,39354,14921,0,0,7076708,356673,7433381,11530782,148481507,14949133,6041837,83682000,14098416,2312336,76661,269641890,287083688,2363710,43760,346410,6980,22372,290077,185305,471294
1985,17,14,43,57,74,3,5,163,42,30.9,2210,0,850.6,NA,15224,39259,14584,0,0,8084943,781405,8866348,7789423,112488683,12350278,12744199,82830856,14688558,2451699,79390,237633663,268745153,2053971,45444,602779,30189,86090,274539,166445,345937
1986,17,16,47,63,80,1,7,170,43,26.3,2289,0,838,NA,17896,41187,14768,0,0,6314421,982443,7296864,9271080,125042696,26558878,10258635,93391238,17188076,7914942,1707,280356172,302262518,2171671,57993,606811,23000,75000,282353,176868,350227
1987,18,17,48,65,83,1,4,177,45,11.2,2709,0,953.6,NA,19796,43827,15006,0,0,10743364,1217000,11960364,11925585,135318446,33253369,8551725,103903536,19807142,12156198,0,312990416,333053288,2357251,105835,383780,44000,129000,282418,180101,378931
1988,18,17,48,65,83,2,2,180,45,0.5,2825,0,388.6,NA,19452,46337,15370,0,0,11230300,1777500,13007800,17210639,157129915,20035316,17202075,108257898,23627456,6233205,0,332485865,358490559,2387874,97638,242026,19000,130000,279312,159428,408668
1989,18,16,48,64,82,3,2,185,49,1,2184,0,566.5,NA,23757,51021,13915,0,0,10446274,1991300,12437574,12834350,155408185,24710122,23302293,108068490,24647604,6522085,114400,342773179,351604103,2150086,88088,196202,20900,96500,291032,228331,203751
1990,18,16,53,69,87,1,6,193,52,45,2415,0,430,NA,25422,56040,13634,0,9,13306749,2882400,16189149,16576283,139086953,16887306,20826712,110175782,26328758,9839868,0,323145379,348036506,2034632,79467,124640,32900,98700,366869,170936,297858
1991,19,16,55,71,90,2,5,197,51,172.7,2403,0,577.7,NA,30747,62383,14558,0,11,8908172,936100,9844272,10248643,152325248,14700322,15122586,104534803,25537465,5959842,42368,318222634,349033340,1826150,79260,147638,13300,64900,359462,209065,203035
1992,19,16,56,72,91,0,1,203,57,267,3582,0,940.5,NA,22364,62675,15883,0,13,8178071,1507400,9685471,10436330,149076767,11450613,17792064,94831391,23695910,8201646,94691,305143082,337346739,1729258,56417,69532,18900,87900,258791,163698,358664
1993,20,17,57,74,94,3,6,199,60,177,2838,0,567,NA,24274,62178,17314,0,16,4046446,982300,5028746,6224984,121875026,13904814,20366588,81191712,23634120,11791651,68950,272832861,293912601,1705252,64995,80387,13600,69500,304103,186983,300345
1994,20,18,54,72,92,4,2,206,61,200,3294,0,739.5,NA,36184,68990,18685,0,19,6752805,1190673,7943478,10676013,133142652,14152488,19991874,71504717,21416221,9833415,90500,270131867,295391286,1190308,29634,124318,0,4500,264350,193554,160352
1995,20,18,54,72,92,6,6,207,64,132.3,3837,0,945,NA,36073,76067,21962,0,23,8557388,2095143,10652531,9988191,147946993,18123572,16506863,86561038,22181087,7174914,78973,298573440,325880926,898595,36394,136629,600,10100,235739,79388,95410
1996,21,19,52,71,92,5,5,212,70,188,3205,0,1044.6,NA,41044,82570,24480,0,28,1541127,676894,2218021,2815329,131181143,19167321,15463411,80192678,17847354,7290255,113220,271255382,305017051,785404,31672,89992,200,12500,236259,678,10233
1997,20,18,49,67,87,5,0,215,76,135.3,3898,0,292,33,39245,86367,27345,0,34,477929,360603,838532,1886110,104949187,16996465,16711804,89527144,21714151,7516643,0,257415394,285578339,1095116,45984,137160,4100,24600,343002,110999,59088
1998,20,16,46,62,82,7,2,214,77,301.5,3971,0,518.7,43,14506,62559,25844,0,41,3176804,577618,3754422,5746645,103576285,16903060,17342256,82087575,19701516,8773746,0,248384438,292825331,847313,34342,194526,2292,22907,270593,143202,9317
1999,20,16,46,62,82,4,4,211,80,371.5,3275,0,812.8,21,41695,72932,25899,0,50,9310024,1574369,10884393,10513079,97889049,15572238,10945345,85567434,21416022,9668794,0,241058882,270292952,910537,45094,91665,10821,55744,251020,84324,38540
2000,19,16,42,58,77,7,2,208,82,284,2928,0,874,32,49372,84274,27161,0,60,5968537,1172717,7141254,10532227,97955794,13526965,8392264,80338898,21476698,14417763,0,236108382,258121149,818272,49631,150108,9242,29394,263290,32048,88617
2001,20,18,43,61,81,0,4,200,86,560.3,3648,0,457,71,49078,85126,28010,0,73,2801460,1343943,4145403,8112987,93482349,17749282,11448253,74096527,15981522,15877619,0,228635552,256544821,1266494,141853,386804,25592,79755,265734,43334,120304
2002,20,19,41,60,80,4,3,202,91,421.5,4169,0,840.5,90,45658,86612,26973,30,88,10206719,1676957,11883676,16174813,105648558,18388850,12749724,82058319,18073961,13608517,60400,250588329,276492389,1716457,150736,420038,60575,167037,426534,149831,157920
2003,22,20,42,62,84,1,5,205,98,707,5714,3,1048.5,104,36659,81384,23191,104,107,10473825,2332578,12806403,16650190,107879695,18940383,12019826,71890077,19606499,15944919,32554,246313953,282812938,1724860,149156,385021,36513,138271,439436,194797,173561
2004,23,21,43,64,87,0,3,221,100,NA,0,3,NA,65,43490,85342,20565,99,200,10482986,2374050,12857036,13943482,100504853,19399133,11234337,71843454,18978405,13201686,11252,235173120,266944285,1898712,148961,395058,27090,115315,499268,241508,215252
2005,24,20,44,64,88,3,4,232,104,NA,NA,4,NA,74,48331,92825,24496,81,245,9440350,2348012,11788362,14906530,102386230,18849034,13278948,65300897,15246970,12350918,72068,227485065,266162412,1716433,91018,275317,40004,127130,493202,243606,199479
2006,24,19,41,60,84,7,3,239,105,NA,4505,11,NA,62,56144,106364,27126,72,136,10239030,2260706,12499736,16143962,99475333,18273291,12059315,64371513,13122146,18306158,29153,225636909,262115370,1524392,72495,233862,11176,68489,435545,215985,145511
2007,26,19,42,61,87,1,4,244,107,NA,0,9,NA,63,54088,114561,28157,71,188,8396059,2195135,10591194,14458779,105762263,17150059,13089098,68050902,15680546,17619440,219400,237571708,281173804,1276394,56359,147959,9535,48277,404683,144235,140614
2008,24,19,39,58,82,7,2,252,109,NA,4090,39,NA,74,59774,125359,30989,82,272,8980818,2186397,11167215,15206373,95258914,16721661,10125788,67497543,13209217,20764005,148280,223725408,266403655,1123285,88868,290907,15452,50552,244328,95647,145726
2009,27,19,40,59,86,1,5,258,109,NA,0,26,NA,78,35914,121926,34910,54,375,9115406,2068622,11184028,17943339,103565857,15304103,10357852,65801910,15437274,14501119,184928,225153043,261834664,1134909,90213,267648,13331,38741,293647,109470,124617
