LOCATIONNAME,RUN,
Bear Valley Creek,Spring,
Catherine Creek,Spring,
Chamberlain Creek,Spring,
Grande Ronde River Upper Mainstem,Spring,
Lemhi River,Spring,
Marsh Creek,Spring,
Middle Fork Salmon River Upper Mainstem,Spring,
Minam River,Spring,
North Fork Salmon River,Spring,
Salmon River Upper Mainstem,Spring,
Sulphur Creek,Spring,
Tucannon River,Spring,
Wallowa/Lostine Rivers,Spring,
Wenaha River,Spring,
Yankee Fork,Spring,
Big Creek,Spring/summer,
Camas Creek,Spring/summer,
East Fork Salmon River,Spring/summer,
Imnaha River Mainstem,Spring/summer,
Loon Creek,Spring/summer,
Middle Fork Salmon River Lower Mainstem,Spring/summer,
Salmon River Lower Mainstem,Spring/summer,
Valley Creek,Spring/summer,
Pahsimeroi River,Summer,
South Fork Salmon River,Summer,
