mpg,stk,year,spawn_tot,spawn_nat,rec3,rec4,rec5,rec6,rec,harvest,recspn,recspn3,recspn4,recspn5
Middle Fork Salmon,Bear Valley Creek,1957,2004,2004,102.49,991.209,874.776,0,1968.475,0.62,0.982272954,0.051142715,0.494615269,0.43651497
Middle Fork Salmon,Bear Valley Creek,1958,1270,1270,121.227,802.452,1420.792,0,2344.471,0.75,1.846040157,0.095454331,0.631851969,1.118733858
Middle Fork Salmon,Bear Valley Creek,1959,1588,1588,44.772,615.536,1001.926,0,1662.234,0.69,1.046746851,0.028193955,0.387617128,0.630935768
Middle Fork Salmon,Bear Valley Creek,1960,1385,1385,71.672,812.526,486.983,0,1371.181,0.71,0.990022383,0.051748736,0.586661372,0.351612274
Middle Fork Salmon,Bear Valley Creek,1961,2377,2377,79.548,386.918,1122.24,0,1588.706,0.58,0.668366008,0.033465713,0.162775768,0.472124527
Middle Fork Salmon,Bear Valley Creek,1962,1722,1722,79.099,817.632,1155.722,0,2052.453,0.69,1.191900697,0.045934379,0.474815331,0.671150987
Middle Fork Salmon,Bear Valley Creek,1963,2108,2108,64.128,351.955,916,0,1332.083,0.71,0.631917932,0.030421252,0.166961575,0.434535104
Middle Fork Salmon,Bear Valley Creek,1964,1894,1894,129.323,988,626.98,0,1744.303,0.62,0.920962513,0.068280359,0.521647307,0.331034847
Middle Fork Salmon,Bear Valley Creek,1965,953,953,96,658.996,813.228,0,1568.224,0.64,1.645565582,0.100734523,0.691496327,0.853334732
Middle Fork Salmon,Bear Valley Creek,1966,2004,2004,49.358,364.509,279.306,0,693.173,0.49,0.345894711,0.024629741,0.181890719,0.139374251
Middle Fork Salmon,Bear Valley Creek,1967,1637,1637,25.263,220.896,422.604,0,668.763,0.58,0.408529627,0.015432498,0.134939524,0.258157605
Middle Fork Salmon,Bear Valley Creek,1968,2000,2000,30.798,389.025,1290.59,0,1710.413,0.49,0.8552065,0.015399,0.1945125,0.645295
Middle Fork Salmon,Bear Valley Creek,1969,1334,1334,6.552,139.874,265.95,0,412.376,0.47,0.309127436,0.004911544,0.104853073,0.199362819
Middle Fork Salmon,Bear Valley Creek,1970,1203,1203,11.536,178.65,600.402,0,790.588,0.49,0.657180382,0.00958936,0.148503741,0.499087282
Middle Fork Salmon,Bear Valley Creek,1971,531,531,5.4,125.598,154.364,0,285.362,0.39,0.537404896,0.010169492,0.236531073,0.290704331
Middle Fork Salmon,Bear Valley Creek,1972,819,819,0,95.312,115.304,0,210.616,0.55,0.257162393,0,0.116376068,0.140786325
Middle Fork Salmon,Bear Valley Creek,1973,1442,1442,9.324,289.884,671.346,0,970.554,0.61,0.673061026,0.006466019,0.201029126,0.465565881
Middle Fork Salmon,Bear Valley Creek,1974,450,450,0.812,68.913,184.421,0,254.146,0.41,0.564768889,0.001804444,0.15314,0.409824444
Middle Fork Salmon,Bear Valley Creek,1975,726,726,0,33.004,25.628,0,58.632,0,0.080760331,0,0.045460055,0.035300275
Middle Fork Salmon,Bear Valley Creek,1976,259,259,5.575,15.824,58.875,0,80.274,0.01,0.309938224,0.021525097,0.061096525,0.227316602
Middle Fork Salmon,Bear Valley Creek,1977,406,406,1.548,98.125,53.64,0,153.313,0.36,0.377618227,0.003812808,0.241687192,0.132118227
Middle Fork Salmon,Bear Valley Creek,1978,741,741,0,33.12,105.492,0,138.612,0.18,0.187060729,0,0.044696356,0.142364372
Middle Fork Salmon,Bear Valley Creek,1979,223,223,3.24,65.136,92.38,0,160.756,0.04,0.720878924,0.014529148,0.292089686,0.41426009
Middle Fork Salmon,Bear Valley Creek,1980,43,43,6.372,57.04,176.562,0,239.974,0.03,5.580790698,0.148186047,1.326511628,4.106093023
Middle Fork Salmon,Bear Valley Creek,1981,157,157,5.58,129.438,138.104,0,273.122,0.07,1.739630573,0.035541401,0.82444586,0.879643312
Middle Fork Salmon,Bear Valley Creek,1982,90,90,0,95.648,289.275,0,384.923,0.09,4.276922222,0,1.062755556,3.214166667
Middle Fork Salmon,Bear Valley Creek,1983,177,177,10.248,184.775,977.88,0,1172.903,0.09,6.626570621,0.057898305,1.043926554,5.524745763
Middle Fork Salmon,Bear Valley Creek,1984,155,155,0.95,180.96,60.818,0,242.728,0.1,1.565987097,0.006129032,1.167483871,0.392374194
Middle Fork Salmon,Bear Valley Creek,1985,306,306,1.16,33.088,103.684,0,137.932,0.07,0.45075817,0.00379085,0.108130719,0.338836601
Middle Fork Salmon,Bear Valley Creek,1986,244,244,0.094,91.336,139.43,0,230.86,0.08,0.946147541,0.000385246,0.374327869,0.571434426
Middle Fork Salmon,Bear Valley Creek,1987,475,475,0.98,48.132,100.825,0,149.937,0.08,0.315656842,0.002063158,0.101330526,0.212263158
Middle Fork Salmon,Bear Valley Creek,1988,1160,1160,3.438,83.065,632.466,0,718.969,0.14,0.619800862,0.002963793,0.071607759,0.54522931
Middle Fork Salmon,Bear Valley Creek,1989,94,94,1.11,105.534,20.264,0,126.908,0.1,1.350085106,0.011808511,1.122702128,0.215574468
Middle Fork Salmon,Bear Valley Creek,1990,196,196,0,12.512,10.132,0,22.644,0.12,0.115530612,0,0.063836735,0.051693878
Middle Fork Salmon,Bear Valley Creek,1991,191,191,1.224,6.256,16.26,0,23.74,0.1,0.124293194,0.006408377,0.032753927,0.08513089
Middle Fork Salmon,Bear Valley Creek,1992,185,185,0.612,41.52,109.512,33.626,185.27,0.08,1.001459459,0.003308108,0.224432432,0.591956757
Middle Fork Salmon,Bear Valley Creek,1993,738,738,2.28,124.02,342.907,6.237,475.444,0.07,0.644233062,0.003089431,0.16804878,0.464643631
Middle Fork Salmon,Bear Valley Creek,1994,34,34,0.468,14.467,12.474,0,27.409,0.1,0.806147059,0.013764706,0.4255,0.366882353
Middle Fork Salmon,Bear Valley Creek,1995,17,17,0,52.974,60.125,0,113.099,0.05,6.652882353,0,3.116117647,3.536764706
Middle Fork Salmon,Bear Valley Creek,1996,60,60,9.315,264.875,140.6,16.478,431.268,0.05,7.1878,0.15525,4.414583333,2.343333333
Middle Fork Salmon,Bear Valley Creek,1997,234,234,0,599.4,679.129,31.56,1310.089,0.07,5.59867094,0,2.561538462,2.902260684
Middle Fork Salmon,Bear Valley Creek,1998,391,391,0,463.738,1236.1,0,1699.838,0.06,4.347411765,0,1.186030691,3.161381074
Middle Fork Salmon,Bear Valley Creek,1999,81,81,16.478,47.34,25.992,5.814,95.624,0.04,1.18054321,0.203432099,0.584444444,0.320888889
Middle Fork Salmon,Bear Valley Creek,2000,325,325,0,305.748,161.568,0,467.316,0.06,1.437895385,0,0.940763077,0.497132308
Middle Fork Salmon,Bear Valley Creek,2001,740,740,10.26,138.618,52.614,9.213,210.705,0.15,0.284736486,0.013864865,0.187321622,0.0711
Middle Fork Salmon,Bear Valley Creek,2002,1177,1177,0,105.386,195.465,17.917,318.768,0.13,0.270830926,0,0.089537808,0.166070518
Middle Fork Salmon,Bear Valley Creek,2003,1315,1315,0,39.591,197.524,0,237.115,0.09,0.180315589,0,0.030107224,0.150208365
Middle Fork Salmon,Bear Valley Creek,2004,342,342,4.731,209.323,109.719,0,323.773,0.11,0.946704678,0.013833333,0.612055556,0.320815789
Middle Fork Salmon,Bear Valley Creek,2005,306,306,11.799,353.205,207.242,13.626,585.872,0.08,1.914614379,0.038558824,1.154264706,0.677261438
Middle Fork Salmon,Bear Valley Creek,2006,158,158,38.076,541.835,290.688,13.16,883.759,0.08,5.593411392,0.240987342,3.429335443,1.839797468
Middle Fork Salmon,Bear Valley Creek,2007,312,249,42.714,426.191,596.9,4.04,1069.845,0.09,3.428990385,0.136903846,1.365996795,1.913141026
Middle Fork Salmon,Bear Valley Creek,2008,437,437,27.252,311.14,233.31,0,571.702,0.15,1.308242563,0.062361556,0.711990847,0.53389016
Middle Fork Salmon,Bear Valley Creek,2009,501,501,18.8,153.015,60.817,0,232.632,0.09,0.464335329,0.03752495,0.305419162,0.121391218
Middle Fork Salmon,Bear Valley Creek,2010,791,791,114.635,936.183,168.102,0,1218.92,0.15,1.540986094,0.144924147,1.183543616,0.212518331
Middle Fork Salmon,Bear Valley Creek,2011,757,757,0,425.898,227.465,0,653.363,0.09,0.863095112,0,0.562612946,0.300482166
