,pod,all,expected.deaths,death.index,death.diff,expected.births,birth.index,birth.diff,death.diff.lag1,death.diff.lag2,birth.diff.lag1,birth.diff.lag2
1,J001,14,0.92,0,-0.92,0.508,0,-0.508,-0.743,-0.815,0.492,-0.508
2,J001,14,0.743,0,-0.743,0.508,1.968503937,0.492,-0.815,-0.834,-0.508,0.492
3,J001,15,0.815,0,-0.815,0.508,0,-0.508,-0.834,-1.264,0.492,1.492
4,J001,15,0.834,0,-0.834,0.508,1.968503937,0.492,-1.264,-1.14,1.492,-0.508
5,J001,16,1.264,0,-1.264,0.508,3.937007874,1.492,-1.14,-0.963,-0.508,0.492
6,J001,18,1.14,0,-1.14,0.508,0,-0.508,-0.963,0.037,0.492,-0.508
7,J001,18,0.963,0,-0.963,0.508,1.968503937,0.492,0.037,0.037,-0.508,0.492
8,J001,19,0.963,1.038421599,0.037,0.508,0,-0.508,0.037,-1.151,0.492,0.26
9,J001,18,0.963,1.038421599,0.037,0.508,1.968503937,0.492,-1.151,1.045,0.26,-0.74
10,J001,18,1.151,0,-1.151,0.74,1.351351351,0.26,1.045,-0.742,-0.74,-0.718
11,J001,19,0.955,2.094240838,1.045,0.74,0,-0.74,-0.742,0.043,-0.718,0.282
12,J001,17,0.742,0,-0.742,0.718,0,-0.718,0.043,-0.924,0.282,-0.649
13,J001,17,0.957,1.044932079,0.043,0.718,1.39275766,0.282,-0.924,-0.951,-0.649,0.235
14,J001,17,0.924,0,-0.924,0.649,0,-0.649,-0.951,-0.184,0.235,0.282
15,J001,17,0.951,0,-0.951,0.765,1.307189542,0.235,-0.184,-0.808,0.282,-0.765
16,J001,18,1.184,0.844594595,-0.184,0.718,1.39275766,0.282,-0.808,-0.808,-0.765,-0.765
17,J001,18,0.808,0,-0.808,0.765,0,-0.765,-0.808,-0.234,-0.765,1.119
18,J001,18,0.808,0,-0.808,0.765,0,-0.765,-0.234,-1.215,1.119,-0.881
19,J001,18,1.234,0.810372771,-0.234,0.881,2.27014756,1.119,-1.215,-0.271,-0.881,1.166
20,J001,19,1.215,0,-1.215,0.881,0,-0.881,-0.271,-1.056,1.166,-0.834
21,J001,19,1.271,0.786782061,-0.271,0.834,2.398081535,1.166,-1.056,0.714,-0.834,1.05
22,J001,20,1.056,0,-1.056,0.834,0,-0.834,0.714,-0.58,1.05,1.119
23,J001,20,1.286,1.555209953,0.714,0.95,2.105263158,1.05,-0.58,-0.116,1.119,-0.881
24,J001,20,1.58,0.632911392,-0.58,0.881,2.27014756,1.119,-0.116,0.918,-0.881,1.119
25,J001,21,1.116,0.896057348,-0.116,0.881,0,-0.881,0.918,-0.251,1.119,0.235
26,J001,20,1.082,1.848428835,0.918,0.881,2.27014756,1.119,-0.251,0.174,0.235,-0.696
27,J001,20,1.251,0.799360512,-0.251,0.765,1.307189542,0.235,0.174,-0.766,-0.696,0.304
28,J001,20,0.826,1.210653753,0.174,0.696,0,-0.696,-0.766,-0.766,0.304,-0.696
29,J001,19,0.766,0,-0.766,0.696,1.436781609,0.304,-0.766,-1.032,-0.696,1.282
30,J001,20,0.766,0,-0.766,0.696,0,-0.696,-1.032,-1.247,1.282,0.282
31,J001,20,1.032,0,-1.032,0.718,2.78551532,1.282,-1.247,-1.096,0.282,0.213
32,J001,22,1.247,0,-1.247,0.718,1.39275766,0.282,-1.096,-0.908,0.213,-0.903
33,J001,23,1.096,0,-1.096,0.787,1.27064803,0.213,-0.908,-1.142,-0.903,1.097
34,J001,24,0.908,0,-0.908,0.903,0,-0.903,-1.142,0.832,1.097,-0.972
35,J001,24,1.142,0,-1.142,0.903,2.214839424,1.097,0.832,-1.365,-0.972,1.981
36,J001,26,1.168,1.712328767,0.832,0.972,0,-0.972,-1.365,0.402,1.981,0.028
