,X1,Year,deaths,births,expected.deaths,death.index,death.diff,expected.births,birth.index,birth.diff,death.diff.lag1,death.diff.lag2,birth.diff.lag1,birth.diff.lag2
1,1,1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.68,NA,1.04
2,2,1972,NA,NA,NA,NA,NA,NA,NA,NA,-3.68,-2.632,1.04,1.04
3,3,1973,0,4,3.68,0,-3.68,2.96,1.351351351,1.04,-2.632,-1.51,1.04,-1.007
4,4,1974,1,4,3.632,0.275330396,-2.632,2.96,1.351351351,1.04,-1.51,-2.863,-1.007,-2.007
5,5,1975,2,2,3.51,0.56980057,-1.51,3.007,0.665114732,-1.007,-2.863,-3.746,-2.007,5.993
6,6,1976,0,1,2.863,0,-2.863,3.007,0.332557366,-2.007,-3.746,-3.734,5.993,-2.007
7,7,1977,1,9,4.746,0.210703751,-3.746,3.007,2.993016295,5.993,-3.734,-2.569,-2.007,0.109
8,8,1978,1,1,4.734,0.211237854,-3.734,3.007,0.332557366,-2.007,-2.569,-0.878,0.109,0.272
9,9,1979,1,3,3.569,0.28019053,-2.569,2.891,1.037703217,0.109,-0.878,0.266,0.272,-1.844
10,10,1980,3,3,3.878,0.773594636,-0.878,2.728,1.099706745,0.272,0.266,-0.267,-1.844,-2.239
11,11,1981,4,1,3.734,1.071237279,0.266,2.844,0.35161744,-1.844,-0.267,2.087,-2.239,-3.239
12,12,1982,3,1,3.267,0.918273646,-0.267,3.239,0.308737265,-2.239,2.087,-1.44,-3.239,-0.057
13,13,1983,5,0,2.913,1.716443529,2.087,3.239,0,-3.239,-1.44,-1.424,-0.057,1.943
14,14,1984,2,3,3.44,0.581395349,-1.44,3.057,0.981354269,-0.057,-1.424,-4.092,1.943,4.059
15,15,1985,3,5,4.424,0.678119349,-1.424,3.057,1.635590448,1.943,-4.092,-4.22,4.059,0.573
16,16,1986,1,7,5.092,0.196386489,-4.092,2.941,2.380142809,4.059,-4.22,-2.171,0.573,-1.333
17,17,1987,1,4,5.22,0.191570881,-4.22,3.427,1.167201634,0.573,-2.171,-0.675,-1.333,-1.264
18,18,1988,2,2,4.171,0.479501319,-2.171,3.333,0.600060006,-1.333,-0.675,-3.855,-1.264,2.736
19,19,1989,3,2,3.675,0.816326531,-0.675,3.264,0.612745098,-1.264,-3.855,-3.337,2.736,1.667
20,20,1990,1,6,4.855,0.205973223,-3.855,3.264,1.838235294,2.736,-3.337,-4.468,1.667,-2.286
21,21,1991,2,5,5.337,0.374742365,-3.337,3.333,1.500150015,1.667,-4.468,-1.835,-2.286,2.83
22,22,1992,0,1,4.468,0,-4.468,3.286,0.304321363,-2.286,-1.835,-0.842,2.83,-1.239
23,23,1993,3,6,4.835,0.620475698,-1.835,3.17,1.892744479,2.83,-0.842,0.958,-1.239,2.598
24,24,1994,4,2,4.842,0.826104915,-0.842,3.239,0.617474529,-1.239,0.958,-0.482,2.598,1.482
25,25,1995,6,6,5.042,1.190003967,0.958,3.402,1.76366843,2.598,-0.482,0.982,1.482,-3.681
26,26,1996,5,5,5.482,0.912075885,-0.482,3.518,1.421262081,1.482,0.982,3.848,-3.681,-1.681
27,27,1997,5,0,4.018,1.244400199,0.982,3.681,0,-3.681,3.848,0.104,-1.681,0.573
28,28,1998,7,2,3.152,2.220812183,3.848,3.681,0.543330617,-1.681,0.104,3.397,0.573,-1.474
29,29,1999,4,4,3.896,1.026694045,0.104,3.427,1.167201634,0.573,3.397,-3.194,-1.474,0.617
30,30,2000,7,2,3.603,1.942825423,3.397,3.474,0.575705239,-1.474,-3.194,0.023,0.617,-0.242
31,31,2001,0,4,3.194,0,-3.194,3.383,1.182382501,0.617,0.023,-2.945,-0.242,1.783
32,32,2002,4,3,3.977,1.005783254,0.023,3.242,0.925354719,-0.242,-2.945,-4.118,1.783,-0.449
33,33,2003,1,5,3.945,0.253485425,-2.945,3.217,1.554243084,1.783,-4.118,-1.046,-0.449,0.297
34,34,2004,0,3,4.118,0,-4.118,3.449,0.869817338,-0.449,-1.046,3.144,0.297,-0.75
35,35,2005,3,4,4.046,0.74147306,-1.046,3.703,1.080205239,0.297,3.144,-2.62,-0.75,0.504
36,36,2006,7,3,3.856,1.815352697,3.144,3.75,0.8,-0.75,-2.62,2.851,0.504,-1.377
37,37,2007,1,4,3.62,0.276243094,-2.62,3.496,1.14416476,0.504,2.851,-2.946,-1.377,1.761
38,38,2008,7,2,4.149,1.687153531,2.851,3.377,0.592241635,-1.377,-2.946,1.045,1.761,2.808
39,39,2009,1,5,3.946,0.253421186,-2.946,3.239,1.543686323,1.761,1.045,-4.278,2.808,-0.17
40,40,2010,6,6,4.955,1.210898083,1.045,3.192,1.879699248,2.808,-4.278,3.188,-0.17,-1.17
41,41,2011,0,3,4.278,0,-4.278,3.17,0.94637224,-0.17,3.188,1.578,-1.17,-2.217
42,42,2012,7,2,3.812,1.836306401,3.188,3.17,0.630914826,-1.17,1.578,0.994,-2.217,-1.333
43,43,2013,5,1,3.422,1.46113384,1.578,3.217,0.310848617,-2.217,0.994,-3.668,-1.333,4.736
44,44,2014,4,2,3.006,1.330671989,0.994,3.333,0.600060006,-1.333,-3.668,2.298,4.736,-2.101
45,45,2015,1,8,4.668,0.214224507,-3.668,3.264,2.450980392,4.736,2.298,0.101,-2.101,-2.938
46,46,2016,7,1,4.702,1.488728201,2.298,3.101,0.32247662,-2.101,0.101,NA,-2.938,NA
47,47,2017,3,0,2.899,1.0348396,0.101,2.938,0,-2.938,NA,NA,NA,NA
