mpg,stk,yr,eff,rec3,rec4,rec5,rec
Imnaha,Catherine Creek,1955,122,141.5533981,1804.054054,950.6766917,2896.284144
Imnaha,Catherine Creek,1956,2606,192.4324324,6496.290727,104.9069767,6793.630136
Imnaha,Catherine Creek,1957,1754,554.5614035,556.8139535,761.015625,1872.390982
Imnaha,Catherine Creek,1958,486,145.255814,3491.71875,313,3949.974564
Imnaha,Catherine Creek,1959,712,268.59375,474.2424242,196.7567568,939.592931
Imnaha,Catherine Creek,1960,3161,161.2424242,1040,91.39465875,1292.637083
Imnaha,Catherine Creek,1961,347,182.7027027,2102.077151,222.4365482,2507.216402
Imnaha,Catherine Creek,1962,1146,91.39465875,2351.472081,1268.292683,3711.159423
Imnaha,Catherine Creek,1963,313,603.7563452,2060.97561,238.6932849,2903.42524
Imnaha,Catherine Creek,1964,208,634.1463415,1089.038113,0,1723.184454
Imnaha,Catherine Creek,1965,770,179.0199637,2982.908497,123.7789661,3285.707427
Imnaha,Catherine Creek,1966,626,92.25490196,1503.030303,214.0615385,1809.346743
Imnaha,Catherine Creek,1967,1625,141.4616756,3175.246154,510.8032129,3827.511042
Imnaha,Catherine Creek,1968,822,178.3846154,1665.662651,798.3544304,2642.401696
Imnaha,Catherine Creek,1969,1882,66.62650602,3803.924051,274.0348101,4144.585367
Imnaha,Catherine Creek,1970,992,93.92405063,893.5917722,223.8877756,1211.403598
Imnaha,Catherine Creek,1971,2319,23.82911392,135.9318637,185.9698492,345.7308269
Imnaha,Catherine Creek,1972,1106,39.97995992,795.5376884,130,965.5176484
Imnaha,Catherine Creek,1973,1855,51.65829146,332.2222222,811.7534538,1195.633967
Imnaha,Catherine Creek,1974,753,19.25925926,121.2964931,163.354232,303.9099843
Imnaha,Catherine Creek,1975,399,0,417.460815,288.4090909,705.869906
Imnaha,Catherine Creek,1976,1028,24.20062696,737.0454545,79.49678801,840.7428695
Imnaha,Catherine Creek,1977,104,42.72727273,203.1584582,219.8360656,465.7217965
Imnaha,Catherine Creek,1978,878,11.77730193,561.8032787,709.6149615,1283.195542
Imnaha,Catherine Creek,1979,579,32.56830601,96.76567657,130.2,259.5339826
Imnaha,Catherine Creek,1980,1034,0,289.8,95.25751073,385.0575107
Imnaha,Catherine Creek,1981,275,0,302.3390558,114.4956522,416.834708
Imnaha,Catherine Creek,1982,745,16.56652361,222.0521739,8.190217391,246.8089149
Imnaha,Catherine Creek,1983,733,10.40869565,153.976087,74.66358382,239.0483664
Imnaha,Catherine Creek,1984,378,3.276086957,112.9526012,24.16648169,140.3951698
Imnaha,Catherine Creek,1985,386,3.828901734,56.38845727,0,60.217359
Imnaha,Catherine Creek,1986,399,0,0,4.349721913,4.349721913
Imnaha,Catherine Creek,1987,685,0,3.794438265,7.035830619,10.83026888
Imnaha,Catherine Creek,1988,690,1.110567297,36.93811075,98.08396125,136.1326393
Imnaha,Catherine Creek,1989,191,0,8.077502691,9.436464088,17.51396678
Imnaha,Catherine Creek,1990,145,8.077502691,6.033149171,0,14.11065186
Imnaha,Catherine Creek,1991,64,0,36,0.736842105,36.73684211
Imnaha,Catherine Creek,1992,162,4.4,35,13.31896552,52.71896552
Imnaha,Catherine Creek,1993,268,1.105263158,91.01293103,76.23541888,168.3536131
Imnaha,Catherine Creek,1994,28,6.659482759,20.26511135,0.918580376,27.84317448
Imnaha,Catherine Creek,1995,38,0,45.01043841,7.380699894,52.39113831
Imnaha,Catherine Creek,1996,35,0,47.35949099,36.88795322,84.2474442
Imnaha,Catherine Creek,1997,103,7.380699894,396.5454971,56.57894737,460.5051443
Imnaha,Catherine Creek,1998,91,27.66596491,179.576659,141.988521,349.2311449
Imnaha,Catherine Creek,1999,44,9.839816934,49.88785872,6.556053812,66.28372946
Imnaha,Catherine Creek,2000,58,1.918763797,31.96076233,7.266449511,41.14597564
Imnaha,Catherine Creek,2001,512,2.048766816,30.27687296,1.008360478,33.33400026
Imnaha,Catherine Creek,2002,430,3.229533116,90.752443,19.03125,113.0132261
Imnaha,Catherine Creek,2003,424,9.0752443,29.90625,8.023584906,47.00507921
Imnaha,Catherine Creek,2004,215,5.4375,74.88679245,22.29813392,102.6224264
Imnaha,Catherine Creek,2005,143,6.240566038,78.04346872,10.97626322,95.26029797
Imnaha,Catherine Creek,2006,251,39.02173436,510.3962397,75.81052632,625.2285004
Imnaha,Catherine Creek,2007,171,27.44065805,317.4565789,36.44854586,381.3457829
Imnaha,Catherine Creek,2008,216,80.54868421,313.4574944,33.1379538,427.1441324
Imnaha,Catherine Creek,2009,276,14.57941834,171.7148515,NA,186.2942698
Imnaha,Grande Ronde River Upper Mainstem,1955,56,12.93861386,514.3678161,90.61904762,617.9254776
Imnaha,Grande Ronde River Upper Mainstem,1956,40,54.86590038,626.0952381,158.3203125,839.281451
Imnaha,Grande Ronde River Upper Mainstem,1957,532,107.0952381,825.5273438,452.5581395,1385.180721
