year,pdo-jan,pdo-feb,pdo-mar,pdo-apr,pdo-may,pdo-jun,pdo-jul,pdo-aug,pdo-sep,pdo-oct,pdo-nov,pdo-dec,pdo-yr,pdo-win,pdo-spr,pdo-sum,pdo-fal,npgo-jan,npgo-feb,npgo-mar,npgo-apr,npgo-may,npgo-jun,npgo-jul,npgo-aug,npgo-sep,npgo-oct,npgo-nov,npgo-dec,npgo-yravg,npgo-yrsum,npgo-win,npgo-spr,npgo-sum,npgo-fal,upw-jan,upw-feb,upw-mar,upw-apr,upw-may,upw-jun,upw-jul,upw-aug,upw-sep,upw-oct,upw-nov,upw-dec,upw-yr,upw-win,upw-spr,upw-sum,upw-fal,up48-STI,up48-FTI,up48-LUSI,up48-TUMI,up48-TDMI,arc-win,arc-spr,arc-sum,arc-fal
1947,-0.09,0.02,-0.06,-0.39,0.06,1.03,0.7,0.5,0.55,1.6,0.13,0.52,0.380833333,-0.37,-0.13,0.743333333,0.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-29,-40,-9,0,21,6,-1,28,4,-96,-1,-78,-16.25,NaN,4,11,-31,NA,NA,NA,NA,NA,-0.494496082,0.064020598,0.322562205,-0.108266132
1948,0.34,0.21,-0.42,-2.01,0.64,0.61,-0.52,-1.29,-1.42,-1.53,-0.49,-1.9,-0.648333333,0.356666667,-0.596666667,-0.4,-1.146666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-67,-10,-8,-7,-3,25,14,11,-2,-14,-48,-61,-14.16666667,-51.66666667,-6,16.66666667,-21.33333333,NA,NA,NA,NA,NA,-0.712929757,-0.544262722,0.280516885,-0.711063841
1949,-2.76,-2.99,-1.75,-1.44,-1.28,-0.9,-1.38,-1.49,-1.5,-2.17,-1.07,-1.01,-1.645,-2.55,-1.49,-1.256666667,-1.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2,-32,-13,-15,0,23,18,-1,-3,-2,-219,-20,-22.16666667,-31.66666667,-9.333333333,13.33333333,-74.66666667,NA,NA,NA,NA,NA,-0.981335642,-0.596728043,-0.412218539,-0.386702374
1950,-1.73,-2.21,-1.91,-1.99,-3.02,-2.23,-3.5,-2.88,-2.33,-1.89,-1.46,-1.2,-2.195833333,-1.65,-2.306666667,-2.87,-1.893333333,-2.1883951,-1.4458314,-0.96503568,-0.85878799,-0.63408219,-0.58098428,-0.74211428,-0.54938418,-0.60154498,0.11943427,-0.25707438,-0.49336649,-0.766430557,-9.203,NaN,-0.819301953,-0.624160913,-0.24639503,-17,-201,-40,-24,18,8,12,1,0,-74,-91,-140,-45.66666667,-79.33333333,-15.33333333,7,-55,NA,NA,NA,NA,NA,-0.408283926,-0.603021378,-0.759274499,-0.339224128
1951,-1.25,-1.58,-1.72,-1.31,-1.17,-1.38,-0.24,-1.59,-0.82,-0.1,-0.44,-1.3,-1.075,-1.343333333,-1.4,-1.07,-0.453333333,-0.47853012,-0.41382623,-0.56954018,-0.56114016,-1.0714146,-1.4352384,-1.1039251,-1.1748547,-1.4195152,-1.0693902,-1.0120413,-1.2247459,-0.961180174,-11.524,-0.461907613,-0.734031647,-1.238006067,-1.166982233,-68,-48,-8,8,2,51,12,37,-2,-30,-165,-18,-19.08333333,-85.33333333,0.666666667,33.33333333,-65.66666667,NA,NA,NA,NA,NA,-0.241085859,-0.537583937,-0.143883346,-0.052274951
1952,-2.26,-1.65,-1.66,-1.91,-1.81,-1.87,-2.08,-1.4,-1.36,-0.89,-0.41,-0.95,-1.520833333,-1.736666667,-1.793333333,-1.783333333,-0.886666667,-1.3350548,-1.0909977,-0.66951595,-0.43371917,-0.62650865,-0.97265631,-1.3356465,-0.89742819,-0.58261822,-0.25781197,-0.31621332,0.84508038,-0.6394242,-7.683,-1.2169328,-0.576581257,-1.068577,-0.385547837,-162,-35,-7,-35,2,10,32,14,-1,-13,-104,-293,-49.33333333,-71.66666667,-13.33333333,18.66666667,-39.33333333,NA,NA,NA,NA,NA,-0.549945403,-0.613977553,-0.687074753,-0.208780844
1953,-0.16,-0.4,-1.26,-0.96,-0.57,-0.36,0.17,-0.81,-0.81,-1.19,-0.42,-0.02,-0.565833333,-0.503333333,-0.93,-0.333333333,-0.806666667,0.94395233,0.74797162,1.2173325,1.2502004,1.2707073,1.056728,1.0407542,0.6189014,0.29073101,1.0815173,2.0496203,1.418955,1.082280947,12.992,0.84566811,1.246080067,0.9054612,1.14062287,-108,-13,-30,-9,-6,4,10,0,0,-51,-190,-32,-35.41666667,-138,-15,4.666666667,-80.33333333,NA,NA,NA,NA,NA,-0.41585974,-0.485541224,-0.157886527,-0.381292123
1954,-0.99,-0.93,-1,-1.23,-0.63,0.64,0.07,-0.18,-1,0.08,0.86,0.37,-0.328333333,-0.646666667,-0.953333333,0.176666667,-0.02,1.0939573,1.156514,0.07937343,-0.37253308,-0.16404023,0.17838068,-0.035203404,-0.13153747,-0.26280328,0.18381241,0.35474005,0.40412547,0.20706549,2.4832,1.2231421,-0.15239996,0.003879935,0.091916393,-45,-85,-3,3,4,-2,6,16,0,-85,-133,-166,-40.83333333,-54,1.333333333,6.666666667,-72.66666667,NA,NA,NA,NA,NA,-0.441306506,-0.341149302,-0.310942346,0.090997692
1955,-0.18,-1.09,-1.26,-2.22,-1.82,-2.21,-2.75,-2.56,-2.38,-3.29,-2.66,-2.2,-2.051666667,-0.3,-1.766666667,-2.506666667,-2.776666667,0.32620733,-0.24927549,-0.2159785,0.0407132,0.26141044,-0.015894133,-0.088022544,0.2745267,-0.11022702,-0.52419361,-0.080028769,-0.5180143,-0.074898058,-0.8982,0.160352437,0.028715047,0.056870008,-0.2381498,-49,-1,2,-5,37,30,20,39,11,-32,-68,-96,-9.333333333,-72,11.33333333,29.66666667,-29.66666667,NA,NA,NA,NA,NA,-0.282913187,-0.709745603,-1.0253029,-1.082744458
1956,-2.23,-2.31,-2.89,-2.57,-1.59,-1.96,-1.52,-1.02,-0.35,-1.71,-2.44,-1.26,-1.820833333,-2.246666667,-2.35,-1.5,-1.5,0.1202669,-0.13795981,0.022979146,-0.038234934,0.14195733,0.47106723,0.4639145,0.53975909,0.30064613,-0.051508982,-0.22625107,-0.76721175,0.069951982,0.8403,-0.17856907,0.042233847,0.491580273,0.007628693,-170,-22,-28,28,32,7,50,31,2,-14,-46,-71,-16.75,-96,10.66666667,29.33333333,-19.33333333,NA,NA,NA,NA,NA,-0.503038929,-0.632658043,-0.440516792,-0.435052626
1957,-1.36,-1.48,-0.9,-0.79,0,1.61,0.64,0.34,1.89,1.82,1.67,0.53,0.330833333,-1.366666667,-0.563333333,0.863333333,1.793333333,-1.2715967,-1.9587271,-1.3393664,-1.2553542,-1.0382093,-1.1681711,-0.75587754,-0.90544124,-0.9222347,-1.0286289,-1.407435,-0.71664127,-1.147306954,-13.78,-1.33251185,-1.210976633,-0.943163293,-1.119432867,-57,-18,-37,8,9,22,29,9,0,-13,-35,-114,-16.41666667,-48.66666667,-6.666666667,20,-16,NA,NA,NA,NA,NA,-0.459513887,0.098871092,0.601629644,0.72313263
1958,0.88,0.98,0.68,0.76,1.55,1.62,0.52,1.13,0.82,0.46,0.47,1.19,0.921666667,0.796666667,0.996666667,1.09,0.583333333,0.11660279,0.14663043,-1.1516998,-0.71935478,-0.85098363,-0.72342443,-0.86964646,-0.6288164,-0.20443409,-0.50880797,-0.77451839,-0.40523129,-0.547807002,-6.571,-0.151136017,-0.90734607,-0.740629097,-0.49592015,-240,-148,-10,-3,26,44,90,36,1,-31,-35,-157,-35.58333333,-167.3333333,4.333333333,56.66666667,-21.66666667,NA,NA,NA,NA,NA,0.484303436,0.485709394,0.789846682,0.230131202
1959,1.06,0.36,0.07,-0.05,-0.06,0.29,-0.41,-0.38,-0.51,0.88,1.38,1.04,0.305833333,0.87,-0.013333333,-0.166666667,0.583333333,0.12278854,-0.59064476,-0.39206877,-0.45130383,-0.43784908,-0.37320207,-0.39649446,-0.50436494,0.072659201,0.13413238,-0.04796909,0.42278478,-0.203461008,-2.4403,-0.29102917,-0.427073893,-0.424687157,0.05294083,-86,-30,-25,10,19,10,42,43,0,-4,-34,-109,-13.66666667,-91,1.333333333,31.66666667,-12.66666667,NA,NA,NA,NA,NA,0.45369813,0.228067806,0.183256256,0.283289493
1960,0.33,0.57,0.35,0.15,0.42,1.07,-0.59,-0.32,-0.97,-0.34,-0.27,0.15,0.045833333,0.646666667,0.306666667,0.053333333,-0.526666667,1.0163805,0.81857807,0.86326859,0.79348216,0.91892054,0.31314454,0.70915221,0.43794466,0.52397594,0.48853548,0.95336825,1.1361285,0.747739953,8.98,0.752581117,0.858557097,0.486747137,0.655293223,-127,-32,-29,-36,-11,39,28,21,7,-56,-85,-111,-32.66666667,-89.33333333,-25.33333333,29.33333333,-44.66666667,NA,NA,NA,NA,NA,0.061794912,0.039959889,-0.049591302,-0.359063563
1961,0.9,0.92,0.62,0.32,-0.39,-0.67,-1.12,-0.81,-1.19,-1.76,-1.49,-1.77,-0.536666667,0.656666667,0.183333333,-0.866666667,-1.48,1.1032184,1.3593808,1.7493986,0.95715692,1.4002097,1.2018429,1.0626986,1.0746483,0.77296683,0.34873726,0.22058507,0.39737078,0.970684513,11.637,1.1995759,1.36892174,1.113063267,0.44742972,-254,-106,-91,14,1,5,32,13,23,-4,-66,-45,-39.83333333,-157,-25.33333333,16.66666667,-15.66666667,NA,NA,NA,NA,NA,-0.096467858,-0.003075797,0.096214936,-0.270432194
1962,-1.04,-1.04,-1.14,-0.97,-1.29,-1.8,-1.93,-0.67,-1.58,-1.64,-0.37,-0.2,-1.139166667,-1.283333333,-1.133333333,-1.466666667,-1.196666667,0.17476225,-0.14977739,-0.60767641,-0.47141795,-0.73901362,-0.30441143,-0.062123467,-0.37063506,0.33421582,0.16424001,0.44560527,0.46514247,-0.093424126,-1.1211,0.140785213,-0.606035993,-0.245723319,0.314687033,-42,-20,-6,-16,27,12,54,7,2,-35,-121,-106,-20.33333333,-35.66666667,1.666666667,24.33333333,-51.33333333,NA,NA,NA,NA,NA,-0.301333415,-0.162548524,-0.255460593,-0.309144981
