"","target","cat","subcat","offset","terminal_rho","rho_sd","pval","group","rho_zero"
"1","pdo_year_-5","pdo","year","-5",0.0613856409563113,0.0665201096038515,0.48,"SRKW",-0.00513446864754018
"2","pdo_win_-5","pdo","win","-5",0.00870832495104816,0.0593470615905259,0.49,"SRKW",-0.0506387366394777
"3","pdo_spr_-5","pdo","spr","-5",0.0249446961421881,0.0637679116866016,0.49,"SRKW",-0.0388232155444135
"4","pdo_sum_-5","pdo","sum","-5",0.00326201367029216,0.075654247111721,0.52,"SRKW",-0.0723922334414288
"5","pdo_fal_-5","pdo","fal","-5",0.132688163822434,0.0581492781862323,0.35,"SRKW",0.0745388856362013
"6","npgo_year_-5","npgo","year","-5",0.0334204907890098,0.0751014413004417,0.5,"SRKW",-0.0416809505114319
"7","npgo_win_-5","npgo","win","-5",0.162383198943119,0.062397202409291,0.13,"SRKW",0.0999859965338279
"8","npgo_spr_-5","npgo","spr","-5",-0.0107786076486989,0.0733814375243412,0.62,"SRKW",-0.0841600451730402
"9","npgo_sum_-5","npgo","sum","-5",0.0406814581589233,0.0771741958858287,0.51,"SRKW",-0.0364927377269054
"10","npgo_fal_-5","npgo","fal","-5",-0.0430260260496303,0.0740950451906909,0.63,"SRKW",-0.117121071240321
"11","oni_year_-5","oni","year","-5",0.0427890014112134,0.0723858863725816,0.26,"SRKW",-0.0295968849613682
"12","oni_win_-5","oni","win","-5",-0.101639692272066,0.0616515714983358,0.79,"SRKW",-0.163291263770402
"13","oni_spr_-5","oni","spr","-5",-0.152120425562835,0.0640823211011399,0.89,"SRKW",-0.216202746663975
"14","oni_sum_-5","oni","sum","-5",0.0316415289779171,0.0694959755277492,0.36,"SRKW",-0.0378544465498321
"15","oni_fal_-5","oni","fal","-5",-0.0805539642540188,0.059016029504522,0.69,"SRKW",-0.139569993758541
"16","arc_win_-5","arc","win","-5",-0.117522444190031,0.0589483120856053,0.83,"SRKW",-0.176470756275637
"17","arc_spr_-5","arc","spr","-5",0.00816936382197922,0.0620931808939219,0.51,"SRKW",-0.0539238170719427
"18","arc_sum_-5","arc","sum","-5",0.0721880015249625,0.055804984290015,0.37,"SRKW",0.0163830172349475
"19","arc_fal_-5","arc","fal","-5",0.109618679196337,0.0621915933502067,0.24,"SRKW",0.0474270858461308
"20","noi_year_-5","noi","year","-5",-0.074768591982014,0.0597132608536243,0.71,"SRKW",-0.134481852835638
"21","noi_win_-5","noi","win","-5",-0.133630272505694,0.0576006006974688,0.78,"SRKW",-0.191230873203163
"22","noi_spr_-5","noi","spr","-5",0.0862350313929979,0.0674753855341925,0.27,"SRKW",0.0187596458588054
"23","noi_sum_-5","noi","sum","-5",0.0480794692091051,0.0608570999603542,0.18,"SRKW",-0.0127776307512491
"24","noi_fal_-5","noi","fal","-5",0.0500954542606152,0.0554154577981132,0.36,"SRKW",-0.00532000353749796
"25","upw_year_-5","upw","year","-5",-0.000498326724000019,0.0559446258729319,0.42,"SRKW",-0.0564429525969319
"26","upw_win_-5","upw","win","-5",0.00684002762637671,0.049908924316689,0.45,"SRKW",-0.0430688966903123
"27","upw_spr_-5","upw","spr","-5",-0.0714583003381136,0.0710009956480544,0.68,"SRKW",-0.142459295986168
"28","upw_sum_-5","upw","sum","-5",0.185839266334979,0.0501505428597727,0.12,"SRKW",0.135688723475206
"29","upw_fal_-5","upw","fal","-5",0.065529934334395,0.0716986781079623,0.37,"SRKW",-0.00616874377356728
"30","upw_STI_-5","upw","STI","-5",-0.0400785079603652,0.0666192308827848,0.52,"SRKW",-0.10669773884315
"31","upw_FTI_-5","upw","FTI","-5",-0.122473658914474,0.0668031711904466,0.84,"SRKW",-0.18927683010492
"32","upw_LUSI_-5","upw","LUSI","-5",0.032034026336621,0.0543987492140514,0.46,"SRKW",-0.0223647228774304
"33","upw_TUMI_-5","upw","TUMI","-5",0.120373428112629,0.0563414063475032,0.44,"SRKW",0.0640320217651253
"34","upw_TDMI_-5","upw","TDMI","-5",-0.0590663117952633,0.0738131945685526,0.64,"SRKW",-0.132879506363816
"35","pdo_year_-4","pdo","year","-4",-0.00795396608898924,0.0631246127572048,0.58,"SRKW",-0.071078578846194
"36","pdo_win_-4","pdo","win","-4",0.0316112049475746,0.0549192191283878,0.4,"SRKW",-0.0233080141808132
"37","pdo_spr_-4","pdo","spr","-4",0.0139057632682583,0.0597707440421574,0.46,"SRKW",-0.0458649807738991
"38","pdo_sum_-4","pdo","sum","-4",-0.1149914342505,0.0618329870299611,0.8,"SRKW",-0.176824421280461
"39","pdo_fal_-4","pdo","fal","-4",0.113304587563682,0.0533282010000484,0.32,"SRKW",0.0599763865636337
"40","npgo_year_-4","npgo","year","-4",0.0290649344846117,0.0641940510491015,0.41,"SRKW",-0.0351291165644899
"41","npgo_win_-4","npgo","win","-4",0.181748148314051,0.0659687445243639,0.076,"SRKW",0.115779403789687
"42","npgo_spr_-4","npgo","spr","-4",0.0158562288547272,0.0637954605252257,0.46,"SRKW",-0.0479392316704985
"43","npgo_sum_-4","npgo","sum","-4",0.0578018514507772,0.0622387857743405,0.38,"SRKW",-0.00443693432356331
"44","npgo_fal_-4","npgo","fal","-4",-0.0726502746300536,0.0709580873917177,0.7,"SRKW",-0.143608362021771
"45","oni_year_-4","oni","year","-4",-0.126483125556213,0.0746899900364784,0.8,"SRKW",-0.201173115592691
"46","oni_win_-4","oni","win","-4",-0.127037181862606,0.056017683079475,0.86,"SRKW",-0.183054864942081
"47","oni_spr_-4","oni","spr","-4",-0.100051854425344,0.0650972529395461,0.76,"SRKW",-0.16514910736489
"48","oni_sum_-4","oni","sum","-4",-0.128459404273502,0.0626758139700978,0.81,"SRKW",-0.1911352182436
"49","oni_fal_-4","oni","fal","-4",-0.180721844322097,0.0739551200241636,0.89,"SRKW",-0.254676964346261
"50","arc_win_-4","arc","win","-4",0.0222011222648878,0.0603309736762091,0.47,"SRKW",-0.0381298514113213
"51","arc_spr_-4","arc","spr","-4",0.0338663636787668,0.063258732123596,0.45,"SRKW",-0.0293923684448292
"52","arc_sum_-4","arc","sum","-4",0.00984663836289993,0.0642986609083135,0.62,"SRKW",-0.0544520225454136
"53","arc_fal_-4","arc","fal","-4",0.0417812091357009,0.0557814694781718,0.54,"SRKW",-0.0140002603424708
"54","noi_year_-4","noi","year","-4",-0.0074843760141138,0.0611723475103459,0.57,"SRKW",-0.0686567235244597
"55","noi_win_-4","noi","win","-4",-0.0780454547260289,0.0632059359676809,0.67,"SRKW",-0.14125139069371
"56","noi_spr_-4","noi","spr","-4",-0.0171874435812801,0.057612430460173,0.54,"SRKW",-0.0747998740414531
"57","noi_sum_-4","noi","sum","-4",-0.161254064951621,0.0737084854618447,0.81,"SRKW",-0.234962550413466
"58","noi_fal_-4","noi","fal","-4",0.158865173187045,0.0503275426503239,0.15,"SRKW",0.108537630536721
"59","upw_year_-4","upw","year","-4",-0.109018313974412,0.0693026557008149,0.8,"SRKW",-0.178320969675227
"60","upw_win_-4","upw","win","-4",-0.0627605575738585,0.0677109017892927,0.66,"SRKW",-0.130471459363151
"61","upw_spr_-4","upw","spr","-4",0.0192148690321971,0.0658462779123286,0.44,"SRKW",-0.0466314088801315
"62","upw_sum_-4","upw","sum","-4",0.143968610936427,0.0586370700476292,0.19,"SRKW",0.0853315408887978
"63","upw_fal_-4","upw","fal","-4",0.0420269165687131,0.0654365186414693,0.44,"SRKW",-0.0234096020727562
"64","upw_STI_-4","upw","STI","-4",0.0602900128452572,0.0624890732333931,0.35,"SRKW",-0.0021990603881359
"65","upw_FTI_-4","upw","FTI","-4",0.00548829352958535,0.0649935251205249,0.47,"SRKW",-0.0595052315909395
"66","upw_LUSI_-4","upw","LUSI","-4",-0.0575012859365922,0.070684347979901,0.68,"SRKW",-0.128185633916493
"67","upw_TUMI_-4","upw","TUMI","-4",-0.0896680483637742,0.0752809504566055,0.69,"SRKW",-0.16494899882038
"68","upw_TDMI_-4","upw","TDMI","-4",-0.0306664515810476,0.0679988414946827,0.57,"SRKW",-0.0986652930757303
"69","pdo_year_-3","pdo","year","-3",0.0948287414874386,0.0578550835560056,0.27,"SRKW",0.036973657931433
"70","pdo_win_-3","pdo","win","-3",0.101002193067181,0.0530891560473799,0.23,"SRKW",0.0479130370198009
"71","pdo_spr_-3","pdo","spr","-3",-0.0111918006540501,0.0559014391625239,0.53,"SRKW",-0.067093239816574
"72","pdo_sum_-3","pdo","sum","-3",0.046007072682963,0.0576642308251486,0.34,"SRKW",-0.0116571581421857
"73","pdo_fal_-3","pdo","fal","-3",0.150103191426478,0.0470028695162083,0.18,"SRKW",0.10310032191027
"74","npgo_year_-3","npgo","year","-3",0.0480720231698111,0.0666347018220487,0.32,"SRKW",-0.0185626786522377
"75","npgo_win_-3","npgo","win","-3",0.046320135047917,0.0675109302060141,0.34,"SRKW",-0.0211907951580971
"76","npgo_spr_-3","npgo","spr","-3",0.102875492464421,0.0640983315513684,0.18,"SRKW",0.0387771609130528
"77","npgo_sum_-3","npgo","sum","-3",0.113498158188479,0.0676320956324106,0.18,"SRKW",0.0458660625560687
"78","npgo_fal_-3","npgo","fal","-3",-0.0235984694862362,0.0680254690020827,0.55,"SRKW",-0.0916239384883189
"79","oni_year_-3","oni","year","-3",-0.0389342010720219,0.0675339899315253,0.63,"SRKW",-0.106468191003547
"80","oni_win_-3","oni","win","-3",-0.161081936293608,0.0567352057369018,0.91,"SRKW",-0.21781714203051
"81","oni_spr_-3","oni","spr","-3",-0.0320147143160799,0.0738427079313887,0.66,"SRKW",-0.105857422247469
"82","oni_sum_-3","oni","sum","-3",-0.0919789692310283,0.0658049655944389,0.74,"SRKW",-0.157783934825467
"83","oni_fal_-3","oni","fal","-3",-0.180131227595148,0.060596916872926,0.91,"SRKW",-0.240728144468074
"84","arc_win_-3","arc","win","-3",0.0918765725453325,0.0608961431461532,0.36,"SRKW",0.0309804293991793
"85","arc_spr_-3","arc","spr","-3",0.0919225767385458,0.0580182006929105,0.4,"SRKW",0.0339043760456353
"86","arc_sum_-3","arc","sum","-3",0.197622880281152,0.0621596014895759,0.39,"SRKW",0.135463278791576
"87","arc_fal_-3","arc","fal","-3",0.157269608678011,0.0592508601259786,0.36,"SRKW",0.0980187485520321
"88","noi_year_-3","noi","year","-3",0.148943682379018,0.0598160558652707,0.18,"SRKW",0.0891276265137475
"89","noi_win_-3","noi","win","-3",0.0938609731018598,0.0538406261292547,0.3,"SRKW",0.0400203469726051
"90","noi_spr_-3","noi","spr","-3",-0.00441114171077656,0.0577616329872558,0.51,"SRKW",-0.0621727746980323
"91","noi_sum_-3","noi","sum","-3",-0.0981653481068293,0.0675207570805872,0.71,"SRKW",-0.165686105187416
"92","noi_fal_-3","noi","fal","-3",0.0659870348807738,0.0557773288517745,0.3,"SRKW",0.0102097060289993
"93","upw_year_-3","upw","year","-3",-0.00827290105647011,0.0564912957451803,0.55,"SRKW",-0.0647641968016504
"94","upw_win_-3","upw","win","-3",-0.0825563504477846,0.0674596297395606,0.73,"SRKW",-0.150015980187345
"95","upw_spr_-3","upw","spr","-3",0.0226562579769856,0.0696201238923567,0.49,"SRKW",-0.0469638659153711
"96","upw_sum_-3","upw","sum","-3",0.0935879956889092,0.0627928955706391,0.23,"SRKW",0.0307951001182701
"97","upw_fal_-3","upw","fal","-3",0.0546073422153679,0.0685145546507714,0.36,"SRKW",-0.0139072124354035
"98","upw_STI_-3","upw","STI","-3",-0.0829263779907312,0.0693535843625004,0.68,"SRKW",-0.152279962353232
"99","upw_FTI_-3","upw","FTI","-3",-0.0771494283151223,0.0714039896927319,0.71,"SRKW",-0.148553418007854
"100","upw_LUSI_-3","upw","LUSI","-3",-0.0200435264796886,0.0679851046219525,0.61,"SRKW",-0.0880286311016411
"101","upw_TUMI_-3","upw","TUMI","-3",0.0451808156575074,0.063412288589101,0.5,"SRKW",-0.0182314729315936
"102","upw_TDMI_-3","upw","TDMI","-3",0.132890471374316,0.0622502319714384,0.18,"SRKW",0.0706402394028777
"103","orca_NRKW_-2","orca","NRKW","-2",0.361962313194385,0.059583550188978,0.57,"SRKW",0.302378763005407
"104","orca_SEAK_-2","orca","SEAK","-2",0.546610317640743,0.0406092131580343,0.25,"SRKW",0.506001104482709
"105","orca_WAK_-2","orca","WAK","-2",0.55855773866566,0.0375314558919103,0.2,"SRKW",0.52102628277375
"106","orca_NRKW_-1","orca","NRKW","-1",0.372299845109121,0.0600775996671233,0.59,"SRKW",0.312222245441998
"107","orca_SEAK_-1","orca","SEAK","-1",0.598913314424118,0.034689691495264,0.11,"SRKW",0.564223622928854
"108","orca_WAK_-1","orca","WAK","-1",0.612046809702532,0.035064705459834,0.1,"SRKW",0.576982104242698
"109","orca_NRKW_0","orca","NRKW","0",0.48266595354225,0.0444634176803352,0.44,"SRKW",0.438202535861914
"110","orca_SEAK_0","orca","SEAK","0",0.594716476737981,0.0343243393470445,0.14,"SRKW",0.560392137390936
"111","orca_WAK_0","orca","WAK","0",0.607075709752205,0.0357953784454512,0.11,"SRKW",0.571280331306754
"112","spring_centralbc_-2","spring","centralbc","-2",0.207359105763632,0.0646369239671501,0.17,"SRKW",0.142722181796482
"113","winter_centralvalley_-2","winter","centralvalley","-2",0.239961351152431,0.0676315294343192,0.3,"SRKW",0.172329821718112
"114","spring_centralvalley_-2","spring","centralvalley","-2",-0.0997270346390497,0.0644314667674597,0.79,"SRKW",-0.164158501406509
"115","fall_centralvalley_-2","fall","centralvalley","-2",-0.109487544852682,0.0730384855761503,0.76,"SRKW",-0.182526030428832
"116","latefall_centralvalley_-2","latefall","centralvalley","-2",-0.111526354682156,0.0647673607156649,0.79,"SRKW",-0.17629371539782
"117","spring_fraser_-2","spring","fraser","-2",0.236354887117161,0.0610519774043519,0.058,"SRKW",0.175302909712809
"118","summer_fraser_-2","summer","fraser","-2",0.204287535527565,0.0676716326663131,0.5,"SRKW",0.136615902861251
"119","spring_klamathtrin_-2","spring","klamathtrin","-2",-0.0431001367895958,0.0387663408885512,0.62,"SRKW",-0.081866477678147
"120","fall_klamathtrin_-2","fall","klamathtrin","-2",0.0467735503632126,0.0610854497227826,0.22,"SRKW",-0.0143118993595701
"121","spring_lowercolumbia_-2","spring","lowercolumbia","-2",-0.0861342050811589,0.0679095885523669,0.71,"SRKW",-0.154043793633526
"122","fall_lowercolumbia_-2","fall","lowercolumbia","-2",0.233086374611301,0.0600174606590591,0.096,"SRKW",0.173068913952242
"123","fall_midupcolumbia_-2","fall","midupcolumbia","-2",0.0663235265006652,0.0812428684763268,0.6,"SRKW",-0.0149193419756617
"124","spring_midupcolumbiasnake_-2","spring","midupcolumbiasnake","-2",-0.07800507225384,0.0644764432533682,0.72,"SRKW",-0.142481515507208
"125","summer_midupcolumbiasnake_-2","summer","midupcolumbiasnake","-2",0.139214572326106,0.0735518021071018,0.61,"SRKW",0.065662770219004
"126","fall_northcentraloregoncoast_-2","fall","northcentraloregoncoast","-2",0.084865192681482,0.0635672077788549,0.6,"SRKW",0.0212979849026271
"127","spring_northbc_-2","spring","northbc","-2",0.228250481206,0.0600644234459725,0.051,"SRKW",0.168186057760027
"128","fall_npugetsound_-2","fall","npugetsound","-2",0.075087251518891,0.0632678316853819,0.6,"SRKW",0.011819419833509
"129","spring_npugetsound_-2","spring","npugetsound","-2",0.00142495236328054,0.0731674463325486,0.5,"SRKW",-0.071742493969268
"130","spring_sealaska_-2","spring","sealaska","-2",-0.0593721642020344,0.0785095415825202,0.65,"SRKW",-0.137881705784555
"131","fall_soncc_-2","fall","soncc","-2",0.0560996007021488,0.0685651503986133,0.18,"SRKW",-0.0124655496964645
"132","spring_soncc_-2","spring","soncc","-2",0.0804942537517292,0.0563658184844029,0.18,"SRKW",0.0241284352673262
"133","fall_spugetsound_-2","fall","spugetsound","-2",0.0780356187630013,0.0798643670488536,0.32,"SRKW",-0.00182874828585239
"134","fall_straightogeorgia_-2","fall","straightogeorgia","-2",0.0167650741690311,0.0658250616572873,0.42,"SRKW",-0.0490599874882563
"135","fall_wacoast_-2","fall","wacoast","-2",0.0180750862844092,0.0719211404710181,0.42,"SRKW",-0.0538460541866089
"136","spring_wacoast_-2","spring","wacoast","-2",0.147765901164501,0.0714066004268636,0.14,"SRKW",0.0763593007376376
