FP,cat,subcat,offset,ESU_rec4n,Middle Fork Salmon_rec4n,Imnaha_rec4n,Upper Salmon_rec4n,ESU_rec5n,Middle Fork Salmon_rec5n,Imnaha_rec5n,Upper Salmon_rec5n
arc.sum.2,arc,sum,2,0.2424867,0.18588305,NA,NA,0.45453698,0.34957403,0.32032415,0.2884734188
arc.sum.3,arc,sum,3,0.2209461,0.18672152,NA,NA,0.41318746,0.29434855,NA,0.2570304407
arc.sum.4,arc,sum,4,0.2600948,0.23144495,NA,NA,0.39520261,0.29086237,0.24250117,0.210271372
arc.sum.5,arc,sum,5,0.2593378,0.19408005,NA,NA,0.35767982,0.24168789,NA,0.2607708034
arc.win.2,arc,win,2,0.3364889,0.24440259,NA,NA,0.45808215,0.4385982,0.22589237,NA
arc.win.3,arc,win,3,0.290952,0.25313664,NA,NA,0.40635853,0.36234501,0.1799827,0.2871947932
arc.win.4,arc,win,4,0.2639986,0.23032329,NA,NA,0.38327538,0.30173659,0.10516856,0.3467172557
arc.win.5,arc,win,5,0.2598544,0.26812612,NA,NA,0.34943517,0.31122903,NA,0.2419544247
csl.bonn.2,csl,bonn,2,0.347611,0.32846466,NA,NA,0.31213,0.30150539,0.04552891,0.0575065206
csl.bonn.3,csl,bonn,3,0.382039,0.36536607,NA,NA,0.29566279,0.31965542,0.03628736,0.1066581698
csl.bonn.4,csl,bonn,4,0.3973254,0.39500247,NA,NA,0.25149389,0.26375659,NA,0.1678352709
csl.bonn.5,csl,bonn,5,0.4085032,0.34930217,NA,NA,0.23618972,0.22122687,0.01112448,0.1234193532
csl.COL.2,csl,COL,2,0.3671664,0.34264464,NA,NA,0.28004797,0.31364547,NA,0.1773350593
csl.COL.3,csl,COL,3,0.4271577,0.38856356,NA,NA,0.17648904,0.22728429,NA,0.1370220421
csl.COL.4,csl,COL,4,0.4407644,0.37273515,NA,NA,0.15373055,0.09661461,NA,0.1253128341
csl.COL.5,csl,COL,5,0.4032733,0.19003148,NA,NA,0.17087287,0.0915707,NA,NA
csl.Dmales.2,csl,Dmales,2,0.3447809,0.14177775,NA,0.124235417,0.28675324,0.20452204,0.16691665,NA
csl.Dmales.3,csl,Dmales,3,0.1990846,NA,NA,NA,0.31033073,0.26300795,0.14831594,NA
csl.Dmales.4,csl,Dmales,4,0.2825477,0.16203663,NA,NA,0.33673103,0.2088117,0.21963282,NA
csl.Dmales.5,csl,Dmales,5,0.3489739,0.23510395,NA,NA,0.39917152,0.28168337,0.18895975,NA
csl.Dmales6.2,csl,Dmales6,2,0.443159,0.41177683,NA,NA,0.18261982,NA,0.10948757,NA
csl.Dmales6.3,csl,Dmales6,3,0.4365694,0.27858878,NA,NA,0.21595552,NA,0.17743173,NA
csl.Dmales6.4,csl,Dmales6,4,0.3566191,0.15720701,NA,NA,0.28857677,NA,0.23289454,NA
csl.Dmales6.5,csl,Dmales6,5,0.3225582,0.03096561,NA,NA,0.30165025,NA,0.27398831,NA
csl.Dpups.-1,csl,Dpups,-1,0.4817355,0.30283196,NA,0.061260512,0.39422058,0.30131613,0.31915825,0.1947800726
csl.Dpups.-2,csl,Dpups,-2,0.4322292,0.36726502,NA,NA,0.41847203,0.32159496,0.31209888,0.1741039005
csl.Dpups.-3,csl,Dpups,-3,0.34449,0.22780974,NA,NA,0.48070128,0.39413867,NA,0.2281422638
csl.Dpups.-4,csl,Dpups,-4,0.4086294,0.2698158,NA,NA,0.46232152,0.38831556,NA,0.2584548581
csl.Dpups.-5,csl,Dpups,-5,0.3741582,0.27150494,NA,NA,0.46489568,0.48633739,0.35311143,NA
csl.Dpups.0,csl,Dpups,0,0.4717567,0.23086027,NA,0.125689874,0.35975844,0.30605292,0.22542306,0.2261364377
csl.haulout.2,csl,haulout,2,0.3946752,0.18029206,NA,NA,0.37441519,0.17780933,NA,0.0803752456
csl.haulout.3,csl,haulout,3,0.3659454,0.08856199,NA,NA,0.35963209,0.07318855,NA,0.1478389819
csl.haulout.4,csl,haulout,4,0.3830972,0.27499293,NA,NA,0.242562,0.1095044,NA,0.1707714851
csl.haulout.5,csl,haulout,5,0.4433768,0.32970588,NA,NA,0.20953262,NA,NA,NA
csl.males.2,csl,males,2,NA,NA,NA,NA,0.15492988,0.07962344,NA,NA
csl.males.3,csl,males,3,NA,NA,NA,NA,0.16334904,0.11778874,NA,NA
csl.males.4,csl,males,4,NA,NA,NA,NA,0.2128656,0.08893902,NA,NA
csl.males.5,csl,males,5,0.2567495,NA,NA,NA,0.24218632,0.08179574,NA,NA
csl.males6.2,csl,males6,2,0.4051917,0.29747258,NA,NA,0.14465319,0.14306352,NA,0.0010284493
csl.males6.3,csl,males6,3,0.3594891,NA,NA,NA,0.16902624,0.11098841,NA,NA
csl.males6.4,csl,males6,4,0.3028185,NA,NA,NA,0.23630369,0.15623312,NA,NA
csl.males6.5,csl,males6,5,0.2697866,NA,0.05388928,NA,0.20990429,0.08612153,NA,NA
csl.pups.-1,csl,pups,-1,0.3787039,0.23693299,NA,NA,0.30701985,0.31153511,0.26853185,0.0473040086
csl.pups.-2,csl,pups,-2,0.383124,0.3064648,NA,NA,0.34189414,0.30562014,0.2152477,NA
csl.pups.-3,csl,pups,-3,NA,NA,NA,NA,0.35486457,0.32610414,0.13137623,0.0752597246
csl.pups.-4,csl,pups,-4,0.4064342,0.37501977,NA,NA,0.34065093,0.34216176,0.18982053,0.1452094612
csl.pups.-5,csl,pups,-5,0.4518744,0.42856398,NA,NA,0.34201201,0.41090847,0.28940948,0.0997089203
csl.pups.0,csl,pups,0,0.3422914,NA,NA,NA,0.26165726,0.2650789,0.20026708,0.1045987376
flow.gageht.0,flow,gageht,0,NA,0.29028505,NA,NA,0.25770575,NA,0.28174714,0.231433432
flow.gageht.1,flow,gageht,1,NA,NA,NA,NA,0.25284932,NA,0.30086751,0.1801599516
flow.gageht.2,flow,gageht,2,NA,NA,NA,NA,0.2502112,NA,0.28363313,0.092240911
flow.gageht.3,flow,gageht,3,NA,NA,NA,NA,0.26802825,NA,0.32633198,0.1885169365
flow.gageht.4,flow,gageht,4,NA,NA,0.15822234,NA,0.22398105,NA,NA,NA
flow.gageht.5,flow,gageht,5,NA,NA,NA,NA,0.24753368,NA,NA,NA
flow.mean.0,flow,mean,0,NA,0.27824293,NA,NA,0.04836828,NA,0.23495221,0.2549390152
flow.mean.1,flow,mean,1,NA,NA,0.0537216,0.161999286,0.05233366,NA,0.1564367,0.1566065493
flow.mean.2,flow,mean,2,NA,NA,0.06519118,0.118287106,0.08110938,NA,0.1628006,0.1691122357
flow.mean.3,flow,mean,3,NA,NA,0.07292563,NA,0.11787582,NA,0.21807147,0.2317953673
flow.mean.4,flow,mean,4,NA,NA,0.13059629,NA,0.09744335,NA,0.09749568,0.1612666967
flow.mean.5,flow,mean,5,NA,NA,NA,NA,0.07037939,NA,NA,NA
flow.peak.0,flow,peak,0,NA,NA,NA,NA,0.14302333,NA,0.23129635,NA
flow.peak.1,flow,peak,1,NA,NA,NA,NA,0.12186806,NA,0.30439966,0.1323351725
flow.peak.2,flow,peak,2,NA,NA,0.10212744,NA,0.16774474,NA,0.28337429,0.1899528474
flow.peak.3,flow,peak,3,NA,NA,NA,NA,0.20618622,NA,0.32834812,0.1965791848
flow.peak.4,flow,peak,4,NA,NA,NA,NA,0.12581767,NA,0.2415568,0.137848149
flow.peak.5,flow,peak,5,NA,NA,NA,NA,0.13897354,NA,NA,NA
flow.peakday.0,flow,peakday,0,NA,NA,NA,NA,0.10246277,NA,0.14298221,NA
flow.peakday.1,flow,peakday,1,NA,NA,NA,NA,0.08677825,NA,0.16915297,NA
flow.peakday.2,flow,peakday,2,NA,NA,NA,NA,0.12588866,NA,0.22221591,NA
flow.peakday.3,flow,peakday,3,NA,NA,NA,NA,0.16394265,NA,0.20606538,NA
