RP,FP,cat,subcat,offset,ESU,MFS,IMN,UPS,Chosen
rec4n,arc.fal.2,arc,fal,2,0.5026374,0.311153959,NA,NA,
rec4n,arc.fal.3,arc,fal,3,0.4735304,0.276334076,0.088880602,NA,
rec4n,arc.fal.4,arc,fal,4,0.5271831,0.256641788,NA,NA,1
rec4n,arc.fal.5,arc,fal,5,0.5167847,0.362473778,NA,NA,
rec4n,arc.spr.2,arc,spr,2,0.5309981,0.338259512,NA,NA,1
rec4n,arc.spr.3,arc,spr,3,0.508712,0.345854082,NA,NA,
rec4n,arc.spr.4,arc,spr,4,0.486113,0.332807398,0.145723017,NA,
rec4n,arc.spr.5,arc,spr,5,0.541663,0.390597553,NA,NA,
rec4n,arc.sum.2,arc,sum,2,0.4833685,0.235272262,NA,NA,
rec4n,arc.sum.3,arc,sum,3,0.4886654,0.261015209,NA,NA,
rec4n,arc.sum.4,arc,sum,4,0.524918,0.302259492,NA,NA,1
rec4n,arc.sum.5,arc,sum,5,0.5395528,0.301477808,NA,0.01509361,
rec4n,arc.win.2,arc,win,2,0.4668825,0.319917478,NA,NA,
rec4n,arc.win.3,arc,win,3,0.4651179,0.288021072,NA,NA,
rec4n,arc.win.4,arc,win,4,0.4823699,0.286345324,0.133966286,NA,1
rec4n,arc.win.5,arc,win,5,0.5244601,0.36276034,NA,NA,
rec4n,csl.bonn.2,csl,bonn,2,0.5194817,0.407262812,NA,NA,
rec4n,csl.bonn.3,csl,bonn,3,0.5404355,0.408650203,NA,NA,
rec4n,csl.bonn.4,csl,bonn,4,0.5588136,0.44975894,NA,NA,1
rec4n,csl.bonn.5,csl,bonn,5,0.5496273,0.331320125,NA,NA,
rec4n,csl.COL.2,csl,COL,2,0.5757896,0.369501798,NA,NA,
rec4n,csl.COL.3,csl,COL,3,0.6213676,0.480261618,NA,NA,
rec4n,csl.COL.4,csl,COL,4,0.6078477,0.309490417,NA,NA,1
rec4n,csl.COL.5,csl,COL,5,0.5524172,0.30867788,NA,NA,
rec4n,csl.haulout.2,csl,haulout,2,0.6080514,0.345555933,NA,NA,
rec4n,csl.haulout.3,csl,haulout,3,0.614106,0.35650981,NA,NA,
rec4n,csl.haulout.4,csl,haulout,4,0.6139251,0.380045585,NA,NA,1
rec4n,csl.haulout.5,csl,haulout,5,0.6212381,0.428455644,NA,NA,
rec4n,csl.males.2,csl,males,2,0.4188758,NA,NA,NA,1
rec4n,csl.males.3,csl,males,3,0.3512886,NA,NA,NA,
rec4n,csl.males.4,csl,males,4,0.3382774,NA,-0.110996511,NA,
rec4n,csl.males.5,csl,males,5,0.4258208,0.26286483,NA,NA,
rec4n,csl.males6.2,csl,males6,2,0.4933334,0.295479474,NA,NA,1
rec4n,csl.males6.3,csl,males6,3,0.4621128,0.173027406,NA,NA,
rec4n,csl.males6.4,csl,males6,4,0.4163169,0.095911017,0.021801847,NA,
rec4n,csl.males6.5,csl,males6,5,0.4344053,0.075322445,NA,NA,
rec4n,csl.pups.2,csl,pups,2,0.4597879,0.234686595,NA,NA,
rec4n,csl.pups.3,csl,pups,3,0.4583827,0.266495764,NA,NA,
rec4n,csl.pups.4,csl,pups,4,0.4792865,0.269171703,NA,NA,
rec4n,csl.pups.5,csl,pups,5,0.5401157,0.40636593,NA,NA,
rec4n,csl.SalishSea.2,csl,SalishSea,2,0.5061325,0.260619782,0.119211153,NA,
rec4n,csl.SalishSea.3,csl,SalishSea,3,0.5303266,0.335026268,NA,NA,
rec4n,csl.SalishSea.4,csl,SalishSea,4,0.5274488,0.290079532,NA,NA,
rec4n,csl.SalishSea.5,csl,SalishSea,5,0.5444459,0.22122047,NA,NA,
rec4n,csl.WA.2,csl,WA,2,0.4483559,0.338256292,NA,NA,
rec4n,csl.WA.3,csl,WA,3,0.4482404,0.263597886,NA,NA,
rec4n,csl.WA.4,csl,WA,4,0.4813508,0.256220107,-0.057648974,NA,
rec4n,csl.WA.5,csl,WA,5,0.4472819,0.151946914,-0.005561489,NA,
rec4n,flow.gageht.0,flow,gageht,0,NA,NA,NA,NA,
rec4n,flow.gageht.1,flow,gageht,1,0.1239914,NA,NA,NA,
rec4n,flow.gageht.2,flow,gageht,2,0.1610345,NA,0.090618814,NA,
rec4n,flow.gageht.3,flow,gageht,3,0.1435352,NA,NA,NA,
