"","yr","model","var","spp","scale","offset","coeff"
"1",1957,"1","rec4",NA,NA,"0",NA
"2",1958,"1","rec4",NA,NA,"0",NA
"3",1959,"1","rec4",NA,NA,"0",NA
"4",1960,"1","rec4",NA,NA,"0",NA
"5",1961,"1","rec4",NA,NA,"0",NA
"6",1962,"1","rec4",NA,NA,"0",NA
"7",1963,"1","rec4",NA,NA,"0",NA
"8",1964,"1","rec4",NA,NA,"0",NA
"9",1965,"1","rec4",NA,NA,"0",NA
"10",1966,"1","rec4",NA,NA,"0",NA
"11",1967,"1","rec4",NA,NA,"0",NA
"12",1968,"1","rec4",NA,NA,"0",NA
"13",1969,"1","rec4",NA,NA,"0",NA
"14",1970,"1","rec4",NA,NA,"0",NA
"15",1971,"1","rec4",NA,NA,"0",NA
"16",1972,"1","rec4",NA,NA,"0",NA
"17",1973,"1","rec4",NA,NA,"0",NA
"18",1974,"1","rec4",NA,NA,"0",NA
"19",1975,"1","rec4",NA,NA,"0",NA
"20",1976,"1","rec4",NA,NA,"0",NA
"21",1977,"1","rec4",NA,NA,"0",NA
"22",1978,"1","rec4",NA,NA,"0",NA
"23",1979,"1","rec4",NA,NA,"0",NA
"24",1980,"1","rec4",NA,NA,"0",NA
"25",1981,"1","rec4",NA,NA,"0",NA
"26",1982,"1","rec4",NA,NA,"0",NA
"27",1983,"1","rec4",NA,NA,"0",NA
"28",1984,"1","rec4",NA,NA,"0",NA
"29",1985,"1","rec4",NA,NA,"0",NA
"30",1986,"1","rec4",NA,NA,"0",NA
"31",1987,"1","rec4",NA,NA,"0",NA
"32",1988,"1","rec4",NA,NA,"0",NA
"33",1989,"1","rec4",NA,NA,"0",NA
"34",1990,"1","rec4",NA,NA,"0",NA
"35",1991,"1","rec4",NA,NA,"0",NA
"36",1992,"1","rec4",NA,NA,"0",NA
"37",1993,"1","rec4",NA,NA,"0",0.299330151297018
"38",1994,"1","rec4",NA,NA,"0",0.300764209830221
"39",1995,"1","rec4",NA,NA,"0",0.302824533822643
"40",1996,"1","rec4",NA,NA,"0",0.304388001838731
"41",1997,"1","rec4",NA,NA,"0",0.300846296771864
"42",1998,"1","rec4",NA,NA,"0",0.310194260331927
"43",1999,"1","rec4",NA,NA,"0",0.308238757851693
"44",2000,"1","rec4",NA,NA,"0",0.305395033043998
"45",2001,"1","rec4",NA,NA,"0",0.30231421781476
"46",2002,"1","rec4",NA,NA,"0",0.300978929622604
"47",2003,"1","rec4",NA,NA,"0",0.305274718374321
"48",2004,"1","rec4",NA,NA,"0",0.304310024015418
"49",2005,"1","rec4",NA,NA,"0",0.305301778544735
"50",2006,"1","rec4",NA,NA,"0",0.315311768562135
"51",2007,"1","rec4",NA,NA,"0",0.303264157005546
"52",2008,"1","rec4",NA,NA,"0",0.302061313525711
"53",2009,"1","rec4",NA,NA,"0",0.312134815319471
"54",2010,"1","rec4",NA,NA,"0",0.29752271504014
"55",2011,"1","rec4",NA,NA,"0",0.300813888215791
"56",2012,"1","rec4",NA,NA,"0",0.306039844382515
"57",2013,"1","rec4",NA,NA,"0",0.300556265219464
"58",2014,"1","rec4",NA,NA,"0",NA
"59",1957,"1","rec4",NA,NA,"0",NA
"60",1958,"1","rec4",NA,NA,"0",NA
"61",1959,"1","rec4",NA,NA,"0",NA
"62",1960,"1","rec4",NA,NA,"0",NA
"63",1961,"1","rec4",NA,NA,"0",NA
"64",1962,"1","rec4",NA,NA,"0",NA
"65",1963,"1","rec4",NA,NA,"0",NA
"66",1964,"1","rec4",NA,NA,"0",NA
"67",1965,"1","rec4",NA,NA,"0",NA
"68",1966,"1","rec4",NA,NA,"0",NA
"69",1967,"1","rec4",NA,NA,"0",NA
"70",1968,"1","rec4",NA,NA,"0",NA
"71",1969,"1","rec4",NA,NA,"0",NA
"72",1970,"1","rec4",NA,NA,"0",NA
"73",1971,"1","rec4",NA,NA,"0",NA
"74",1972,"1","rec4",NA,NA,"0",NA
"75",1973,"1","rec4",NA,NA,"0",NA
"76",1974,"1","rec4",NA,NA,"0",NA
"77",1975,"1","rec4",NA,NA,"0",NA
"78",1976,"1","rec4",NA,NA,"0",NA
"79",1977,"1","rec4",NA,NA,"0",NA
"80",1978,"1","rec4",NA,NA,"0",NA
"81",1979,"1","rec4",NA,NA,"0",NA
"82",1980,"1","rec4",NA,NA,"0",NA
"83",1981,"1","rec4",NA,NA,"0",NA
"84",1982,"1","rec4",NA,NA,"0",NA
"85",1983,"1","rec4",NA,NA,"0",NA
"86",1984,"1","rec4",NA,NA,"0",NA
"87",1985,"1","rec4",NA,NA,"0",NA
"88",1986,"1","rec4",NA,NA,"0",NA
"89",1987,"1","rec4",NA,NA,"0",NA
"90",1988,"1","rec4",NA,NA,"0",NA
"91",1989,"1","rec4",NA,NA,"0",NA
"92",1990,"1","rec4",NA,NA,"0",NA
"93",1991,"1","rec4",NA,NA,"0",NA
"94",1992,"1","rec4",NA,NA,"0",NA
"95",1993,"1","rec4",NA,NA,"0",0.301808406499387
"96",1994,"1","rec4",NA,NA,"0",0.301695788340816
"97",1995,"1","rec4",NA,NA,"0",0.302195030474355
"98",1996,"1","rec4",NA,NA,"0",0.306627147019887
"99",1997,"1","rec4",NA,NA,"0",0.310530253383444
"100",1998,"1","rec4",NA,NA,"0",0.302476690345406
"101",1999,"1","rec4",NA,NA,"0",0.301655144197135
"102",2000,"1","rec4",NA,NA,"0",0.301825877660915
"103",2001,"1","rec4",NA,NA,"0",0.301375748017364
"104",2002,"1","rec4",NA,NA,"0",0.301355308598484
"105",2003,"1","rec4",NA,NA,"0",0.301547740991303
"106",2004,"1","rec4",NA,NA,"0",0.302443576653109
"107",2005,"1","rec4",NA,NA,"0",0.303374657637689
"108",2006,"1","rec4",NA,NA,"0",0.303303577890919
"109",2007,"1","rec4",NA,NA,"0",0.303805360416949
"110",2008,"1","rec4",NA,NA,"0",0.302827414406666
"111",2009,"1","rec4",NA,NA,"0",0.304782765954127
"112",2010,"1","rec4",NA,NA,"0",0.301995880403782
"113",2011,"1","rec4",NA,NA,"0",0.302990805682456
