"","yr","model","var","spp","scale","offset","coeff"
"1",1953,"1","rec4",NA,NA,"0",NA
"2",1954,"1","rec4",NA,NA,"0",NA
"3",1955,"1","rec4",NA,NA,"0",NA
"4",1956,"1","rec4",NA,NA,"0",NA
"5",1957,"1","rec4",NA,NA,"0",NA
"6",1958,"1","rec4",NA,NA,"0",NA
"7",1959,"1","rec4",NA,NA,"0",NA
"8",1960,"1","rec4",NA,NA,"0",NA
"9",1961,"1","rec4",NA,NA,"0",NA
"10",1962,"1","rec4",NA,NA,"0",NA
"11",1963,"1","rec4",NA,NA,"0",NA
"12",1964,"1","rec4",NA,NA,"0",NA
"13",1965,"1","rec4",NA,NA,"0",NA
"14",1966,"1","rec4",NA,NA,"0",NA
"15",1967,"1","rec4",NA,NA,"0",NA
"16",1968,"1","rec4",NA,NA,"0",NA
"17",1969,"1","rec4",NA,NA,"0",NA
"18",1970,"1","rec4",NA,NA,"0",NA
"19",1971,"1","rec4",NA,NA,"0",NA
"20",1972,"1","rec4",NA,NA,"0",NA
"21",1973,"1","rec4",NA,NA,"0",NA
"22",1974,"1","rec4",NA,NA,"0",NA
"23",1975,"1","rec4",NA,NA,"0",NA
"24",1976,"1","rec4",NA,NA,"0",NA
"25",1977,"1","rec4",NA,NA,"0",NA
"26",1978,"1","rec4",NA,NA,"0",NA
"27",1979,"1","rec4",NA,NA,"0",NA
"28",1980,"1","rec4",NA,NA,"0",NA
"29",1981,"1","rec4",NA,NA,"0",NA
"30",1982,"1","rec4",NA,NA,"0",NA
"31",1983,"1","rec4",NA,NA,"0",NA
"32",1984,"1","rec4",NA,NA,"0",NA
"33",1985,"1","rec4",NA,NA,"0",NA
"34",1986,"1","rec4",NA,NA,"0",NA
"35",1987,"1","rec4",NA,NA,"0",NA
"36",1988,"1","rec4",NA,NA,"0",NA
"37",1989,"1","rec4",NA,NA,"0",NA
"38",1990,"1","rec4",NA,NA,"0",NA
"39",1991,"1","rec4",NA,NA,"0",NA
"40",1992,"1","rec4",NA,NA,"0",NA
"41",1993,"1","rec4",NA,NA,"0",0.591004200704971
"42",1994,"1","rec4",NA,NA,"0",0.581385776777769
"43",1995,"1","rec4",NA,NA,"0",0.58039254618211
"44",1996,"1","rec4",NA,NA,"0",0.585836578949835
"45",1997,"1","rec4",NA,NA,"0",0.576210877339714
"46",1998,"1","rec4",NA,NA,"0",0.573587649895952
"47",1999,"1","rec4",NA,NA,"0",0.572156691376838
"48",2000,"1","rec4",NA,NA,"0",0.579979302304536
"49",2001,"1","rec4",NA,NA,"0",0.569756495602009
"50",2002,"1","rec4",NA,NA,"0",0.585057907822342
"51",2003,"1","rec4",NA,NA,"0",0.581729246114651
"52",2004,"1","rec4",NA,NA,"0",0.584561353819185
"53",2005,"1","rec4",NA,NA,"0",0.588637998562797
"54",2006,"1","rec4",NA,NA,"0",0.58101912180407
"55",2007,"1","rec4",NA,NA,"0",0.582478390025118
"56",2008,"1","rec4",NA,NA,"0",0.583447313054339
"57",2009,"1","rec4",NA,NA,"0",0.53637121996363
"58",2010,"1","rec4",NA,NA,"0",0.402654464322899
"59",2011,"1","rec4",NA,NA,"0",0.326247285242225
"60",2012,"1","rec4",NA,NA,"0",0.360570360591096
"61",2013,"1","rec4",NA,NA,"0",0.370081300751396
"62",2014,"1","rec4",NA,NA,"0",NA
"63",1959,"1","rec4",NA,NA,"0",NA
"64",1960,"1","rec4",NA,NA,"0",NA
"65",1961,"1","rec4",NA,NA,"0",NA
"66",1962,"1","rec4",NA,NA,"0",NA
"67",1963,"1","rec4",NA,NA,"0",NA
"68",1964,"1","rec4",NA,NA,"0",NA
"69",1965,"1","rec4",NA,NA,"0",NA
"70",1966,"1","rec4",NA,NA,"0",NA
"71",1967,"1","rec4",NA,NA,"0",NA
"72",1968,"1","rec4",NA,NA,"0",NA
"73",1969,"1","rec4",NA,NA,"0",NA
"74",1970,"1","rec4",NA,NA,"0",NA
"75",1971,"1","rec4",NA,NA,"0",NA
"76",1972,"1","rec4",NA,NA,"0",NA
"77",1973,"1","rec4",NA,NA,"0",NA
"78",1974,"1","rec4",NA,NA,"0",NA
"79",1975,"1","rec4",NA,NA,"0",NA
"80",1976,"1","rec4",NA,NA,"0",NA
"81",1977,"1","rec4",NA,NA,"0",NA
"82",1978,"1","rec4",NA,NA,"0",NA
"83",1979,"1","rec4",NA,NA,"0",NA
"84",1980,"1","rec4",NA,NA,"0",NA
"85",1981,"1","rec4",NA,NA,"0",NA
"86",1982,"1","rec4",NA,NA,"0",NA
"87",1983,"1","rec4",NA,NA,"0",NA
"88",1984,"1","rec4",NA,NA,"0",NA
"89",1985,"1","rec4",NA,NA,"0",NA
"90",1986,"1","rec4",NA,NA,"0",NA
"91",1987,"1","rec4",NA,NA,"0",NA
"92",1988,"1","rec4",NA,NA,"0",NA
"93",1989,"1","rec4",NA,NA,"0",NA
"94",1990,"1","rec4",NA,NA,"0",NA
"95",1991,"1","rec4",NA,NA,"0",NA
"96",1992,"1","rec4",NA,NA,"0",NA
"97",1993,"1","rec4",NA,NA,"0",0.565213912863462
"98",1994,"1","rec4",NA,NA,"0",0.574663241653433
"99",1995,"1","rec4",NA,NA,"0",0.578855950752334
"100",1996,"1","rec4",NA,NA,"0",0.584797497250602
"101",1997,"1","rec4",NA,NA,"0",0.579684049529594
"102",1998,"1","rec4",NA,NA,"0",0.574612773052144
"103",1999,"1","rec4",NA,NA,"0",0.566266034156084
"104",2000,"1","rec4",NA,NA,"0",0.578244059752194
"105",2001,"1","rec4",NA,NA,"0",0.57689158408714
"106",2002,"1","rec4",NA,NA,"0",0.578726329211162
"107",2003,"1","rec4",NA,NA,"0",0.582366807455742
"108",2004,"1","rec4",NA,NA,"0",0.503925832808837
"109",2005,"1","rec4",NA,NA,"0",0.556611688627107
"110",2006,"1","rec4",NA,NA,"0",0.574638119865884
"111",2007,"1","rec4",NA,NA,"0",0.571400016932248
"112",2008,"1","rec4",NA,NA,"0",0.565226255568982
"113",2009,"1","rec4",NA,NA,"0",0.526449058956268
"114",2010,"1","rec4",NA,NA,"0",0.270491668455066
"115",2011,"1","rec4",NA,NA,"0",0.289422999012467
"116",2012,"1","rec4",NA,NA,"0",0.358587617491609
"117",2013,"1","rec4",NA,NA,"0",0.359853380907882
"118",2014,"1","rec4",NA,NA,"0",NA
"119",1949,"1","rec4",NA,NA,"0",NA
"120",1950,"1","rec4",NA,NA,"0",NA
"121",1951,"1","rec4",NA,NA,"0",NA
"122",1952,"1","rec4",NA,NA,"0",NA
"123",1953,"1","rec4",NA,NA,"0",NA
"124",1954,"1","rec4",NA,NA,"0",NA
"125",1955,"1","rec4",NA,NA,"0",NA
"126",1956,"1","rec4",NA,NA,"0",NA
"127",1957,"1","rec4",NA,NA,"0",NA
"128",1958,"1","rec4",NA,NA,"0",NA
"129",1959,"1","rec4",NA,NA,"0",NA
"130",1960,"1","rec4",NA,NA,"0",NA
"131",1961,"1","rec4",NA,NA,"0",NA
"132",1962,"1","rec4",NA,NA,"0",NA
"133",1963,"1","rec4",NA,NA,"0",NA
"134",1964,"1","rec4",NA,NA,"0",NA
"135",1965,"1","rec4",NA,NA,"0",NA
"136",1966,"1","rec4",NA,NA,"0",NA
"137",1967,"1","rec4",NA,NA,"0",NA
"138",1968,"1","rec4",NA,NA,"0",NA
"139",1969,"1","rec4",NA,NA,"0",NA
"140",1970,"1","rec4",NA,NA,"0",NA
"141",1971,"1","rec4",NA,NA,"0",NA
"142",1972,"1","rec4",NA,NA,"0",NA
"143",1973,"1","rec4",NA,NA,"0",NA
"144",1974,"1","rec4",NA,NA,"0",NA
"145",1975,"1","rec4",NA,NA,"0",NA
"146",1976,"1","rec4",NA,NA,"0",NA
"147",1977,"1","rec4",NA,NA,"0",NA
"148",1978,"1","rec4",NA,NA,"0",NA
"149",1979,"1","rec4",NA,NA,"0",NA
"150",1980,"1","rec4",NA,NA,"0",NA
"151",1981,"1","rec4",NA,NA,"0",NA
"152",1982,"1","rec4",NA,NA,"0",NA
"153",1983,"1","rec4",NA,NA,"0",NA
"154",1984,"1","rec4",NA,NA,"0",NA
"155",1985,"1","rec4",NA,NA,"0",NA
"156",1986,"1","rec4",NA,NA,"0",NA
"157",1987,"1","rec4",NA,NA,"0",NA
"158",1988,"1","rec4",NA,NA,"0",NA
"159",1989,"1","rec4",NA,NA,"0",NA
"160",1990,"1","rec4",NA,NA,"0",NA
"161",1991,"1","rec4",NA,NA,"0",NA
"162",1992,"1","rec4",NA,NA,"0",NA
"163",1993,"1","rec4",NA,NA,"0",0.574290588048741
"164",1994,"1","rec4",NA,NA,"0",0.566690622328119
"165",1995,"1","rec4",NA,NA,"0",0.572977520152737
"166",1996,"1","rec4",NA,NA,"0",0.565847238745961
"167",1997,"1","rec4",NA,NA,"0",0.56771181666015
"168",1998,"1","rec4",NA,NA,"0",0.558784589499651
"169",1999,"1","rec4",NA,NA,"0",0.577064230903124
"170",2000,"1","rec4",NA,NA,"0",0.581495043895385
"171",2001,"1","rec4",NA,NA,"0",0.48828360134124
"172",2002,"1","rec4",NA,NA,"0",0.441849793225866
"173",2003,"1","rec4",NA,NA,"0",0.466755429396645
"174",2004,"1","rec4",NA,NA,"0",0.557885164470947
"175",2005,"1","rec4",NA,NA,"0",0.586953845842665
"176",2006,"1","rec4",NA,NA,"0",0.571252466240375
"177",2007,"1","rec4",NA,NA,"0",0.584782212602537
"178",2008,"1","rec4",NA,NA,"0",0.511085770643298
"179",2009,"1","rec4",NA,NA,"0",0.448126554970465
"180",2010,"1","rec4",NA,NA,"0",0.375744539337272
"181",2011,"1","rec4",NA,NA,"0",0.344886878110541
"182",2012,"1","rec4",NA,NA,"0",0.353126918037709
"183",2013,"1","rec4",NA,NA,"0",0.361771778890391
"184",2014,"1","rec4",NA,NA,"0",NA
"185",1959,"1","rec4",NA,NA,"0",NA
"186",1960,"1","rec4",NA,NA,"0",NA
"187",1961,"1","rec4",NA,NA,"0",NA
"188",1962,"1","rec4",NA,NA,"0",NA
"189",1963,"1","rec4",NA,NA,"0",NA
"190",1964,"1","rec4",NA,NA,"0",NA
"191",1965,"1","rec4",NA,NA,"0",NA
"192",1966,"1","rec4",NA,NA,"0",NA
"193",1967,"1","rec4",NA,NA,"0",NA
"194",1968,"1","rec4",NA,NA,"0",NA
"195",1969,"1","rec4",NA,NA,"0",NA
"196",1970,"1","rec4",NA,NA,"0",NA
"197",1971,"1","rec4",NA,NA,"0",NA
