"","yr","model","var","spp","scale","offset","coeff"
"1",1957,"1","rec4",NA,NA,"0",NA
"2",1958,"1","rec4",NA,NA,"0",NA
"3",1959,"1","rec4",NA,NA,"0",NA
"4",1960,"1","rec4",NA,NA,"0",NA
"5",1961,"1","rec4",NA,NA,"0",NA
"6",1962,"1","rec4",NA,NA,"0",NA
"7",1963,"1","rec4",NA,NA,"0",NA
"8",1964,"1","rec4",NA,NA,"0",NA
"9",1965,"1","rec4",NA,NA,"0",NA
"10",1966,"1","rec4",NA,NA,"0",NA
"11",1967,"1","rec4",NA,NA,"0",NA
"12",1968,"1","rec4",NA,NA,"0",NA
"13",1969,"1","rec4",NA,NA,"0",NA
"14",1970,"1","rec4",NA,NA,"0",NA
"15",1971,"1","rec4",NA,NA,"0",NA
"16",1972,"1","rec4",NA,NA,"0",NA
"17",1973,"1","rec4",NA,NA,"0",NA
"18",1974,"1","rec4",NA,NA,"0",NA
"19",1975,"1","rec4",NA,NA,"0",NA
"20",1976,"1","rec4",NA,NA,"0",NA
"21",1977,"1","rec4",NA,NA,"0",NA
"22",1978,"1","rec4",NA,NA,"0",NA
"23",1979,"1","rec4",NA,NA,"0",NA
"24",1980,"1","rec4",NA,NA,"0",NA
"25",1981,"1","rec4",NA,NA,"0",NA
"26",1982,"1","rec4",NA,NA,"0",NA
"27",1983,"1","rec4",NA,NA,"0",NA
"28",1984,"1","rec4",NA,NA,"0",NA
"29",1985,"1","rec4",NA,NA,"0",NA
"30",1986,"1","rec4",NA,NA,"0",NA
"31",1987,"1","rec4",NA,NA,"0",NA
"32",1988,"1","rec4",NA,NA,"0",NA
"33",1989,"1","rec4",NA,NA,"0",NA
"34",1990,"1","rec4",NA,NA,"0",NA
"35",1991,"1","rec4",NA,NA,"0",NA
"36",1992,"1","rec4",NA,NA,"0",NA
"37",1993,"1","rec4",NA,NA,"0",0.280695292373269
"38",1994,"1","rec4",NA,NA,"0",0.247081990070045
"39",1995,"1","rec4",NA,NA,"0",0.275926357445474
"40",1996,"1","rec4",NA,NA,"0",0.358280024665811
"41",1997,"1","rec4",NA,NA,"0",0.270367313458511
"42",1998,"1","rec4",NA,NA,"0",0.33097421884317
"43",1999,"1","rec4",NA,NA,"0",0.289051166571946
"44",2000,"1","rec4",NA,NA,"0",0.31596706017652
"45",2001,"1","rec4",NA,NA,"0",0.279836590756821
"46",2002,"1","rec4",NA,NA,"0",0.273037165635254
"47",2003,"1","rec4",NA,NA,"0",0.312970923184694
"48",2004,"1","rec4",NA,NA,"0",0.2618109346101
"49",2005,"1","rec4",NA,NA,"0",0.279879532685623
"50",2006,"1","rec4",NA,NA,"0",0.368599721153134
"51",2007,"1","rec4",NA,NA,"0",0.288950445041151
"52",2008,"1","rec4",NA,NA,"0",0.298707844565692
"53",2009,"1","rec4",NA,NA,"0",0.287057772360759
"54",2010,"1","rec4",NA,NA,"0",NA
"55",1957,"1","rec4",NA,NA,"0",NA
"56",1958,"1","rec4",NA,NA,"0",NA
"57",1959,"1","rec4",NA,NA,"0",NA
"58",1960,"1","rec4",NA,NA,"0",NA
"59",1961,"1","rec4",NA,NA,"0",NA
"60",1962,"1","rec4",NA,NA,"0",NA
"61",1963,"1","rec4",NA,NA,"0",NA
"62",1964,"1","rec4",NA,NA,"0",NA
"63",1965,"1","rec4",NA,NA,"0",NA
"64",1966,"1","rec4",NA,NA,"0",NA
"65",1967,"1","rec4",NA,NA,"0",NA
"66",1968,"1","rec4",NA,NA,"0",NA
"67",1969,"1","rec4",NA,NA,"0",NA
"68",1970,"1","rec4",NA,NA,"0",NA
"69",1971,"1","rec4",NA,NA,"0",NA
"70",1972,"1","rec4",NA,NA,"0",NA
"71",1973,"1","rec4",NA,NA,"0",NA
"72",1974,"1","rec4",NA,NA,"0",NA
"73",1975,"1","rec4",NA,NA,"0",NA
"74",1976,"1","rec4",NA,NA,"0",NA
"75",1977,"1","rec4",NA,NA,"0",NA
"76",1978,"1","rec4",NA,NA,"0",NA
"77",1979,"1","rec4",NA,NA,"0",NA
"78",1980,"1","rec4",NA,NA,"0",NA
"79",1981,"1","rec4",NA,NA,"0",NA
"80",1982,"1","rec4",NA,NA,"0",NA
"81",1983,"1","rec4",NA,NA,"0",NA
"82",1984,"1","rec4",NA,NA,"0",NA
"83",1985,"1","rec4",NA,NA,"0",NA
"84",1986,"1","rec4",NA,NA,"0",NA
"85",1987,"1","rec4",NA,NA,"0",NA
"86",1988,"1","rec4",NA,NA,"0",NA
"87",1989,"1","rec4",NA,NA,"0",NA
"88",1990,"1","rec4",NA,NA,"0",NA
"89",1991,"1","rec4",NA,NA,"0",NA
"90",1992,"1","rec4",NA,NA,"0",NA
"91",1993,"1","rec4",NA,NA,"0",0.280695292373269
"92",1994,"1","rec4",NA,NA,"0",0.247081990070045
"93",1995,"1","rec4",NA,NA,"0",0.275926357445474
"94",1996,"1","rec4",NA,NA,"0",0.358280024665811
"95",1997,"1","rec4",NA,NA,"0",0.270367313458511
"96",1998,"1","rec4",NA,NA,"0",0.33097421884317
"97",1999,"1","rec4",NA,NA,"0",0.289051166571946
"98",2000,"1","rec4",NA,NA,"0",0.31596706017652
"99",2001,"1","rec4",NA,NA,"0",0.279836590756821
"100",2002,"1","rec4",NA,NA,"0",0.273037165635254
"101",2003,"1","rec4",NA,NA,"0",0.312970923184694
"102",2004,"1","rec4",NA,NA,"0",0.2618109346101
"103",2005,"1","rec4",NA,NA,"0",0.279879532685623
"104",2006,"1","rec4",NA,NA,"0",0.368599721153134
"105",2007,"1","rec4",NA,NA,"0",0.288950445041151
"106",2008,"1","rec4",NA,NA,"0",0.298707844565692
"107",2009,"1","rec4",NA,NA,"0",0.287057772360759
"108",2010,"1","rec4",NA,NA,"0",NA
"109",1957,"1","rec4",NA,NA,"0",NA
"110",1958,"1","rec4",NA,NA,"0",NA
"111",1959,"1","rec4",NA,NA,"0",NA
"112",1960,"1","rec4",NA,NA,"0",NA
"113",1961,"1","rec4",NA,NA,"0",NA
"114",1962,"1","rec4",NA,NA,"0",NA
