"","year","sta","stu","sua","suu","total"
"1",1973,76584,0,0,0,76584
"2",1974,0,0,0,28327,28327
"3",1975,43902,0,0,150860,194762
"4",1976,402532,0,13487,6054527,6470546
"5",1977,740121,0,13706,6498682,7252509
"6",1978,691484,0,16517,5108831,5816832
"7",1979,875588,0,30013,5718829,6624430
"8",1980,350317,0,9414,5061750,5421481
"9",1981,563050,0,19550,4174243,4756843
"10",1982,424400,0,8246,2599214,3031860
"11",1983,424229,483,16495,7410896,7852103
"12",1984,1113298,2289,48969,10366226,11530782
"13",1985,1359397,4734,36103,6389189,7789423
"14",1986,2245035,3756,26929,6995360,9271080
"15",1987,2897068,2453,49873,8976191,11925585
"16",1988,3240868,5015,61707,13903049,17210639
"17",1989,2722858,387,111768,9999337,12834350
"18",1990,2967977,899,73306,13534101,16576283
"19",1991,2394666,774,54156,7799047,10248643
"20",1992,3748012,192635,107447,6388236,10436330
"21",1993,4120499,867278,735977,501230,6224984
"22",1994,4167904,20239,4117389,2370481,10676013
"23",1995,3875612,103845,3729736,2278998,9988191
"24",1996,1523790,1864,861990,427685,2815329
"25",1997,1414918,23122,359595,88475,1886110
"26",1998,2220316,290721,2852199,383409,5746645
"27",1999,2988766,1322244,5402288,799781,10513079
"28",2000,2721161,657385,4888676,2265005,10532227
"29",2001,2270864,1054114,2667708,2120301,8112987
"30",2002,2993565,1904258,7926279,3350711,16174813
"31",2003,3381266,3012619,8453637,1802668,16650190
"32",2004,2481335,1781411,9559809,120927,13943482
"33",2005,3356279,1936982,8299018,1314251,14906530
"34",2006,3733571,1740944,9397586,1271861,16143962
"35",2007,2950802,1794987,8279954,1433036,14458779
"36",2008,3349315,2407664,7826076,1623318,15206373
"37",2009,4325372,2234353,9049987,2333627,17943339
"38",2010,4260159,2614103,10581871,2041159,19497292
"39",2011,3913839,3447046,9944828,2309246,19614959
"40",2012,4129719,3311629,9888620,2459571,19789539
"41",2013,4213073,3236517,9731171,1966111,19146872
"42",2014,3855469,3697617,11450352,1932166,20935604
"43",2015,3948632,3225312,10354069,1771716,19299729
"44",2016,4138142,3006210,12235665,1557690,20937707
"45",2017,4083086,2905596,11899408,2141398,21029488
"46",2018,4459321,2196450,12280288,2449116,21385175
"47",2019,5247797,1785536,10000631,3137914,20171878
