last_release_date_year,tagged_adclipped,tagged_unclipped,untagged_adclipped,untagged_unclipped,untagged_unknown
2015,0,0,119782,0,0
2003,53522,0,1339,0,0
2015,141068,0,0,0,0
2018,105530,0,1899168,30348,0
2017,0,0,1087,0,0
2019,79255,400,0,400,0
2017,2700,0,0,0,0
2017,0,0,106824,0,0
2015,0,0,292940,0,0
2017,141556,0,0,0,0
2017,4969,0,0,0,0
2017,98308,1003,572912,5777,0
2003,0,0,0,99840,0
2003,0,0,0,1685414,0
2018,0,109334,0,1537,0
2019,44100,905,0,226,0
2014,99354,0,105,633,0
2019,0,53872,0,1088,0
2015,449346,0,0,0,0
2015,0,0,1559431,0,0
2015,0,0,0,1519673,0
2017,99041,200,555752,167007,0
2016,27608,103,1131,158,0
2017,0,0,0,1420000,0
2016,182139,1949,656,656,0
2018,0,0,0,9839,0
2017,0,0,0,2025600,0
2017,452305,0,0,0,0
2017,0,0,1623845,0,0
2017,253724,306,0,762749,0
2018,0,0,0,1283469,0
2017,7346,0,890,0,0
2019,56897,575,0,0,0
2018,0,0,0,25330,0
2019,0,0,713700,66300,0
2017,112460,0,6939,0,0
2019,86482,0,0,0,0
2019,99411,1004,528618,45967,0
2013,200609,0,529,603897,0
2018,49491,200,857967,0,0
2017,2960,15,108,8995,0
2017,20474,0,198611,0,0
2017,20890,0,202647,0,0
2017,19158,0,185845,0,0
2018,0,0,4341,0,0
2017,118244,0,1171436,0,0
2018,5101,60,363,16757,0
2017,0,0,0,41289,0
2017,0,0,0,89256,0
2017,98947,972,427701,0,0
2013,209679,0,0,631886,0
1998,0,0,0,25000,0
2014,0,0,188986,626,0
2017,19259,0,420554,0,0
2014,0,0,0,4264,0
2017,0,0,0,12696,0
2014,0,0,0,4971,0
2014,0,0,0,4416,0
2017,9257,0,286,0,0
2013,209004,0,0,627493,0
2017,19127,0,185545,0,0
2016,87818,2165,962,281437,0
2011,25112,0,156381,0,0
2011,14544,0,36451,0,0
2017,19208,0,186330,0,0
2016,103887,0,400113,0,0
2017,43392,87,1391,174,0
2016,64619,2404,1803,211589,0
2016,88972,738,1108,280451,0
2014,0,0,0,545,0
2017,100639,760,502894,0,0
2018,0,26851,0,1119,0
2013,205913,0,0,618233,0
2001,6013,0,0,0,0
2016,119900,0,1152809,0,0
2013,373919,0,1194,1127275,0
2017,0,0,188280,0,0
2013,101247,0,0,302224,0
2013,373607,0,0,1121596,0
2013,279070,311,622,0,0
2016,210016,0,47089,532,0
2018,1800,0,0,0,0
2018,1600,0,0,0,0
2017,14590,0,448075,0,0
2003,12330,0,120,0,0
2003,17057,0,0,0,0
2017,108713,0,523361,59972,0
2017,24852,0,422237,0,0
2018,1800,0,0,0,0
2018,242448,2878,2558,746853,0
2018,12003,149,588,38567,0
2017,119002,0,2897520,0,0
2011,268755,0,597,1819,0
2011,201266,0,0,604384,0
2011,34972,0,0,104989,0
2013,110916,847,0,335565,0
1984,0,0,0,30876,0
2017,21082,0,333499,0,0
2018,0,94658,0,1932,0
2003,54493,0,1112,0,0
2018,0,0,813240,190760,0
2018,0,0,567000,133000,0
2017,221879,2223,238014,0,0
2013,112454,278,557,340057,0
2017,0,115856,0,2768,0
2017,37057,141,276872,0,0
2019,20004,0,101,74141,0
2017,123916,0,821390,0,0
1994,0,0,0,45063,0
1994,0,0,2591,0,0
2013,218130,0,1077,658094,0
2013,222903,0,1698,674292,0
2003,51790,0,2542,845081,0
2003,53536,0,3468,842874,0
2003,52503,0,2904,1494546,0
2003,236319,0,664,716214,0
2003,106139,0,74,320455,0
2003,52284,0,3755,1723551,0
2003,18365,0,2071,128335,0
2003,24816,0,1306,0,0
2017,195035,765,3801740,382,0
2017,0,194472,0,4354,0
2013,305185,0,1553,921144,0
2003,0,84306,0,8141,0
2012,240887,0,0,533,0
2013,325812,0,2455,985869,0
2013,323396,0,0,971012,0
1995,5715,0,0,0,0
2017,203921,793,6168828,0,0
2016,112495,2885,2098,362457,0
2017,0,204431,0,393,0
2014,388174,1745,3927,1190884,0
