"year","ersstArc.spr"
1900,0.150865058378242
1901,-0.39650441572584
1902,-0.288164510535098
1903,-0.96379967756655
1904,-0.75763416783563
1905,-0.345350252348801
1906,-0.32484395894511
1907,-0.609163523679492
1908,-0.958785699325046
1909,-0.956876119662975
1910,-1.10019239166687
1911,-1.2931357050079
1912,-0.445756287684386
1913,-0.615473446078684
1914,-0.36832373553309
1915,-0.0454674446719816
1916,-0.962247345639371
1917,-0.933476797328598
1918,-0.431434076750416
1919,-0.932072865483405
1920,-0.7298838717499
1921,-0.646763356389671
1922,-0.848180678795124
1923,-0.350715994286811
1924,-0.662891197341612
1925,-0.777865704448744
1926,0.503433381003895
1927,-0.303411778465085
1928,-0.253681714507355
1929,-0.330265091102699
1930,-0.26504746147956
1931,-0.0411230536712997
1932,-0.549219010684682
1933,-0.952559733322297
1934,0.345234994710177
1935,-0.0986176128360047
1936,0.433884886695051
1937,-0.0939151357645276
1938,-0.345309148437675
1939,-0.460644399982759
1940,0.696928509213459
1941,0.827728664395453
1942,0.368870153714871
1943,0.069734078508684
1944,-0.144889562499934
1945,0.230837992210498
1946,-0.106897702641871
1947,0.0640205980717451
1948,-0.544262722031824
1949,-0.59672804310404
1950,-0.60302137807868
1951,-0.537583936905039
1952,-0.613977553036021
1953,-0.485541224479675
1954,-0.34114930239217
1955,-0.709745603251731
1956,-0.632658042578862
1957,0.0988710920015971
1958,0.485709394189133
1959,0.228067805986295
1960,0.0399598891707672
1961,-0.00307579732489312
1962,-0.162548523730245
1963,0.258994492100573
1964,-0.490167916848742
1965,-0.427585536995153
1966,-0.306475372561093
1967,-0.129832183903661
1968,0.0602273031897929
1969,-0.51259214264908
1970,-0.0886964083403006
1971,-0.959956492980321
1972,-0.799153530597687
1973,-0.561216995976437
1974,-0.533318635444532
1975,-0.915837153552592
1976,-0.905070131332025
1977,-0.239288951953252
1978,0.193244930519455
1979,-0.0432644777599422
1980,0.151066226520758
1981,0.381457142377722
1982,-0.200775875305307
1983,0.324881224865201
1984,0.309368761243491
1985,-0.345293803598689
1986,0.386612215946461
1987,0.283634292394265
1988,-0.0596399004431977
1989,0.06084457539964
1990,0.0394251130778214
1991,-0.107198019822439
1992,0.490183583073232
1993,0.44607263865142
1994,0.360792743406077
1995,0.181005307175647
1996,0.664384361108144
1997,0.51639201401294
1998,0.270525195269749
1999,-0.89625213666894
2000,-0.225300095752738
2001,-0.325571911362396
2002,-0.343471746540618
2003,0.34075584027959
2004,0.399980405486863
2005,0.640142127700236
2006,-0.170944647131295
2007,-0.493707750035428
2008,-0.781107376978315
2009,-0.669568085738982
2010,-0.178637137837794
2011,-0.245764277241696
2012,-0.579058132980062
2013,-0.210634505337682
2014,0.80852515430286
2015,1.32081554251156
2016,1.1179065842053
2017,0.498261014003863
2018,0.620621837281633
2019,0.838656209392109
