ta	tu	ua	uu	release_stage	run	year
0	0	1087	0	S	1	2017
20474	0	198611	0	S	1	2017
20890	0	202647	0	S	1	2017
19158	0	185845	0	S	1	2017
118244	0	1171436	0	S	1	2017
19259	0	420554	0	S	1	2017
0	0	0	12696	S	2	2017
9257	0	286	0	S	1	2017
19127	0	185545	0	S	1	2017
19208	0	186330	0	S	1	2017
119900	0	1152809	0	S	1	2016
0	0	188280	0	S	1	2017
108713	0	523361	59972	S	1	2017
119002	0	2897520	0	S	1	2017
0	115856	0	2768	S	1	2017
123916	0	821390	0	S	2	2017
0	0	0	45063	S	2	1994
0	0	2591	0	S	2	1994
0	0	0	149887		1	1984
115483	0	230992	0	S	1	2017
0	133672	0	3748	S	1	2017
179536	0	5554	0	S	1	2017
117670	0	189315	0	S	2	2017
118932	0	934828	0	S	2	2017
0	5174	0	7	S	2	2013
43017	0	289	0	S	1	2019
20936	0	151850	0	S	1	2018
20902	0	151576	0	S	1	2018
50719	0	341	0	S	1	2019
46524	0	0	0	S	1	2019
120399	0	146491	0	S	1	2019
99106	0	358958	55106	S	1	2018
19599	0	336979	0	S	1	2018
20066	0	436418	0	S	1	2018
19629	0	294911	0	S	1	2018
20422	0	148099	0	S	1	2018
0	100818	0	303117	P	8	2012
0	0	3738	0	S	1	2018
119227	0	978433	0	S	1	2015
2845	0	209	0	S	1	1994
0	0	0	501129	P	8	2001
0	0	0	398747	P	8	2000
0	0	0	497790	P	8	2000
62920	0	153360	0	P	1	1994
0	63370	0	184	S	2	2013
0	0	0	322928	P	8	1999
159059	0	672	0	S	8	2002
156350	0	1440	0	S	8	2002
160155	0	0	0	S	8	2002
20212	1181	394	0	S	1	1999
19439	0	2657	0	S	1	1994
0	49752	0	300	G	1	1999
0	194323	0	153269	P	8	2005
100673	0	404	0	P	8	2013
154711	0	0	0	S	8	2003
0	66905	0	1786	P	1	2005
99875	100232	0	0	P	8	2005
0	80830	0	1482	Y	8	2011
154185	0	0	0	S	8	2003
100987	0	201	0	P	8	2011
0	196507	0	306051	P	8	2001
0	100999	0	211097	P	8	2011
0	197182	0	179789	P	8	2001
101574	0	408	0	P	8	2005
0	132997	0	10070	F	1	2005
201262	0	0	0	P	8	2005
0	77644	0	10805	P	8	2003
138650	0	1733	0	S	8	2003
0	189782	0	206307	P	8	2003
0	67312	0	0	P	1	2004
0	73123	0	28566	S	1	2002
72411	0	0	0	S	8	2005
0	202194	0	0	P	8	2004
23491	751	150	0	S	1	2003
0	169596	0	0	P	8	2004
67649	0	2541	0	S	8	2006
0	78156	0	2291	S	8	2006
185431	0	1495	210159	P	8	2006
0	25099	0	292	P	8	2006
0	9401	0	109	P	8	2006
0	98994	0	152445	P	8	2006
6863	0	14	0	P	8	2007
0	68647	0	1444	P	1	2007
0	68748	0	1446	P	1	2007
0	76868	0	449	P	1	2007
99783	0	505332	54919	S	1	2016
0	11172	0	1359	P	1	2008
0	25325	0	1599	P	1	2008
0	182328	0	213149	P	8	2009
97751	0	2341	0	P	8	2009
0	194717	0	202394	P	8	2000
7980	29	137	0	S	8	1998
0	238271	0	12014	G	1	1999
1042	9	0	13	S	1	2000
103823	100733	0	0	P	8	2005
0	76320	0	1709	P	1	2005
109239	0	0	0	P	8	2003
67671	2119	848	0	S	8	1998
134983	4501	3401	0	S	8	1999
150648	1333	1241	0	S	8	1999
0	100723	0	812	P	1	2014
0	193255	0	318218	P	8	2003
0	201489	0	0	P	8	2004
0	45405	0	8020	P	1	2007
98546	0	789	0	P	8	2007
0	99727	0	0	P	8	2009
0	100103	0	307268	P	8	2007
67891	0	0	0	P	8	2007
0	66821	0	2784	S	8	2009
70325	0	854	0	S	8	2009
0	78673	0	2433	S	8	2009
72770	0	146	0	S	8	2009
0	79146	0	157	P	1	2009
0	236677	0	2620	P	1	2009
0	78081	0	469	P	1	2008
0	81165	0	1304	P	1	2008
45474	0	409	0	S	1	2008
0	149162	0	1368	P	8	2008
100665	0	0	244741	P	8	2008
0	44245	0	7517	P	1	2009
377674	0	7644	0	S	2	2013
0	10925	0	0	S	1	2013
21672	0	145	0	S	2	2013
0	0	0	3055	Y	1	2002
