year,chinook,coho,steelhead,unclip_steelhead,sockeye,pink,chum,lamprey,shad,chinook_SS,chinook_F
1938,271799,15174,107003,0,75029,0,2114,0,0,37148,234651
1939,286156,14383,121932,0,73382,0,1147,0,0,100185,185971
1940,391573,11870,185161,0,148805,0,1729,0,0,88344,303229
1941,461443,17911,118087,0,65741,4,5269,0,0,88703,372740
1942,401998,12401,151395,0,55474,11,1865,0,0,65108,336890
1943,313120,2547,92151,0,39845,0,778,0,0,78984,234136
1944,240763,4207,100473,0,15071,1,953,0,0,43469,197294
1945,297488,791,120086,0,9501,1,727,0,0,71135,226353
1946,446152,3899,142806,0,74375,2,1176,75405,20279,118857,327295
1947,480276,11174,135434,0,171139,3,193,96848,25818,172322,307954
1948,420555,4081,139062,0,131541,2,3571,143815,8421,109965,310590
1949,277697,1003,119285,0,51444,6,2018,57928,22579,96806,180891
1950,357375,10151,114087,0,77993,8,1069,32693,7923,106893,250482
1951,331788,5201,149539,0,169428,7,1044,45110,8353,194171,137617
1952,420879,7768,260990,0,184646,9,1504,26203,3131,200483,220396
1953,332479,13018,223914,0,235215,10,1728,47129,16430,228108,104371
1954,320947,4062,176260,0,130107,4,1569,40986,5029,214163,106784
1955,359853,3725,198411,0,237748,9,313,42603,5808,254535,105318
1956,300917,6127,131116,0,156418,4,693,49911,8085,164649,136268
1957,403286,4675,139184,0,82915,12,562,53031,13159,271473,131813
1958,416419,3673,131347,0,122389,6,455,98519,10201,177105,239314
1959,345028,2573,129026,0,86560,22,900,215083,6720,150085,194943
1960,256049,3268,113676,0,59713,0,1017,177898,93368,154767,101282
1961,281980,3456,139726,0,17111,12,896,364805,265697,165156,116824
1962,286625,14788,164025,0,28179,27,1013,101426,435988,168601,118024
1963,278560,12658,129418,0,60319,34,740,87937,389772,139485,139075
1964,344422,53602,117252,0,99853,45,632,104328,252674,171959,172463
1965,317956,76032,166445,0,55125,64,496,108977,617321,160262,157694
1966,340111,71891,143661,0,156661,58,872,67914,557513,184666,155445
1967,366153,96488,121872,0,144157,50,352,66171,222459,180594,185559
1968,341128,63488,106974,0,108207,21,79,109029,294078,182080,159048
1969,507588,49378,141782,0,59636,86,143,379509,317356,275760,231828
1970,384780,80116,113510,0,70762,150,209,0,329277,175878,208902
1971,405702,75989,193966,0,87447,176,29,0,189597,203428,202274
1972,394456,65932,185886,0,56323,51,1,0,214725,256970,137486
1973,398635,54609,157823,0,58979,12,43,0,519207,187508,211127
1974,366759,60955,137054,0,43837,2,23,0,98945,180431,186328
1975,425566,58307,85540,0,58212,309,11,0,264246,148455,277111
1976,507773,53150,124177,0,43611,2,11,0,305219,182461,325312
1977,366657,19408,193437,0,99829,0,17,0,495723,160531,206126
1978,394600,52590,104431,0,18436,0,28,0,861166,194186,200414
1979,276306,45328,114007,0,52628,23,1,0,1.03986e+06,85679,190627
1980,245518,22052,129254,0,58882,0,0,0,939390,92052,153466
1981,285650,30510,159270,0,56037,0,0,0,881178,91938,193712
1982,322809,73832,157640,0,50219,0,0,0,780212,102658,220151
1983,243834,15176,213779,0,100527,0,0,0,1.40993e+06,80296,163538
1984,323302,29422,315587,0,152545,0,0,0,1.2747e+06,79546,243756
1985,463873,56857,343961,0,166340,0,0,0,974131,120831,343042
1986,570881,130853,379891,0,58123,0,0,0,858169,154084,416797
1987,547494,27636,303081,0,116993,0,0,0,943875,139514,407980
1988,494025,39620,279072,0,79714,0,0,0,1.16422e+06,131270,362755
1989,416117,39223,287798,0,41884,12,16,0,1.8774e+06,120234,295883
1990,340968,24845,183027,0,49581,0,25,0,2.94786e+06,124273,216695
1991,274622,64057,274545,0,76481,550,5,0,1.91442e+06,83181,191441
1992,256299,18126,314975,0,84992,24,39,0,2.55144e+06,109827,146472
1993,277657,11732,188377,0,80178,15,17,0,1.9935e+06,135788,141869
1994,243450,22794,161978,29451,12678,1,26,0,1.55756e+06,40097,203353
1995,240050,12034,202448,28036,8774,36,30,0,1.71618e+06,29636,210414
