year,chinook,coho,steelhead,unclip_steelhead,sockeye,pink,chum,lamprey,shad,chinook_SS,chinook_F
1962,94301,3207,115796,0,38,0,0,36863,253,64252,30049
1963,61190,1933,74539,0,1118,0,0,0,0,47653,13537
1964,60097,2071,58860,0,1276,0,0,0,0,49000,11097
1965,39233,320,62873,0,317,0,0,0,0,26879,12354
1966,75882,878,65798,0,278,0,0,0,0,60864,15018
1967,84930,3770,44205,0,717,0,0,4848,6471,65908,19022
1968,98681,6227,82383,0,1165,0,0,6676,604,74304,24377
1969,100514,5316,63889,0,745,0,0,5548,442,83007,17507
1970,77748,3636,53888,0,797,0,0,0,395,67363,10385
1971,70248,2969,67028,0,532,0,2,0,134,59244,11004
1972,82632,2522,63593,0,363,0,6,0,1268,73196,9436
1973,81821,2443,38311,0,233,0,4,0,11412,73468,8353
1974,32444,1334,12528,0,204,0,2,0,603,29630,2814
1975,31686,1559,16218,0,243,0,0,0,3483,29128,2558
1976,36556,1991,23885,0,771,0,0,0,5294,35082,1474
1977,56514,1561,54820,0,582,0,0,0,41192,54758,1756
1978,61352,652,27142,0,86,0,0,0,16278,59743,1609
1979,13929,398,23117,0,30,0,0,0,10489,11855,2074
1980,14717,58,50221,0,36,0,0,0,2857,12973,1744
1981,22092,82,41290,0,142,0,0,0,5048,19981,2111
1982,22646,348,73405,0,174,0,0,0,19337,19127,3519
1983,20259,465,88485,0,216,0,0,0,13942,17524,2735
1984,17968,22,93891,0,105,0,0,0,8504,15523,2445
1985,47981,10,128477,0,24,0,0,0,8120,38817,9164
1986,52614,0,144292,0,20,0,0,0,5403,46831,5783
1987,47477,0,74491,0,13,0,0,0,8209,39065,8412
1988,48066,0,99714,0,22,0,0,0,112081,42184,5882
1989,27234,0,151101,0,4,0,0,0,119199,21244,5990
1990,31841,1,54758,0,1,0,0,0,90164,26524,5317
1991,23175,1,123762,0,9,15,0,0,58565,17149,6026
1992,36021,0,160614,0,33,0,0,0,171607,30491,5530
1993,34991,1,73107,0,17,0,1,0,48801,31854,3137
1994,7577,1,51704,8265,0,0,0,0,32728,4475,3102
1995,7990,4,92026,7999,5,0,0,0,22226,2788,5202
1996,16375,0,97250,9995,1,0,0,0,12952,11757,4618
1997,55412,128,103830,10324,15,0,0,0,5434,50791,4621
1998,26052,15,77644,11050,3,0,0,0,14296,18341,7711
1999,23240,126,80267,13217,8,0,0,340,32578,13219,10021
2000,72047,1142,120256,22996,215,0,0,315,70685,55698,16349
2001,215552,1360,255720,46257,38,0,0,203,287874,191866,23686
2002,137404,231,202173,51308,61,0,0,1127,81373,116077,21327
2003,143329,1431,191675,47329,37,12,0,1702,245805,111665,31664
2004,129906,3521,171658,41036,91,0,0,801,365493,97642,32264
2005,58361,1621,156920,35611,18,0,0,461,281114,39123,19238
2006,52501,971,124812,27696,48,0,0,277,213229,35394,17107
2007,69106,2147,157620,32052,55,0,0,290,202740,45955,23151
2008,123007,3003,172453,42015,539,0,0,264,119312,89556,33451
2009,180349,5436,328105,76434,867,0,0,57,79496,116914,63435
2010,199092,1735,206959,58743,1302,0,0,114,70853,140321,58771
2011,177586,6727,198805,49394,1141,38,0,269,37409,126603,50983
2012,150625,2985,105269,27530,453,3,0,484,175936,90525,60100
2013,152174,2530,116162,32756,895,1,0,328,193525,74861,77313
2014,192966,16077,151966,44365,2392,0,0,721,90790,113633,79333
2015,219408,1492,128521,35078,1052,0,0,764,220757,146422,72986
2016,137810,2141,94473,22586,898,0,0,875,264827,88031,49779
2017,78076,5737,61961,13073,392,1,0,1438,368693,46626,31450
2018,62844,1580,48262,10837,382,0,0,1019,807491,41165,21679
