year,chinook,coho,steelhead,unclip_steelhead,sockeye,pink,chum,lamprey,shad,chinook_SS,chinook_F
1968,233654,38233,121256,0,87847,1,0,21669,123126,152976,80678
1969,276045,13589,86034,0,39847,1,0,52314,175075,146450,129595
1970,222488,19543,82440,0,78133,0,2,0,224162,115630,106858
1971,193881,40830,115977,0,72232,0,0,0,104034,106655,87226
1972,225631,17533,141628,0,51793,0,0,0,142805,116111,109520
1973,249492,13359,101440,0,64744,8,1,0,419876,130916,118576
1974,167888,14651,43756,0,33121,1,0,0,141066,72056,95832
1975,159079,6305,32651,0,50774,45,0,0,196199,69895,89184
1976,175910,5806,59808,0,30446,6,1,0,193000,81455,94455
1977,194931,1123,102558,0,85701,3,0,0,476407,104976,89955
1978,174852,8355,44188,0,13778,0,0,0,629005,103094,71758
1979,118154,5061,55877,0,43630,6,0,0,646187,45553,72601
1980,100664,1924,78199,0,50675,0,0,0,638037,46866,53798
1981,114359,2562,95280,0,46146,0,0,0,527678,53490,60869
1982,144082,4063,108603,0,37970,0,0,0,514861,52890,91192
1983,139706,1640,154697,0,89810,0,0,0,1.17259e+06,48175,91531
1984,188870,2065,199811,0,109815,0,0,0,586015,54355,134515
1985,337622,1652,247093,0,124941,0,0,0,682344,95878,241744
1986,346700,1933,238010,0,46327,0,0,0,609363,99935,246765
1987,327752,3355,170654,0,75529,0,0,0,748767,84557,243195
1988,277245,6813,164650,0,48095,0,0,0,908741,78764,198481
1989,208254,9663,193460,0,39374,0,0,0,1.77394e+06,61641,146613
1990,156313,3023,107849,0,42077,0,0,0,1.64194e+06,63659,92654
1991,118921,8021,160257,0,63760,1,0,0,1.38201e+06,38719,80202
1992,132025,2633,195194,0,69731,0,0,0,1.96306e+06,59367,72658
1993,141705,2995,95642,0,61218,0,0,0,647097,74508,67197
1994,126645,2842,93075,17333,11170,0,0,0,935958,22680,103965
1995,107277,2117,123246,18269,8667,0,0,0,1.03373e+06,17252,90025
1996,130602,4279,156002,23157,25698,0,0,0,959262,34747,95855
1997,185240,4229,157038,21513,35830,0,0,0,1.0079e+06,84349,100891
1998,130028,8497,158547,30456,9837,0,0,0,1.02504e+06,39957,90071
1999,163282,13232,165314,41338,14809,1,0,9872,763007,45212,118070
2000,269371,23969,220328,56798,88372,0,0,5862,851598,129766,139605
2001,510987,51181,483409,112335,107869,0,0,4005,1.79683e+06,344620,166367
2002,447729,9272,390300,112755,41915,0,0,26821,1.85094e+06,253259,194470
2003,472340,38765,305042,88078,35417,18,4,20922,2.73511e+06,221208,251132
2004,447891,35522,233431,70056,113497,0,0,11663,0,201707,246184
2005,322991,36205,232103,66287,69770,12,0,8312,0,128196,194795
2006,290161,38374,231355,55305,35387,3,1,9600,0,130370,159791
2007,215881,39421,237517,63053,24277,0,0,5753,0,104958,110923
2008,342952,44898,277162,82851,193409,2,0,6625,0,174026,168926
2009,451974,71739,581645,163259,157402,-1,0,2044,0,225675,226299
2010,534247,23272,283812,103991,324128,0,0,1662,0,274670,259577
2011,497771,65668,257345,89873,143605,698,0,3566,0,254143,243628
2012,444136,33859,162083,61631,394166,15,0,4587,0,185639,258497
2013,710149,18139,155742,66072,155498,64,12,6670,0,180910,529239
2014,766218,115841,203236,78691,557531,0,0,8576,0,246015,520203
2015,891578,21828,179506,64512,366364,10,0,8370,0,297285,594293
2016,507088,19635,130626,37823,289976,2,0,9769,0,199895,307193
2017,313886,34246,83253,24918,66041,1,0,23404,0,126929,186957
2018,229860,19802,73352,23603,168469,0,0,8542,0,102753,127107
