year,chinook,coho,steelhead,unclip_steelhead,sockeye,pink,chum,lamprey,shad,chinook_SS,chinook_F
1975,28460,921,17786,0,209,0,0,0,1,26215,2245
1976,31667,900,23017,0,531,0,0,0,0,30369,1298
1977,49123,268,53037,0,458,0,0,0,25,47199,1924
1978,54246,152,30068,0,123,0,0,0,0,52761,1485
1979,12548,158,25046,0,25,0,0,0,75,11111,1437
1980,10988,43,40454,0,96,0,0,0,308,10205,783
1981,19198,17,40234,0,218,0,0,0,72,17447,1751
1982,19476,59,72840,0,211,0,0,0,30,17274,2202
1983,16200,51,86592,0,122,0,0,0,552,14688,1512
1984,16533,0,99206,0,47,0,0,0,320,15165,1368
1985,36559,1,118463,0,35,0,0,0,692,34376,2183
1986,43023,1,134492,0,15,0,0,0,132,40438,2585
1987,37676,0,70151,0,29,0,0,0,1037,36332,1344
1988,37882,0,87040,0,23,0,0,0,2977,36926,956
1989,19557,0,132579,0,2,0,0,0,1310,18575,982
1990,23345,9,56859,0,0,0,0,0,2804,22770,575
1991,13618,0,100381,0,8,3,0,0,722,12591,1027
1992,26193,0,121459,0,15,0,0,0,22298,25236,957
1993,29808,0,66699,0,12,0,0,0,908,28599,1209
1994,5077,0,47550,8185,5,0,0,0,3402,4031,1046
1995,3702,0,80853,7632,3,0,0,0,373,2327,1375
1996,11129,0,86072,9583,3,0,0,0,265,9397,1732
1997,46727,92,85917,8991,11,0,0,0,111,44772,1955
1998,18557,12,72017,9559,2,0,0,0,629,14646,3911
1999,15884,262,74370,11746,14,0,0,18,1006,10647,5237
2000,62659,925,113211,20604,299,0,0,28,3250,51835,10824
2001,210381,1087,262568,47716,36,0,0,27,18432,192632,17749
2002,119302,395,218718,57291,55,0,0,138,3119,101226,18076
2003,119676,1265,180672,45391,11,1,0,282,17545,99463,20213
2004,109061,3904,154389,36209,113,0,0,122,33987,86501,22560
2005,49530,2183,155783,35977,18,0,0,40,13584,35100,14430
2006,45992,1434,145991,29836,17,0,0,35,7923,31223,14769
2007,62530,2798,158117,33183,52,0,0,34,21333,42551,19979
2008,115632,4770,175481,43678,909,0,0,61,3568,88776,26856
2009,168032,4912,323697,76203,1219,0,0,12,3457,111580,56452
2010,189394,1902,206885,61278,2201,0,0,15,3279,134684,54710
2011,179497,5351,183648,48105,1502,0,0,48,174,134594,44903
2012,141449,2635,110675,31426,470,0,0,48,7413,84771,56678
2013,149926,2454,107910,33634,757,0,0,19,1892,70966,78960
2014,195167,18651,164088,52151,2786,0,0,82,1206,114673,80494
2015,203259,1688,139776,39272,440,0,0,50,84833,132432,70827
2016,128833,3170,100176,23786,816,0,0,106,42486,81753,47080
2017,81318,8802,76798,14844,228,0,0,346,28771,48192,33126
2018,64129,2994,53536,12135,276,0,0,207,49709,42232,21897
