year,chinook,coho,steelhead,unclip_steelhead,sockeye,pink,chum,lamprey,shad,chinook_SS,chinook_F
1970,73471,2480,59640,0,163,0,0,0,0,67246,6225
1971,61402,2701,70013,0,891,0,0,0,0,55262,6140
1972,64211,799,63638,0,408,0,0,0,0,61868,2343
1973,70605,1157,38820,0,192,0,0,0,27,67416,3189
1974,26787,532,14784,0,124,0,0,0,1,25495,1292
1975,26960,697,15225,0,173,12,0,0,0,25355,1605
1976,32359,733,20894,0,644,2,0,0,1,31291,1068
1977,49176,438,47388,0,574,0,0,0,10,47920,1256
1978,56069,307,24927,0,168,0,0,0,2,54798,1271
1979,12515,390,21049,0,72,0,0,0,121,11325,1190
1980,10600,124,38627,0,88,0,0,0,614,9902,698
1981,19086,120,38680,0,200,0,0,0,84,17701,1385
1991,13727,1,98828,0,10,13,0,0,3889,12524,1203
1992,26746,0,117698,0,12,0,0,0,72629,25317,1429
1993,32384,0,59740,0,16,0,0,0,3938,30905,1479
1994,5457,0,45815,8422,44,0,0,0,10066,4201,1256
1995,5061,9,77744,8352,17,0,0,0,1478,2764,2297
1996,13538,0,82203,9611,1,0,0,0,715,11200,2338
1997,49664,59,74219,6222,10,0,0,0,533,47419,2245
1998,19798,1,63753,8569,5,0,0,0,2330,15262,4536
1999,17235,89,65471,9816,16,0,0,37,7412,10991,6244
2000,62886,313,101030,16138,296,0,0,71,20185,52473,10413
2001,214368,540,232669,44150,72,0,0,104,63102,196543,17825
2002,119429,133,215251,56020,38,0,0,365,15171,102156,17273
2003,114902,865,176169,46870,23,4,1,660,56834,93975,20927
2004,101009,3042,151410,35316,81,0,0,241,0,77429,23580
2005,46553,1992,143537,31157,13,0,0,211,0,32879,13674
2006,44695,972,124440,24681,26,1,0,125,0,30321,14374
2007,60398,2141,135414,23905,37,0,0,72,0,41946,18452
2008,108953,3806,168105,38997,594,0,0,104,0,84760,24193
2009,163562,5239,305436,61827,1061,0,0,34,0,108520,55042
2010,189451,2008,193891,56242,1658,0,0,29,0,134824,54627
2011,197424,4851,175328,45674,1436,12,0,80,0,151238,46186
2012,142119,2662,98278,28250,453,0,0,88,0,88057,54062
2013,149442,2136,95871,29587,996,0,0,33,0,72267,77175
2014,185367,21468,144980,42848,2811,0,0,115,0,116150,69217
2015,202671,1986,126271,33436,587,0,0,58,0,133635,69036
2016,129158,2518,95404,21974,962,0,0,192,0,83361,45797
2017,77071,7891,59259,11919,288,1,0,472,0,47773,29298
2018,63903,1752,45584,10546,280,0,0,61,0,42367,21536
