year,chinook,coho,steelhead,unclip_steelhead,sockeye,pink,chum,lamprey,shad,chinook_SS,chinook_F
1969,86700,6466,71434,0,1127,0,0,0,0,79092,7608
1970,75460,2972,62169,0,240,0,0,0,812,68176,7284
1971,68885,2171,70114,0,808,0,3,0,2,58682,10203
1972,72220,733,66857,0,415,0,0,0,73,67028,5192
1973,80557,1333,39530,0,206,0,0,0,4036,75120,5437
1974,31728,812,15139,0,114,0,6,0,214,28708,3020
1975,33013,572,17363,0,146,0,0,0,161,29960,3053
1976,34395,361,21822,0,364,0,0,0,194,32310,2085
1977,49301,122,47749,0,293,0,0,0,3362,47354,1947
1978,56835,218,20540,0,96,0,0,0,1620,55822,1013
1979,11288,194,17794,0,31,0,0,0,4908,10004,1284
1980,10885,73,34322,0,48,0,0,0,4854,9971,914
1981,19991,63,35923,0,136,0,0,0,1274,18367,1624
1982,21965,89,62772,0,154,0,0,0,5043,19587,2378
1983,19073,112,80570,0,118,0,0,0,12595,17549,1524
1984,18035,26,89086,0,334,0,0,0,10491,16809,1226
1985,42435,24,109718,0,68,0,0,0,5375,36608,5827
1986,50584,9,120479,0,26,0,0,0,2771,45683,4901
1987,42434,6,62586,0,16,0,0,0,6561,37886,4548
1988,44262,3,84746,0,35,0,0,0,55787,41231,3031
1989,25590,17,129618,0,9,0,0,0,43043,22672,2918
1990,28221,1,44907,0,0,0,0,0,25891,25814,2407
1991,18210,5,98315,0,6,14,0,0,20484,14965,3245
1992,30145,0,130429,0,15,0,0,0,123037,27652,2493
1993,34195,0,70992,0,18,0,1,0,15896,31855,2340
1994,7219,0,49917,8149,7,0,0,0,18952,4665,2554
1995,7883,4,90136,8975,4,0,0,0,9673,3267,4616
1996,15606,6,96609,10075,3,0,0,0,5670,11840,3766
1997,51556,30,85602,6762,16,0,0,0,6879,47878,3678
1998,21537,0,66118,8490,2,0,0,0,18267,15320,6217
1999,20271,88,72842,10935,15,0,0,56,41759,11366,8905
2000,68961,750,112616,20998,291,0,0,94,74266,53813,15148
2001,225312,957,252923,45721,32,0,0,60,224248,203503,21809
2002,124897,158,232727,60208,46,0,0,284,58677,103303,21594
2003,123158,1106,187338,47279,14,3,0,476,160295,100304,22854
2004,114120,3611,158118,40468,80,0,0,195,0,88249,25871
2005,52281,2095,153792,37106,18,0,0,222,0,36093,16188
2006,54482,1181,135566,27338,17,1,0,175,0,34586,19896
2007,73333,2231,154104,33236,44,0,0,138,0,48426,24907
2008,123018,4513,186058,48264,722,0,0,145,0,91630,31388
2009,183452,5630,317605,77123,1162,0,0,58,0,122026,61426
2010,200817,2003,213811,63499,1652,0,0,44,0,142691,58126
2011,178281,4829,187272,46623,1395,33,0,99,0,132832,45449
2012,144661,2501,101523,28488,486,0,0,135,0,88260,56401
2013,151421,2325,106649,33828,1014,0,0,108,0,75016,76405
2014,193400,19855,170270,54718,2805,0,0,220,0,118162,75238
2015,213045,1353,131476,37048,888,0,0,264,0,142807,70238
2016,135313,3293,94196,21817,1024,0,0,240,0,87185,48128
2017,80253,7587,66499,13762,346,1,0,409,0,48419,31834
2018,70462,2058,50031,11494,398,0,0,432,0,45278,25184
