year,chinook,coho,steelhead,unclip_steelhead,sockeye,pink,chum,lamprey,shad,chinook_SS,chinook_F
1954,126555,949,73455,0,108181,0,1,938,0,113079,13476
1955,108915,643,85575,0,173758,0,0,556,0,92489,16426
1956,114342,683,42564,0,102145,0,0,970,4,103052,11290
1957,292696,2855,105684,0,85460,0,0,2748,636,222089,70607
1958,226092,1350,87872,0,102397,0,0,10565,48,128564,97528
1959,171490,1970,110475,0,83977,0,0,19807,17,115760,55730
1960,176767,1580,96795,0,55372,0,0,13960,1147,129430,47337
1961,154996,2045,103743,0,16388,0,0,26119,1612,113796,41200
1962,152766,3195,163181,0,29372,0,0,14027,12847,108650,44116
1963,154461,3113,113646,0,59744,0,0,9965,9015,97096,57365
1964,167934,3317,100742,0,83931,0,0,6173,14494,109341,58593
1965,150907,2700,118960,0,42052,0,0,7362,39810,74581,76326
1966,223141,8525,145130,0,173028,0,0,5410,100483,148022,75119
1967,195633,27226,77700,0,105640,0,0,1516,25666,122546,73087
1968,200688,39518,112522,0,100997,0,0,1578,26287,127731,72957
1969,213407,53716,76681,0,29787,0,0,3069,89402,134032,79375
1970,168892,36399,69759,0,59636,0,0,0,108350,107338,61554
1971,171448,39358,109630,0,52867,0,0,0,41842,101730,69718
1972,168821,45635,93820,0,26422,0,0,0,54176,119514,49307
1973,184112,17682,64620,0,42731,0,0,0,318377,110859,73253
1974,127858,13746,26932,0,26505,0,0,0,58043,65849,62009
1975,133150,3975,22663,0,43143,0,0,0,107583,64431,68719
1976,163314,7539,54000,0,24632,0,1,0,70694,75323,87991
1977,183581,4622,87712,0,80781,0,0,0,432749,99211,84370
1978,144148,20356,34740,0,18511,0,0,0,380727,100003,44145
1979,95275,12800,50304,0,37792,0,6,0,361024,45314,49961
1980,80773,569,66524,0,44301,0,0,0,275223,41863,38910
1981,80619,3736,61985,0,26644,0,0,0,193373,47471,33148
1982,102225,3119,75099,0,15077,0,0,0,117862,44926,57299
1983,121638,2470,125254,0,40903,0,0,0,417131,47835,73803
1984,159053,2823,135306,0,56894,0,0,0,281793,48675,110378
1985,288483,6917,188204,0,98457,0,0,0,438329,85294,203189
1986,342393,1379,193481,0,46443,0,0,0,307361,101851,240542
1987,286640,617,148811,0,72180,0,0,0,575338,85749,200891
1988,243588,2010,151664,0,50080,0,0,0,665925,74779,168809
1989,176407,3383,170467,0,41318,0,0,0,1.07647e+06,60662,115745
1990,147439,2059,95061,0,46145,0,0,0,866940,66747,80692
1991,114841,2272,168962,0,69365,134,10,0,674483,40219,74622
1992,135707,1801,194026,0,68737,2,0,0,1.63509e+06,65004,70703
1993,143412,481,93183,0,66485,0,4,0,701404,79930,63482
1994,128868,1735,94427,17202,10603,0,0,0,668528,23300,105568
1995,113354,1021,114910,14403,8320,1,0,0,481081,19149,94205
1996,114947,1853,124177,16733,28585,0,0,0,352755,32934,82013
1997,162946,2580,129817,16707,38043,0,0,0,340090,80587,82359
1998,114604,6173,99705,17859,9391,0,0,0,393305,37386,77218
1999,121946,4934,84088,17711,11884,0,0,1050,248895,34850,87096
2000,191231,11152,130332,31173,60242,0,0,1281,350457,103340,87891
2001,489784,24730,398784,94384,97188,0,0,2539,1.06357e+06,342886,146898
2002,417090,3192,286805,81439,39424,0,0,11282,599294,249976,167114
2003,423363,20231,246898,72141,32037,51,1,13325,1.07767e+06,212474,210889
2004,384398,20387,212177,59715,89707,0,0,5888,1.75173e+06,189468,194930
2005,270003,20600,224292,58626,63540,0,0,4158,1.951e+06,121918,148085
2006,219191,13923,206155,46865,29295,0,0,2456,1.1769e+06,114323,104868
2007,180435,22825,221534,54074,18175,0,0,3454,985466,93543,86892
2008,267979,21806,221310,58748,146924,5,0,1530,623010,146187,121792
2009,358882,38054,410082,109386,121672,8,0,676,486725,192060,166822
2010,462428,15089,262513,89504,278799,0,0,825,276673,237274,225154
2011,440428,44304,246097,76573,113952,505,0,868,224905,235782,204646
2012,405202,18801,157018,53026,364147,0,0,970,675421,177082,228120
2013,674362,13881,144354,55618,134202,34,0,1570,1.24649e+06,165004,509358
2014,715072,112587,209772,75128,546012,0,0,1783,937826,228176,486896
2015,822516,19901,177137,59834,279744,11,0,1748,999552,269928,552588
2016,449621,12013,118763,32405,261696,0,0,1612,1.00376e+06,184960,264661
2017,282735,23607,82472,23243,58022,30,0,2549,1.61061e+06,113296,169439
2018,207507,13924,66332,20392,155480,3,0,1566,3.87186e+06,93061,114446
