year,chinook,coho,steelhead,unclip_steelhead,sockeye,pink,chum,lamprey,shad,chinook_SS,chinook_F
1962,38904,0,9334,0,28575,0,0,0,0,24897,14007
1963,43681,0,9274,0,64751,0,0,0,0,23706,19975
1964,50962,0,5999,0,79387,0,0,0,0,31792,19170
1965,51803,0,9041,0,48356,0,0,0,0,27209,24594
1966,61915,0,13006,0,170071,0,0,0,0,41199,20716
1967,48918,0,7354,0,123786,0,0,0,0,31588,17330
1968,48323,0,10523,0,108308,0,0,0,0,33014,15309
1969,40886,0,6650,0,39240,0,0,0,0,24824,16062
1970,43812,0,5558,0,77419,0,0,0,0,24028,19784
1971,36158,0,11102,0,73837,0,0,0,0,23815,12343
1972,32640,0,6429,0,44927,0,0,0,0,23536,9104
1973,34401,0,6999,0,54480,0,0,0,0,24318,10083
1974,32448,0,3089,0,35436,0,0,0,0,24830,7618
1975,43740,0,2462,0,55209,0,0,0,0,30375,13365
1976,43419,0,9248,0,32810,0,0,0,0,32645,10774
1977,47678,372,9812,0,95423,0,0,0,0,40822,6856
1978,50530,597,4545,0,17731,0,0,0,0,44007,6523
1979,38166,311,8409,0,45759,0,0,0,20196,30439,7727
1980,38285,318,8524,0,52039,0,0,0,23701,29844,8441
1981,32600,428,8983,0,51460,0,0,0,20857,27168,5432
1982,32071,1808,11037,0,40451,0,0,0,17320,18971,13100
1983,30317,500,31730,0,90008,0,0,0,95820,19753,10564
1984,42700,172,26076,0,113761,0,0,0,21923,30034,12666
1985,62159,219,34701,0,118541,0,0,0,44267,42030,20129
1986,68503,102,22396,0,43078,0,0,0,32445,39007,29496
1987,73155,108,14265,0,76577,0,0,0,34926,33348,39807
1988,53942,62,10208,0,51135,0,0,0,31853,27193,26749
1989,49227,33,10667,0,45300,0,0,0,30847,32153,17074
1990,36288,31,7830,0,46331,0,0,0,23602,28278,8010
1991,31484,22,14027,0,71245,0,0,0,27638,23181,8303
1992,37752,1,13733,0,80857,0,0,0,121553,29932,7820
1993,54566,1,5493,0,82924,0,0,0,15443,46518,8048
1994,32911,0,6707,0,12395,0,0,0,19613,18645,14266
1995,30556,3,4357,0,9186,0,0,0,20583,13816,16740
1996,27265,6,8377,0,29453,0,0,0,10267,13913,13352
1997,33250,22,9536,0,47904,0,0,0,11155,20604,12646
1998,29415,19,5837,0,10769,0,0,0,8078,18149,11266
1999,51471,51,7551,0,15186,0,0,0,4023,23721,27750
2000,77955,334,10055,0,70802,0,0,0,2199,39357,38598
2001,137748,11186,29963,0,108656,0,0,1624,4238,106991,30757
2002,161510,1555,15895,0,47883,0,0,4007,4836,132063,29447
2003,160433,5216,17652,0,36551,0,0,4339,7067,105629,54804
2004,134620,5624,18727,0,124943,0,0,2647,10589,87214,47406
2005,109429,1260,12472,0,74563,0,0,2598,10254,77788,31641
2006,87085,3813,10410,0,26710,0,0,4381,281,66407,20678
2007,65962,12310,15183,0,24645,0,0,6593,1015,38929,27033
2008,104000,6022,16725,0,196835,0,0,5083,340,55414,48586
2009,114137,11293,40093,0,153466,0,0,2714,295,67913,46224
2010,124443,2655,26476,0,357058,0,0,1114,1815,81953,42490
2011,116914,23392,20757,0,145070,0,0,3868,271,76364,40550
2012,138487,9958,17230,0,408258,0,0,4025,1939,73171,65316
2013,371726,4021,15011,0,163079,0,0,5968,21586,89280,282446
2014,242755,36685,19843,0,608142,0,0,7586,8179,109714,133041
2015,206103,5036,14316,0,301272,0,0,6749,17043,110975,95128
2016,147777,1987,6498,0,311072,0,0,8139,11361,103260,44517
2017,96655,8719,5804,0,66670,0,0,26012,8090,62792,33863
2018,70814,5202,4918,0,189884,0,0,11758,79326,50361,20453
