year,chinook,coho,steelhead,unclip_steelhead,sockeye,pink,chum,lamprey,shad,chinook_SS,chinook_F
1977,47459,519,9925,0,90261,0,0,0,0,39501,7958
1978,46113,1229,3254,0,14936,0,0,0,0,41125,4988
1979,35285,465,7325,0,50583,0,0,0,0,29157,6128
1980,26896,784,7016,0,52657,0,0,0,0,23083,3813
1981,20808,827,7565,0,47139,0,0,0,0,17450,3358
1982,23520,1624,10150,0,41111,0,0,0,0,17380,6140
1983,23608,260,29666,0,86424,0,0,0,0,18998,4610
1984,36873,1426,24803,0,109092,0,0,0,0,29753,7120
1985,55415,1093,31995,0,103200,0,0,0,0,42255,13160
1986,50470,476,22867,0,49788,0,0,0,0,37743,12727
1987,51458,1404,12706,0,69868,0,0,0,0,34257,17201
1988,43306,722,9358,0,49177,0,0,0,0,31674,11632
1989,37632,287,9351,0,37360,0,0,0,0,29282,8350
1990,27199,109,6936,0,44143,0,0,0,0,21952,5247
1991,21518,153,11018,0,62118,0,0,0,0,16805,4713
1992,29923,49,12480,0,68359,0,0,0,0,25347,4576
1993,37197,6,4831,0,65630,0,0,0,0,33345,3852
1994,24260,14,5618,0,10976,0,0,0,0,15106,9154
1995,21571,0,4175,0,9462,0,0,0,0,12253,9318
1996,18084,0,7305,0,29500,0,0,0,0,12422,5662
1997,21515,0,7529,0,40375,0,0,0,0,16604,4911
1998,19875,9,4859,0,9367,0,0,0,0,15367,4508
1999,32798,12,6361,1743,18371,0,0,0,0,24361,8437
2000,60978,2014,10510,4420,76512,0,0,822,0,48684,12294
2001,122885,10465,28299,16059,104840,0,0,1428,0,103397,19488
2002,130501,1751,15291,10353,44320,0,0,4878,0,114895,15606
2003,132167,5869,17509,11456,34779,0,0,5000,0,106035,26132
2004,97765,5982,19547,14191,106666,0,0,2362,0,79021,18744
2005,80942,6580,12409,6446,71226,0,0,2267,0,68888,12054
2006,81777,5597,9382,4090,35132,0,0,1326,0,74034,7743
2007,47659,17152,13296,5631,25122,0,0,1300,0,42062,5597
2008,68075,8393,16288,6194,193739,0,0,880,0,54879,13196
2009,87420,21905,37800,12095,162830,0,0,375,0,70660,16760
2010,96670,7695,22179,10504,338310,0,0,318,0,82444,14226
2011,94490,31045,19024,8554,146111,0,0,886,0,80214,14276
2012,92850,8277,15457,6510,410620,0,0,1048,0,76208,16642
2013,158253,2613,11501,6062,159219,0,0,2157,0,88817,69436
2014,145104,47587,15037,7116,581121,35,0,2451,80,110657,34447
2015,168003,4499,14041,5980,264678,0,0,2165,0,124007,43996
2016,122277,2489,7166,2540,310341,0,0,3939,0,102048,20229
2017,82070,13200,5265,2374,73218,0,0,21137,0,66242,15828
2018,59941,8391,5229,2133,172009,0,0,4998,4,49353,10588
