year,chinook,coho,steelhead,unclip_steelhead,sockeye,pink,chum,lamprey,shad,chinook_SS,chinook_F
1977,25905,927,7416,0,25648,0,0,0,0,19707,6198
1978,19545,1438,2353,0,8349,0,0,0,0,16778,2767
1979,14891,244,4804,0,28945,0,0,0,0,12172,2719
1980,10151,713,4295,0,29906,0,0,0,0,8091,2060
1981,10269,522,5524,0,30649,0,0,0,0,8329,1940
1982,9196,938,6241,0,17379,0,0,0,0,6338,2858
1983,9019,237,19698,0,26079,0,0,0,0,6621,2398
1984,14604,923,17228,0,73290,0,0,0,0,10364,4240
1985,20829,584,22690,0,54077,0,0,0,0,14612,6217
1986,15351,456,15193,0,32908,0,0,0,0,9595,5756
1987,15731,927,7172,0,41115,0,0,0,0,7539,8192
1988,13260,306,5678,0,34089,0,0,0,0,8515,4745
1989,13095,150,6119,0,16175,0,0,0,0,8106,4989
1990,9051,62,5014,0,9296,0,0,0,0,6270,2781
1991,6677,38,7732,0,27440,0,0,0,0,4597,2080
1992,8383,74,7516,0,41804,0,0,0,0,5724,2659
1993,11294,4,2816,0,28319,0,0,0,0,8971,2323
1994,12017,3,2823,0,1662,0,0,0,0,6552,5465
1995,9614,0,1758,0,4988,0,0,0,0,4952,4662
1996,9812,0,5783,0,21741,0,0,0,0,5799,4013
1997,11273,0,6538,0,30661,0,0,0,0,8197,3076
1998,11037,0,4466,0,5988,0,0,0,0,7848,3189
1999,22803,23,4814,679,14111,0,0,0,0,13212,9591
2000,31611,547,8266,2471,57428,0,0,767,0,24559,7052
2001,72871,1629,22001,10663,66220,0,0,805,0,59914,12957
2002,98756,481,11853,7028,12372,0,0,1842,0,86071,12685
2003,88011,993,13644,8775,30355,0,0,2521,0,74031,13980
2004,65538,786,14580,9366,81338,0,0,1043,0,54724,10814
2005,56064,1225,9710,4251,55570,0,0,404,0,50152,5912
2006,54600,1523,8124,3005,25377,0,0,370,0,48628,5972
2007,34581,4738,10146,3918,20683,0,0,696,0,30111,4470
2008,48135,3726,13871,4712,161343,0,0,368,0,36238,11897
2009,59348,5937,29547,9558,133106,0,0,278,0,47368,11980
2010,55883,2691,17871,7560,295638,0,0,268,0,45080,10803
2011,68542,7951,15280,6394,132096,0,0,618,0,57472,11070
2012,68477,2440,13106,5400,363314,0,0,805,0,55403,13074
2013,129190,534,9204,4585,131660,0,0,1626,0,72671,56519
2014,103168,13170,10587,4973,492892,40,0,3799,158,78339,24829
2015,131102,2140,10894,4370,216389,0,0,2134,0,94036,37066
2016,86252,418,5728,1880,235925,0,0,3553,0,71186,15066
2017,62842,5432,3988,1617,46701,0,0,23986,0,49938,12904
2018,49173,4424,4238,1602,162684,0,0,5218,0,40942,8231
