year,chinook,coho,steelhead,unclip_steelhead,sockeye,pink,chum,lamprey,shad,chinook_SS,chinook_F
2006,87084,3813,10412,0,26710,0,0,4381,281,67213,19871
2007,67995,10175,17348,0,24097,0,0,4771,1015,45052,22943
2008,87071,4616,16434,0,197711,0,0,1519,40,56743,30328
2009,99936,9668,36689,0,166195,0,0,718,235,71570,28366
2010,106786,3035,29005,0,360188,0,0,707,48,82332,24454
2011,96983,23302,13855,0,150237,0,0,1901,32,77181,19802
2012,99707,5532,15516,0,450198,0,0,3040,115,73693,26014
2013,187653,2032,12325,0,155695,0,0,4277,240,88063,99590
2015,164832,3327,14128,0,296339,0,0,5330,795,107298,57534
2016,128308,1341,5868,0,322459,0,0,9428,668,102042,26266
2017,79015,6463,4967,0,76075,0,0,28463,504,58043,20972
2018,61439,4586,4411,0,196183,0,0,9073,428,48474,12965
