year,chinook,coho,steelhead,unclip_steelhead,sockeye,pink,chum,lamprey,shad,chinook_SS,chinook_F
1977,14998,68,5384,0,21973,0,0,0,0,11738,3260
1978,11372,77,1523,0,7644,0,0,0,0,10034,1338
1979,13179,62,3597,0,26655,0,0,0,0,12072,1107
1980,6783,82,3443,0,26573,0,0,0,0,6074,709
1981,6897,26,4096,0,28234,0,0,0,0,6211,686
1982,7814,357,7984,0,19005,0,0,0,0,5750,2064
1983,6840,82,19525,0,27925,0,0,0,0,5690,1150
1984,11033,104,16627,0,81054,0,0,0,0,9221,1812
1985,11884,90,19757,0,52989,0,0,0,0,9784,2100
1986,8396,92,13234,0,34788,0,0,0,0,7263,1133
1987,8744,42,5427,0,40120,0,0,0,0,5483,3261
1988,7847,78,4415,0,33978,0,0,0,0,5897,1950
1989,6520,15,4608,0,15976,0,0,0,0,5058,1462
1990,5140,37,3819,0,7609,0,0,0,0,4404,736
1991,3679,16,7733,0,27490,0,0,0,0,2831,848
1992,5064,28,7073,0,41951,0,0,0,0,3547,1517
1993,7421,7,2400,0,27849,0,0,0,0,6200,1221
1994,8259,3,2183,0,1666,0,0,0,0,5242,3017
1995,4345,0,945,0,4892,0,0,0,0,3163,1182
1996,3694,1,4127,0,17701,0,0,0,0,2777,917
1997,4297,19,4101,0,24621,0,0,0,0,3562,735
1998,5324,1,2739,349,4664,0,0,343,0,4127,1197
1999,10682,223,3551,581,12388,0,0,73,0,8132,2550
2000,16037,0,6251,1780,59944,0,0,155,0,12748,3289
2001,56992,609,17508,7889,74486,0,0,262,0,47804,9188
2002,77105,132,9475,5852,10586,0,0,338,0,70633,6472
2003,59346,168,9963,5952,28977,0,0,1408,0,51093,8253
2004,43417,291,9317,5600,78053,0,0,291,0,37640,5777
2005,40220,348,7203,2760,55559,0,0,215,0,36759,3461
2006,36615,409,6674,2573,22075,0,0,21,0,31572,5043
2007,22280,2432,7500,3410,22273,0,0,35,0,19610,2670
2008,31992,1196,9808,3803,165334,0,0,7,0,25569,6423
2009,44026,3014,25443,8927,134937,0,0,9,0,37699,6327
2010,41410,1227,12763,5415,291764,0,0,2,0,37207,4203
2011,51745,5796,12069,4706,111508,0,0,1,0,46408,5337
2012,52846,2042,9778,4248,326107,0,0,3,0,47870,4976
2013,82762,573,7222,3421,129993,0,0,21,0,63828,18934
2014,83506,9149,7735,3809,490804,0,0,7,109,73165,10341
2015,103358,1173,9143,3552,187055,0,0,0,0,86931,16427
2016,65822,423,4844,1709,216036,0,0,7,0,59760,6062
2017,43458,3847,3755,1689,42299,0,0,287,0,38612,4846
2018,34841,2946,3914,1588,153637,0,0,175,0,31718,3123
