year,chinook,coho,steelhead,unclip_steelhead,sockeye,pink,chum,lamprey,shad,chinook_SS,chinook_F
2000,41202,3612,17744,0,0,0,0,0,0,39111,2091
2001,55723,2138,39590,0,0,0,0,0,0,54244,1479
2002,83994,4754,50084,0,0,0,0,0,0,83069,925
2003,88173,9777,25306,0,0,0,0,0,0,87749,424
2004,97565,3371,45109,0,0,0,0,0,0,96776,789
2005,37670,1593,19733,0,0,0,0,0,0,36633,1037
2006,39307,7800,25930,0,0,0,0,0,0,37041,2266
2007,23278,1214,19698,0,0,0,0,0,0,23098,180
2008,18320,7019,19257,0,0,0,0,0,0,14672,3648
2009,30081,27392,18209,0,0,0,0,0,0,28514,1567
2010,67825,22101,33585,0,0,0,0,0,0,67051,774
2011,47342,5362,28393,0,0,0,0,0,0,45147,2195
2012,39437,12941,32193,0,0,0,0,0,0,37213,2224
2013,31561,22740,18237,0,0,0,0,0,0,29561,2000
2014,33531,21449,28340,0,0,0,0,0,0,31669,1862
2015,57043,3574,8280,0,0,0,0,0,0,53088,3955
2016,33741,4550,27503,0,0,0,0,0,0,32478,1263
2017,40090,5928,2992,955,0,0,0,0,0,36628,3462
2018,29519,5363,11127,2401,0,0,0,0,0,26542,2977
