Time,M1,M2
1,0.407489068,0.392222135
2,0.91428204,0.821557663
3,0.28278478,0.45301151
4,0.768144588,0.857023905
5,0.663607858,0.376203296
6,0.843290352,0.801388199
7,0.488660531,0.503013801
8,0.944595323,0.85530397
9,0.182714674,0.36852352
10,0.56610739,0.809112001
11,0.924232404,0.503930655
12,0.256787117,0.837686002
13,0.720918335,0.458680017
14,0.757927922,0.84257064
15,0.684425954,0.413170123
16,0.815095169,0.825989255
17,0.559251933,0.449197731
18,0.931634698,0.845869777
19,0.22626682,0.39326601
20,0.663486894,0.82800885
21,0.837446275,0.454485839
22,0.509681894,0.837301016
23,0.941108648,0.442657512
24,0.202276234,0.830164332
25,0.609811674,0.480036498
26,0.898322669,0.850186556
27,0.331813559,0.384693467
28,0.83995769,0.818253691
29,0.497083353,0.465517179
30,0.945339657,0.852326206
31,0.180241086,0.376072836
32,0.560110424,0.815824501
33,0.927130564,0.489335951
34,0.247652462,0.838307708
35,0.703866556,0.457808914
36,0.785621296,0.842990782
37,0.626752375,0.41026891
38,0.883805834,0.826248199
39,0.375628851,0.444047955
40,0.887884962,0.850699012
41,0.363165518,0.38410988
42,0.876060124,0.816833544
43,0.398287471,0.466410146
44,0.906972027,0.856189801
45,0.30508952,0.368827675
46,0.803387129,0.805776337
47,0.587286744,0.495964884
48,0.91522242,0.851641124
49,0.279254477,0.379864535
50,0.762709796,0.815999835
51,0.675290118,0.475714679
52,0.826813914,0.847236147
53,0.530121996,0.396954172
54,0.942343446,0.82100072
55,0.190989356,0.452461711
56,0.585418897,0.860177159
57,0.912202447,0.380668332
58,0.297393812,0.797380109
59,0.789270065,0.546506875
60,0.623399922,0.832922566
61,0.881750468,0.44552947
62,0.388356087,0.833187699
63,0.896163949,0.460564969
64,0.345350842,0.836537736
65,0.853339843,0.455486311
66,0.467799937,0.836970091
67,0.938229301,0.446256288
68,0.211855487,0.831395389
69,0.630973697,0.476528983
70,0.87880084,0.849017709
71,0.389815361,0.388963837
72,0.900833031,0.81971847
73,0.32469636,0.458155991
74,0.830245577,0.85697085
75,0.521333938,0.372081643
76,0.944390904,0.802210826
77,0.184411541,0.49473211
78,0.569710227,0.867604128
79,0.921648181,0.362492583
80,0.26772687,0.782093735
81,0.740799183,0.579729935
82,0.721070594,0.818393904
83,0.752483216,0.472979044
84,0.700640282,0.843971834
85,0.785198799,0.413586167
86,0.634419303,0.822884484
87,0.870898438,0.468345331
88,0.419092901,0.838862439
89,0.918094131,0.444977962
90,0.277579097,0.831721481
91,0.757392608,0.471393527
92,0.691105772,0.843573446
93,0.799558649,0.415210627
94,0.602365834,0.823278848
95,0.900262396,0.469544549
96,0.332747789,0.837936565
97,0.838125022,0.45299035
98,0.507958334,0.836892321
99,0.941257198,0.44375396
100,0.201756191,0.830512412
101,0.608641176,0.479260528
102,0.899315007,0.850158745
103,0.328789386,0.384696146
104,0.836080637,0.818348853
105,0.507105149,0.465552576
106,0.945086482,0.851960084
107,0.181108971,0.377020271
108,0.562206708,0.816603412
109,0.926113238,0.487439985
110,0.250996038,0.838333891
111,0.710180333,0.457522144
112,0.7756336,0.842690853
113,0.648226863,0.41168088
114,0.861172177,0.826350057
115,0.440075108,0.445304366
116,0.932434881,0.848851967
117,0.223570298,0.385738133
118,0.657904363,0.822405623
119,0.844430322,0.46790601
120,0.491295183,0.839785794
121,0.941460405,0.437903033
122,0.201182933,0.828522414
123,0.607358079,0.483920816
124,0.900323858,0.850582052
125,0.325699086,0.383558841
126,0.832054432,0.817551117
127,0.517406506,0.467644746
128,0.944009403,0.851978987
129,0.184765947,0.377045681
130,0.570991165,0.816514608
131,0.921524514,0.48706695
132,0.265828036,0.838507046
133,0.737163293,0.456113535
134,0.729538972,0.841360511
135,0.737508963,0.418051082
136,0.729473743,0.826829998
137,0.737835829,0.45288547
138,0.728366547,0.840498364
139,0.739581319,0.420237754
140,0.725667007,0.827868945
141,0.744467583,0.450696268
142,0.716184708,0.839649696
143,0.760376969,0.423125752
144,0.685939868,0.828577419
145,0.807253103,0.451660737
146,0.583970927,0.837653242
147,0.913422454,0.436832797
148,0.292530865,0.829113635
