Time,R1,R2,N1,N2
1,0.325583874,0.458006069,0.610897773,0.515504555
2,0.648580315,0.551381503,0.970703222,1.007761218
3,0.036132104,-0.006641815,1.249473408,1.10174113
4,-0.977937579,-0.294639892,0.942086699,0.885491795
5,0.277307686,0.48713872,0.702418554,0.767928198
6,0.774398117,0.576649177,0.929547737,0.820156373
7,0.284279434,0.581809516,0.407951199,0.28705473
8,0.580460647,0.385518598,0.16318048,0.100469156
9,0.389152793,0.210663647,0.342579878,0.522302925
10,0.629544696,0.567698576,0.911430068,0.7594552
11,0.274842312,0.531870805,0.648851461,0.847618836
12,0.475967632,0.204208623,0.840001232,0.682185191
13,0.346775989,0.446331559,0.725153286,0.449428464
14,0.757265658,0.826322926,0.91960601,0.724998538
15,0.24949732,0.574101084,0.642684717,0.785620294
16,0.797133358,0.502358488,0.733041519,0.479175726
17,0.465170177,0.463714945,0.639992597,0.614043063
18,0.535702622,0.428351236,1.013262696,1.041237998
19,-0.0440892,-0.119353767,0.654802398,0.938534384
20,0.339155533,0.060307889,1.059054318,0.830845522
21,-0.142365036,0.247378073,0.888791904,0.754510878
22,0.53369582,0.959754152,0.891219384,0.692430043
23,0.393448318,0.772280133,0.356487753,0.242350515
24,0.619644169,0.400270935,0.481750634,0.14513057
25,1.115816849,0.507532776,0.192700254,0.298173772
26,0.440307729,0.483630463,0.610775922,1.064114973
27,1.093425908,-0.289299921,0.637758686,1.144720374
28,0.82453903,-0.511612048,0.874747644,0.800923066
29,0.402599214,0.510660948,1.465715906,0.787855849
30,-1.626292326,0.311442666,1.026594091,0.75938001
31,-0.064662378,0.337980128,1.504063545,0.265783003
32,-3.511444904,0.834709249,1.426164447,0.093024051
33,-1.791756431,0.205173758,0.973064993,0.543219365
34,0.038516846,0.252748303,0.389225997,0.501569444
35,0.376143025,0.279279863,0.155690399,0.513529433
36,0.423594009,0.679000866,0.06227616,1.01444455
37,0.124385148,-0.023736279,0.024910464,0.560229351
38,0.060146263,0.481765423,0.048481031,0.448828576
39,0.098027006,0.399556639,0.395535438,0.436369865
40,0.765587666,0.663228098,0.581808184,0.831730318
41,0.555367749,0.247192698,0.357108421,0.291105611
42,0.738806898,0.559936933,0.202989631,0.583652387
43,0.653713137,0.876370368,0.179222859,0.603834974
44,0.347459221,0.440977559,0.837276809,0.874570339
45,0.570102203,0.413288533,0.890278473,0.553292317
46,0.305894835,0.648166682,1.094918287,0.753589243
47,-0.508550725,0.850772224,1.091680452,1.140126604
48,-0.370582477,-0.516571014,0.784131402,0.84002187
49,0.464227195,0.298577544,0.883754764,0.707296187
50,0.383531138,0.676335873,0.659396741,0.895720347
51,1.256917158,0.506146743,0.263758696,1.164274345
52,0.733671031,-0.634210879,0.105503478,0.407496021
53,0.311634705,0.676598029,0.506428586,0.441201152
54,0.552558825,0.418355644,0.586102573,0.830756277
55,0.729887759,0.350742963,1.491358187,0.79691144
56,-2.157992053,0.39305039,1.330214306,0.278919004
57,-1.2587195,0.472054443,0.843720428,0.77421968
58,0.68950041,0.870177974,0.890046996,0.689332532
59,0.216439663,0.363610298,1.085906558,0.592009349
60,-0.294775055,0.640596156,0.434362623,0.600253662
61,1.312571931,1.226875874,0.173745049,0.682143224
62,0.631911129,0.870281022,0.75899843,1.108928102
63,0.940692299,-0.588901258,0.520039035,0.751735134
64,1.557836842,1.159033142,0.208015614,0.903703452
65,0.777670796,0.381181056,1.395778177,1.543172082
66,-1.499183057,-1.838020821,1.1902224,1.410391251
67,-0.732352789,-1.580671094,1.416781259,0.493636938
68,-2.168554795,0.799989971,2.124549346,1.33180607
69,-3.90617054,-0.514307964,1.627490535,0.847313181
70,-4.384772408,0.503370631,0.650996214,0.296559613
71,0.779955481,0.613665105,0.260398486,0.103795865
72,0.594717721,0.239715377,0.104159394,0.836318523
73,0.327163208,0.413457566,0.041663758,0.292711483
74,0.110347576,0.464419059,0.016665503,0.60581965
75,0.036999772,0.416057265,0.786621682,0.825701982
76,0.577474262,0.424523682,0.909366394,0.528711071
77,0.33939053,0.920154383,0.690909766,0.598506441
78,0.366814074,0.297465934,0.386711482,0.673896313
79,0.675280429,0.511687401,0.191684365,0.651920974
80,0.540262697,0.680667566,0.654148008,0.652696023
81,0.853251607,0.750023451,0.601049733,1.148597991
82,0.976936425,-0.621932159,0.607233967,0.699475231
83,0.766901511,0.569810224,0.918174016,0.756503732
84,0.223683647,0.45351483,0.907532304,0.945443872
85,0.303865902,0.162193033,1.216264529,1.080928806
86,-0.786717153,-0.216606975,1.463442237,0.378325082
87,-1.666763781,0.455588402,1.352278406,0.702224002
88,-1.387679904,0.500959273,0.764595009,0.699293231
89,0.455100301,0.422078405,0.609703906,0.406945664
90,1.493903179,1.509760658,0.243881562,0.142430983
91,0.49561126,0.264609004,0.097552625,0.505439246
92,0.349583956,0.882099397,0.03902105,0.677863009
93,0.155216727,0.811624705,0.470708721,0.659330458
94,1.348378606,1.167234564,1.682186668,1.740526318
95,-2.540410237,-2.191011963,1.168485927,0.873793216
96,-0.4322986,0.185567905,0.816978327,1.187927023
97,0.45665498,-0.567398951,0.482008057,1.227399163
98,0.473873428,-0.391423242,1.541181829,1.596824271
99,-3.369945839,-3.436778182,0.616472731,0.558888495
100,0.965712977,0.901180108,0.246589093,0.381178879
101,0.521849084,0.539987259,0.555290617,0.133412607
102,0.950339598,0.392308387,0.695989675,0.046694413
103,0.584990973,0.099904535,0.27839587,0.016343044
104,0.329838368,0.018809032,1.077071325,0.906900174
105,-0.262462718,0.224097431,0.952677614,0.85740232
106,0.2159941,0.545568563,1.331410643,0.692399198
107,-1.085054005,0.412881785,1.117555231,0.342244255
108,-0.323958156,0.437914049,0.776860461,0.138594522
109,0.702009458,0.431766125,0.310744184,0.272605513
110,0.833331933,0.682124213,0.340291773,0.640980492
111,0.344467521,0.247405658,0.136116709,0.637224957
112,0.143813947,0.187171146,0.054446684,0.660942784
113,0.187017947,0.707513535,0.723788132,0.663096099
114,0.532714923,0.478794834,1.122847185,0.914207848
115,-0.28156099,0.120466526,0.793606395,0.567378405
116,0.332356775,0.374218736,0.461256505,0.385753588
117,1.116780604,0.976050657,0.371520549,0.842527291
118,0.631758277,0.289835218,0.681323143,0.773679386
119,0.837314457,0.595705896,0.272529257,0.391254311
120,0.543929042,0.529422775,0.441368478,0.511157745
121,1.435655935,1.422799864,1.293327995,1.154955867
122,-1.11188281,-0.432051037,1.149089475,0.694069772
123,-0.712750014,0.794258059,1.296950247,0.838630316
124,-0.9082929,0.248989913,1.062709141,0.822943386
