,animal,birth,death,pod,matriline,mom,dad,sexF1M2
1,J001,1951,2010,J001,J002,NA,,2
2,J002,1911,2017,J001,J002,NA,Uns-M6,1
3,J003,1953,1995,J001,J016,NA,,2
4,J004,1957,1995,J001,J008,NA,,1
5,J005,1938,1997,J001,J009,NA,,1
6,J006,1956,1998,J001,J008,NA,,2
7,J007,1939,1983,J001,J016,NA,,1
8,J008,1933,2013,J001,J008,NA,,1
9,J009,1917,1985,J001,J009,NA,,1
10,J010,1962,1999,J001,J009,NA,,1
11,J011,1972,2008,J001,J008,J004,Uns-M2,1
12,J012,1935,1996,J001,J002,NA,,1
13,J013,1971,1980,J001,J009,J005,,1
14,J014,1974,2016,J001,J002,J012,Uns-M3,1
15,J015,1976,1981,J001,J008,J004,,2
16,J016,1972,NA,J001,J016,NA,Uns-M4,1
17,J017,1977,2019,J001,J009,J005,Uns-M5,1
18,J018,1977,2000,J001,J009,J010,,2
19,J019,1979,NA,J001,J008,J004,Uns-M2,1
20,J020,1981,1998,J001,J009,J010,,1
21,J021,1982,1983,J001,J008,J004,,0
22,J022,1985,NA,J001,J009,J010,,1
23,J023,1987,1991,J001,J002,J014,,2
24,J024,1972,1972,J001,J002,J012,,0
25,J025,1988,1988,J001,J008,J011,,0
26,J026,1991,NA,J001,J016,J016,Uns-M7,2
27,J027,1991,NA,J001,J008,J011,J001,2
28,J028,1993,2016,J001,J009,J017,J001,1
29,J029,1993,1993,J001,J008,J019,,2
30,J030,1995,2012,J001,J002,J014,,2
31,J031,1995,NA,J001,J008,J011,Uns-M7,1
32,J032,1996,2014,J001,J009,J020,J001,1
33,J033,1996,2010,J001,J016,J016,,2
34,J034,1998,2016,J001,J009,J022,,2
35,J035,1998,NA,J001,J009,J017,L041,1
36,J035-neonate,2018,2018,J001,J009,J035,,1
37,J036,1999,NA,J001,J016,J016,,1
38,J037,2001,NA,J001,J002,J014,,1
39,J038,2003,NA,J001,J009,J022,,2
40,J039,2003,NA,J001,J008,J011,J001,2
41,J040,2004,NA,J001,J002,J014,L041,1
42,J041,2005,NA,J001,J008,J019,J001,1
43,J042,2007,NA,J001,J016,J016,L041,1
44,J043,2007,2008,J001,J002,J014,,0
45,J044,2009,NA,J001,J009,J017,,2
46,J045,2009,NA,J001,J002,J014,,2
47,J046,2009,NA,J001,J009,J028,,1
48,J047,2010,NA,J001,J009,J035,,1
49,J048,2011,2012,J001,J016,J016,,0
50,J049,2012,NA,J001,J002,J037,,2
51,J050,2014,2018,J001,J016,J016,,1
52,J051,2015,NA,J001,J008,J041,,2
53,J052,2015,2017,J001,J016,J036,,2
54,J053,2015,NA,J001,J009,J017,,1
55,J054,2015,2016,J001,J009,J028,,2
56,J055,2015,2016,J001,J002,J037,,0
57,J056,2019,NA,J001,J008,J031,,1
58,J031-neonate,2016,2016,J001,J008,J031,,0
59,J028-neonate,2013,2013,J001,J009,J028,,2
60,K001,1955,1997,K001,K007,K007,,2
61,K002,1953,1974,K001,K007,K007,,2
62,K003,1956,1998,K001,K003,K008,,1
63,K004,1933,1999,K001,K004,NA,,1
64,K005,1953,1991,K001,K003,K008,,2
65,K007,1910,2008,K001,K007,NA,,1
66,K008,1930,1989,K001,K003,NA,,1
67,K011,1933,2010,K001,K007,K007,,1
68,K012,1971,NA,K001,K004,K004,Uns-M2,1
69,K013,1972,2017,K001,K007,K011,Uns-M2,1
70,K014,1977,NA,K001,K003,K003,J001,1
71,K015,1971,1975,K001,K003,K003,,0
72,K016,1985,NA,K001,K003,K003,,1
73,K017,1966,1994,K001,K018,K018,,2
74,K018,1948,2003,K001,K018,NA,,1
75,K019,1953,1984,K001,K018,NA,,2
76,K020,1986,NA,K001,K007,K013,,1
77,K021,1986,NA,K001,K018,K018,,2
78,K022,1987,NA,K001,K004,K012,,1
79,K023,1988,1988,K001,K003,K014,,0
80,K024,1990,1990,K001,K003,K014,,0
81,K025,1991,2019,K001,K007,K013,,2
82,K026,1993,NA,K001,K003,K014,Uns-M7,2
83,K027,1994,NA,K001,K007,K013,J001,1
84,K028,1994,2006,K001,K004,K012,,1
85,K029,1996,1998,K001,K003,K003,,2
86,K030,1929,1982,K001,K018,NA,,1
87,K031,1999,2005,K001,K004,K012,,2
88,K032,2000,2000,K001,K003,K016,,0
89,K033,2001,NA,K001,K004,K022,L041,2
90,K034,2001,NA,K001,K007,K013,,2
91,K035,2002,NA,K001,K003,K016,,2
92,K036,2003,NA,K001,K003,K014,,2
