year,chinook,coho,steelhead,unclip_steelhead,sockeye,pink,chum,lamprey,shad,chinook_SS,chinook_F
1957,312678,6793,129261,0,90196,4,75,63099,5106,226384,86294
1958,301962,2395,121420,0,111039,8,31,144253,4530,141886,160076
1959,207461,2709,156090,0,86259,9,25,296713,4288,122236,85225
1960,196152,3000,111099,0,59441,5,35,259208,81053,132911,63241
1961,201335,2139,134572,0,16689,4,0,352444,113229,130007,71328
1962,186132,3696,163301,0,27127,5,0,83550,216464,125146,60986
1963,180469,3716,118957,0,56931,3,23,79530,160958,99770,80699
1964,183842,5977,110033,0,79042,5,0,64252,158786,117051,66791
1965,195049,17468,141052,0,44279,3,1,45180,346277,94144,100905
1966,240671,32279,146172,0,147886,1,0,43383,399028,157690,82981
1967,280112,32015,120614,0,120589,4,1,28309,138998,144558,135554
1968,262966,42687,147481,0,116947,1,0,57629,231107,166133,96833
1969,314193,17054,112475,0,37226,1,0,167250,305887,162395,151798
1970,261430,23219,74623,0,77678,0,4,0,308670,131664,129766
1971,250528,29061,151348,0,76103,3,0,0,187549,125502,125026
1972,268628,16562,135303,0,44671,0,0,0,273357,151767,116861
1973,280945,11152,100082,0,52303,1,0,0,781020,149862,131083
1974,217181,14655,70875,0,28827,0,0,0,315393,86670,130511
1975,217283,13953,57675,0,43198,0,0,0,438162,91545,125738
1976,216163,19392,82568,0,27747,0,0,0,508876,95303,120860
1977,224950,10021,133882,0,86252,0,0,0,856502,134751,90199
1978,199228,18877,60485,0,11845,0,0,0,1.23472e+06,119320,79908
1979,150647,8726,83364,0,32791,4,0,0,1.39822e+06,59595,91052
1980,113923,6326,93963,0,42088,0,0,0,1.16075e+06,49342,64581
1981,135176,6941,113268,0,35447,0,0,0,1.08896e+06,60836,74340
1982,172682,7383,117434,0,33331,0,0,0,1.00282e+06,64092,108590
1983,157210,3458,170643,0,84203,0,0,0,1.93205e+06,53913,103297
1984,203837,3172,218552,0,101379,0,0,0,1.13598e+06,56497,147340
1985,370982,4625,276023,0,117254,0,0,0,1.38955e+06,101899,269083
1986,443013,4842,281953,0,48477,0,0,0,1.36185e+06,111830,331183
1987,421230,3310,217768,0,87599,0,0,0,1.2897e+06,108297,312933
1988,378080,9226,198499,0,55802,0,0,0,2.00857e+06,103555,274525
1989,282168,12611,235639,0,39672,0,0,0,2.97102e+06,83569,198599
1990,207556,4645,129271,0,40230,0,0,0,3.70686e+06,80039,127517
1991,153023,9601,199853,0,63405,103,0,0,2.19108e+06,50826,102197
1992,168507,3825,232179,0,66384,3,0,0,2.82431e+06,73427,95080
1993,184953,4360,124829,0,62252,0,0,0,2.39439e+06,89419,95534
1994,161758,4376,112254,20259,9356,0,0,0,1.80154e+06,27795,133963
1995,141793,3269,145844,19473,7166,0,0,0,1.95956e+06,21111,120682
1996,167911,4581,162456,23583,25055,0,0,0,2.64855e+06,41615,126296
1997,223801,4729,164756,20399,32430,0,0,0,2.57126e+06,91196,132605
1998,154132,8970,116682,22302,8826,0,0,0,2.1491e+06,42649,111483
1999,199491,15041,156874,41379,13715,19,0,10410,1.71868e+06,48680,150811
2000,316836,29536,205241,53716,73383,0,0,8050,1.55662e+06,153329,163507
2001,629334,64557,503327,125117,102562,0,0,9061,2.72495e+06,396253,233081
2002,583155,12786,387920,116565,40554,0,1,23417,3.21805e+06,303858,279297
2003,618461,46101,282374,86636,34180,128,29,28995,4.25889e+06,261887,356574
2004,562670,41645,241079,73815,107466,0,5,14873,5.4724e+06,226087,336583
2005,389905,36129,244213,72298,65273,23,0,8361,6.06703e+06,137355,252550
2006,341371,34339,249223,59199,30026,3,3,6894,4.61159e+06,148851,192520
2007,253614,32962,246960,61499,19124,1,11,6083,3.59199e+06,120316,133298
2008,397766,42682,277640,78849,177984,12,0,4599,1.80552e+06,188518,209248
2009,525837,77492,515111,143489,155591,28,7,2318,1.64136e+06,255348,270489
2010,618699,31374,333033,122543,325133,1,0,1726,1.24177e+06,295205,323494
2011,591869,76753,299007,103123,138293,1158,3,5003,0,285278,306591
2012,539930,34019,201640,71236,410099,2,7,6241,0,203876,336054
2013,898424,26682,190750,80347,161896,87,4,8737,0,207902,690522
2014,905449,157646,255691,101146,586188,2,0,11662,0,279881,625568
2015,1.06838e+06,26959,217018,76073,429797,137,0,12400,0,345796,722582
2016,585090,22909,145027,39602,288401,1,0,11557,0,220067,365023
2017,394691,36911,97012,26017,64058,7,0,30696,0,149330,245361
2018,264744,24430,80717,23636,152101,0,0,10515,0,115811,148933
