R,L
-0.058006272,0.935525901
-2.062329741,0.226189462
1.519512671,0.65635421
0.193548168,0.845825103
0.675330854,0.489018742
-1.314402233,0.937047795
-0.667401228,0.221209594
-0.793604225,0.64603466
-0.183024381,0.857527043
-0.423701666,0.458154052
0.836342987,0.930933437
0.055684821,0.241111397
0.023998234,0.686162593
-0.540614681,0.807538084
0.251707338,0.582826226
-0.904336639,0.911774311
-1.953064109,0.301657188
-0.835050662,0.789975483
-1.754545755,0.622178321
1.24898594,0.881521717
-0.207947725,0.391654423
-0.787851357,0.893479635
0.255751673,0.356901663
0.662867015,0.860710747
-0.16874397,0.449579089
1.191005865,0.927966494
1.077660797,0.25066755
-0.701791546,0.704374985
-1.604110969,0.780865745
-1.823323634,0.641679124
0.02726167,0.862226346
0.795853409,0.445470277
1.024043899,0.92634941
2.046813,0.255848177
1.101115824,0.713962078
-0.386831437,0.76582586
-1.652009067,0.672512296
0.227391949,0.825898154
0.683848825,0.539213974
1.163688562,0.931733491
-1.590367427,0.238523223
-0.135594442,0.681112107
0.780638165,0.814494018
-0.819421673,0.566600672
-0.177427376,0.920866314
1.670122938,0.273268295
-0.435916686,0.744722752
-1.021142927,0.712915404
-1.540313653,0.767501365
-0.212915841,0.669161324
-0.789075647,0.830191674
-0.072676266,0.528650469
-0.425463968,0.934421815
-0.258631941,0.229791326
0.567770882,0.663702271
0.047288937,0.837005874
-0.309532166,0.511601403
-0.772442384,0.936995278
-2.719968283,0.221381727
-2.119395251,0.646394466
1.615109398,0.857132476
0.924964631,0.45921148
-0.51990921,0.931261112
-0.235496903,0.240051948
0.400017589,0.684101289
0.560284003,0.810400182
0.954123464,0.576193976
0.633083657,0.915729293
0.475676345,0.289384331
2.109263211,0.771153901
1.560196772,0.661783358
-0.366913201,0.839348044
-0.535426055,0.505660894
-0.044060907,0.937379829
0.270783734,0.220120821
-0.267692773,0.643753669
-0.562244269,0.86000581
-0.746301191,0.451484314
-0.235661934,0.928673356
-0.560356951,0.248396828
-0.29296057,0.700109414
1.618132665,0.787335834
0.072244255,0.627892944
1.595357355,0.876162731
1.423753344,0.406880999
2.259647549,0.904983194
1.531236382,0.322457298
2.229966954,0.819294709
-0.03723048,0.555190832
0.167366572,0.926077395
-1.200021853,0.2567177
-0.642492909,0.71555146
-2.2866826,0.76326588
-1.663483955,0.677591536
-1.704508549,0.819229674
-2.534087796,0.555346558
-2.412904317,0.926012845
-2.218259871,0.256923961
-0.795133913,0.715927647
-0.474412846,0.762657192
-0.737417833,0.678791999
0.245840247,0.817625329
1.409331602,0.559178064
0.601582928,0.924367338
-0.679358592,0.262171359
2.159897204,0.725390766
1.234787401,0.746996259
0.161951579,0.708723179
1.966033799,0.774129879
-0.374122421,0.655698036
-0.562206089,0.846592956
-2.160169168,0.48702496
-2.386644268,0.936868681
-2.337637553,0.221796583
-0.510914804,0.64726072
1.20560079,0.856178552
0.309904123,0.461763147
-1.193004858,0.932017287
-0.689858739,0.23760399
-2.216136584,0.679306253
-0.233220841,0.816934754
0.588563386,0.560821356
-0.036354856,0.92362786
-0.058021538,0.264522886
0.380426203,0.729564484
0.903396927,0.739875555
0.703494327,0.721723944
0.805367175,0.753144348
-0.247169361,0.697192272
0.805645691,0.79168203
1.535350582,0.618455975
-0.135346868,0.884880682
-0.23961978,0.382000726
-1.28739777,0.885285643
-1.119251425,0.38083115
-0.591576935,0.884245445
0.349036152,0.383832894
1.555868275,0.886894513
0.141015655,0.376172385
-0.84204443,0.880000207
0.433113496,0.395999411
-0.192476499,0.896939541
-1.226981658,0.346646254
-0.003677238,0.849309857
-1.294008165,0.47993484
0.217493354,0.93599021
0.733383252,0.224672013
-0.168050739,0.653229373
-2.179033666,0.849452848
-0.342576072,0.479560152
-2.030724206,0.935933297
-0.631947777,0.224858101
-0.310626562,0.653613508
0.288336112,0.849010838
2.471583383,0.48071788
1.51802569,0.936105749
-0.262726781,0.224294157
-1.375827505,0.652448581
0.354155113,0.850347863
-0.307167233,0.477211406
-2.09074481,0.93555255
-1.948774384,0.226102411
-0.006843836,0.656175416
-1.326744045,0.846034648
-1.059065066,0.488475083
-2.492153837,0.937001911
-0.986890296,0.221359986
2.686558934,0.646349036
-1.124150429,0.857182349
-0.433117318,0.459077885
0.127615722,0.931220177
0.461747781,0.240184346
1.13870473,0.684359348
0.670772804,0.810043616
-0.557909742,0.577023586
0.85130103,0.915252627
-1.388342378,0.29086971
-0.640293177,0.773491956
0.598823897,0.657008062
-0.856107782,0.845056756
-0.478903087,0.491009381
0.147289311,0.937196883
-0.834780823,0.220720821
-0.909547198,0.645011775
-2.395118826,0.858643444
-2.165626026,0.455155801
0.102935763,0.929958742
1.016121116,0.244258051
-1.420759491,0.692235208
-1.123046202,0.798921093
-0.398716442,0.602423176
-0.583799279,0.898160599
0.103746092,0.343005517
-0.673199769,0.845072746
0.113769503,0.490968001
-0.273293873,0.937194086
-1.397217545,0.220729991
1.307173755,0.645030983
1.470337229,0.858622552
-0.452847464,0.455211994
0.327631008,0.929977629
1.438495845,0.244197144
0.335442068,0.69211837
-0.610633265,0.799089495
-0.593650272,0.602045528
-0.109711334,0.898450163
0.865672612,0.342140503
-0.776651004,0.844051422
0.040740269,0.493607322
0.080900845,0.937346751
0.698074063,0.220229322
1.293662603,0.643981379
-0.354417736,0.85976011
-1.398637661,0.452147488
-0.447752793,0.928913014
-0.577461861,0.247626099
1.569680043,0.698652802
-0.300785662,0.78951399
-2.458635601,0.623181185
-1.689597172,0.880598983
-1.329308862,0.394291552
-0.791462948,0.895596465
0.102511439,0.350637888
-0.204428575,0.853841099
-0.496348395,0.467986788
-0.243506397,0.933656829
1.191347142,0.232281581
0.909794812,0.668725681
-1.298399064,0.830743667
1.043203393,0.527282351
0.318045422,0.934708775
1.285979568,0.228856054
2.59563804,0.661803601
0.039190747,0.83932348
-0.660809792,0.505723411
-1.118920144,0.93737716
-2.529097643,0.220129576
-2.361142317,0.643772046
-2.841289785,0.859985995
-1.261650754,0.451537812
-0.681606089,0.928692811
0.309317479,0.248334275
-0.376569283,0.699991361
-0.901458942,0.787512958
-1.963797904,0.627511122
