"ccm_values.E","ccm_values.tau","ccm_values.tp","ccm_values.nn","ccm_values.lib_column","ccm_values.target_column","ccm_values.lib_size","ccm_values.num_pred","ccm_values.rho","ccm_values.mae","ccm_values.rmse","ccm_values.L","ccm_values.lower95","ccm_values.upper95","ccm_values.lower99","ccm_values.upper99","ccm_values.rho.1","ccm_values.u_rho","ccm_values.d_rho","max_rho","ter_rho","max_min_rho","ini_max_rho","d_rho","u_rho_term","xmap_from","xmap_to","xmap_from_to"
11,1,0,12,1,2,11,275,0.173678248136822,0.130758967610356,0.692650535602255,11,-0.00475025092022879,0.0537802563924687,-0.0104114815212983,0.0669770341127709,0.173678248136822,0.119897991744353,0.46159178751431,0.635270035651131,0.635270035651131,0.46159178751431,0.46159178751431,0.46159178751431,0.528910039565504,1,1,"Xmap from Aurelia.sp to Aurelia.sp"
11,1,0,12,1,2,15,275,0.250798269359288,0.124936863947197,0.691052172205266,15,-0.00491610124929288,0.0612538434840276,-0.0130879119998144,0.0671156494164923,0.250798269359288,0.189544425875261,0.46159178751431,0.635270035651131,0.635270035651131,0.46159178751431,0.46159178751431,0.46159178751431,0.528910039565504,1,1,"Xmap from Aurelia.sp to Aurelia.sp"
11,1,0,12,1,2,24,275,0.345077874128345,0.11863557618115,0.684336062313581,24,-0.0025252254995529,0.0746834371739837,-0.0126230144310659,0.0876086946699026,0.345077874128345,0.270394436954362,0.46159178751431,0.635270035651131,0.635270035651131,0.46159178751431,0.46159178751431,0.46159178751431,0.528910039565504,1,1,"Xmap from Aurelia.sp to Aurelia.sp"
11,1,0,12,1,2,40,275,0.439386971792788,0.113812462127237,0.673881074349148,40,-0.0063636783205365,0.0907731171357214,-0.0135730604015859,0.101054971132142,0.439386971792788,0.348613854657066,0.46159178751431,0.635270035651131,0.635270035651131,0.46159178751431,0.46159178751431,0.46159178751431,0.528910039565504,1,1,"Xmap from Aurelia.sp to Aurelia.sp"
11,1,0,12,1,2,80,275,0.529857978639579,0.104403880872624,0.655378356258657,80,-0.00689225869041382,0.10129592030577,-0.0189669655996696,0.112617295454285,0.529857978639579,0.428562058333809,0.46159178751431,0.635270035651131,0.635270035651131,0.46159178751431,0.46159178751431,0.46159178751431,0.528910039565504,1,1,"Xmap from Aurelia.sp to Aurelia.sp"
11,1,0,12,1,2,120,275,0.563934350324935,0.100560367987755,0.644687651687977,120,-0.012188254452486,0.0966529459242412,-0.01795327224187,0.115073587468376,0.563934350324935,0.467281404400694,0.46159178751431,0.635270035651131,0.635270035651131,0.46159178751431,0.46159178751431,0.46159178751431,0.528910039565504,1,1,"Xmap from Aurelia.sp to Aurelia.sp"
11,1,0,12,1,2,160,275,0.588165068428114,0.0977618449975038,0.635039927973793,160,-0.0141951204247429,0.109082115992013,-0.0194083146561139,0.135421385606939,0.588165068428114,0.4790829524361,0.46159178751431,0.635270035651131,0.635270035651131,0.46159178751431,0.46159178751431,0.46159178751431,0.528910039565504,1,1,"Xmap from Aurelia.sp to Aurelia.sp"
11,1,0,12,1,2,200,275,0.608961750242247,0.0949420789171848,0.626571447864824,200,-0.0176679097062723,0.0968077530918655,-0.0223599847245414,0.132804458406536,0.608961750242247,0.512153997150382,0.46159178751431,0.635270035651131,0.635270035651131,0.46159178751431,0.46159178751431,0.46159178751431,0.528910039565504,1,1,"Xmap from Aurelia.sp to Aurelia.sp"
11,1,0,12,1,2,240,275,0.62518087096526,0.093371699669052,0.620439673431454,240,-0.0206023072313469,0.100211352846415,-0.0224473957910147,0.135957304897979,0.62518087096526,0.524969518118845,0.46159178751431,0.635270035651131,0.635270035651131,0.46159178751431,0.46159178751431,0.46159178751431,0.528910039565504,1,1,"Xmap from Aurelia.sp to Aurelia.sp"
11,1,0,12,1,2,285,275,0.635270035651131,0.0921360235309717,0.614535396061983,285,-0.0220912357097696,0.106359996085627,-0.024432669670066,0.147671324615307,0.635270035651131,0.528910039565504,0.46159178751431,0.635270035651131,0.635270035651131,0.46159178751431,0.46159178751431,0.46159178751431,0.528910039565504,1,1,"Xmap from Aurelia.sp to Aurelia.sp"
